Frequency in GHz,\mathcal{R}e(sub-1\Z1.in),Frequency in GHz,\mathcal{I}m(sub-1\Z1.in)
1,3.58549,1,-377.521
1.02,3.85403,1.02,-367.647
1.04,4.13672,1.04,-358.097
1.06,4.43305,1.06,-348.853
1.08,4.74263,1.08,-339.897
1.1,5.0651,1.1,-331.213
1.12,5.4002,1.12,-322.787
1.14,5.74775,1.14,-314.605
1.16,6.1076,1.16,-306.653
1.18,6.47966,1.18,-298.921
1.2,6.86384,1.2,-291.396
1.22,7.26011,1.22,-284.068
1.24,7.66841,1.24,-276.927
1.26,8.08872,1.26,-269.963
1.28,8.52102,1.28,-263.169
1.3,8.96531,1.3,-256.536
1.32,9.42162,1.32,-250.055
1.34,9.89004,1.34,-243.72
1.36,10.3707,1.36,-237.524
1.38,10.8637,1.38,-231.46
1.4,11.3693,1.4,-225.522
1.42,11.8877,1.42,-219.704
1.44,12.4191,1.44,-214
1.46,12.964,1.46,-208.406
1.48,13.5227,1.48,-202.916
1.5,14.0953,1.5,-197.525
1.52,14.6825,1.52,-192.229
1.54,15.2844,1.54,-187.025
1.56,15.9015,1.56,-181.907
1.58,16.5341,1.58,-176.872
1.6,17.1827,1.6,-171.916
1.62,17.8477,1.62,-167.037
1.64,18.5295,1.64,-162.23
1.66,19.2286,1.66,-157.493
1.68,19.9455,1.68,-152.822
1.7,20.6808,1.7,-148.215
1.72,21.4349,1.72,-143.669
1.74,22.2084,1.74,-139.181
1.76,23.002,1.76,-134.749
1.78,23.8162,1.78,-130.37
1.8,24.6516,1.8,-126.043
1.82,25.509,1.82,-121.765
1.84,26.3889,1.84,-117.534
1.86,27.292,1.86,-113.348
1.88,28.219,1.88,-109.205
1.9,29.1706,1.9,-105.104
1.92,30.1475,1.92,-101.043
1.94,31.1506,1.94,-97.0207
1.96,32.1804,1.96,-93.0347
1.98,33.238,1.98,-89.084
2,34.3241,2,-85.1672
2.02,35.4395,2.02,-81.283
2.04,36.5853,2.04,-77.4302
2.06,37.7622,2.06,-73.6075
2.08,38.9714,2.08,-69.8139
2.1,40.2137,2.1,-66.0483
2.12,41.4901,2.12,-62.3099
2.14,42.8018,2.14,-58.5977
2.16,44.1496,2.16,-54.9108
2.18,45.5349,2.18,-51.2485
2.2,46.9585,2.2,-47.6102
2.22,48.4218,2.22,-43.9951
2.24,49.9259,2.24,-40.4026
2.26,51.472,2.26,-36.8323
2.28,53.0615,2.28,-33.2836
2.3,54.6955,2.3,-29.7562
2.32,56.3756,2.32,-26.2498
2.34,58.103,2.34,-22.7641
2.36,59.8793,2.36,-19.299
2.38,61.7059,2.38,-15.8543
2.4,63.5842,2.4,-12.4302
2.42,65.5159,2.42,-9.02656
2.44,67.5026,2.44,-5.64368
2.46,69.5458,2.46,-2.28179
2.48,71.6472,2.48,1.05879
2.5,73.8086,2.5,4.37762
2.52,76.0316,2.52,7.67418
2.54,78.3181,2.54,10.9478
2.56,80.6698,2.56,14.1979
2.58,83.0888,2.58,17.4234
2.6,85.5768,2.6,20.6235
2.62,88.1358,2.62,23.797
2.64,90.7677,2.64,26.9427
2.66,93.4747,2.66,30.0592
2.68,96.2587,2.68,33.1451
2.7,99.1218,2.7,36.1985
2.72,102.066,2.72,39.2178
2.74,105.094,2.74,42.2008
2.76,108.206,2.76,45.1455
2.78,111.407,2.78,48.0493
2.8,114.696,2.8,50.9099
2.82,118.078,2.82,53.7244
2.84,121.553,2.84,56.4899
2.86,125.123,2.86,59.2031
2.88,128.791,2.88,61.8607
2.9,132.559,2.9,64.459
2.92,136.428,2.92,66.9942
2.94,140.4,2.94,69.462
2.96,144.478,2.96,71.858
2.98,148.661,2.98,74.1775
3,152.953,3,76.4156
3.02,157.353,3.02,78.567
3.04,161.863,3.04,80.626
3.06,166.485,3.06,82.587
3.08,171.218,3.08,84.4436
3.1,176.063,3.1,86.1895
3.12,181.02,3.12,87.8178
3.14,186.089,3.14,89.3215
3.16,191.269,3.16,90.6932
3.18,196.558,3.18,91.9252
3.2,201.957,3.2,93.0097
3.22,207.461,3.22,93.9384
3.24,213.07,3.24,94.7028
3.26,218.78,3.26,95.2944
3.28,224.588,3.28,95.7042
3.3,230.488,3.3,95.9232
3.32,236.476,3.32,95.9423
3.34,242.546,3.34,95.7523
3.36,248.692,3.36,95.3439
3.38,254.907,3.38,94.7078
3.4,261.181,3.4,93.8351
3.42,267.506,3.42,92.7166
3.44,273.873,3.44,91.3438
3.46,280.269,3.46,89.7082
3.48,286.683,3.48,87.8021
3.5,293.103,3.5,85.6178
3.52,299.514,3.52,83.1487
3.54,305.902,3.54,80.3888
3.56,312.25,3.56,77.3329
3.58,318.544,3.58,73.9767
3.6,324.765,3.6,70.3171
3.62,330.895,3.62,66.3522
3.64,336.916,3.64,62.0811
3.66,342.809,3.66,57.5047
3.68,348.553,3.68,52.625
3.7,354.13,3.7,47.4458
3.72,359.52,3.72,41.9725
3.74,364.701,3.74,36.2122
3.76,369.655,3.76,30.1737
3.78,374.362,3.78,23.8676
3.8,378.803,3.8,17.3061
3.82,382.961,3.82,10.5033
3.84,386.817,3.84,3.47482
3.86,390.356,3.86,-3.76198
3.88,393.563,3.88,-11.1884
3.9,396.425,3.9,-18.7843
3.92,398.93,3.92,-26.5285
3.94,401.068,3.94,-34.3984
3.96,402.832,3.96,-42.371
3.98,404.214,3.98,-50.4222
4,405.211,4,-58.5277
4.02,405.822,4.02,-66.6629
4.04,406.045,4.04,-74.8031
4.06,405.883,4.06,-82.9238
4.08,405.341,4.08,-91.001
4.1,404.424,4.1,-99.0111
4.12,403.139,4.12,-106.931
4.14,401.498,4.14,-114.74
4.16,399.511,4.16,-122.417
4.18,397.19,4.18,-129.942
4.2,394.55,4.2,-137.298
4.22,391.606,4.22,-144.467
4.24,388.374,4.24,-151.436
4.26,384.872,4.26,-158.19
4.28,381.116,4.28,-164.718
4.3,377.124,4.3,-171.01
4.32,372.916,4.32,-177.057
4.34,368.509,4.34,-182.852
4.36,363.922,4.36,-188.391
4.38,359.172,4.38,-193.668
4.4,354.279,4.4,-198.683
4.42,349.258,4.42,-203.432
4.44,344.127,4.44,-207.918
4.46,338.903,4.46,-212.14
4.48,333.601,4.48,-216.101
4.5,328.237,4.5,-219.803
4.52,322.824,4.52,-223.252
4.54,317.376,4.54,-226.452
4.56,311.906,4.56,-229.409
4.58,306.427,4.58,-232.128
4.6,300.948,4.6,-234.616
4.62,295.482,4.62,-236.881
4.64,290.035,4.64,-238.929
4.66,284.619,4.66,-240.769
4.68,279.239,4.68,-242.409
4.7,273.903,4.7,-243.856
4.72,268.617,4.72,-245.118
4.74,263.386,4.74,-246.204
4.76,258.215,4.76,-247.121
4.78,253.108,4.78,-247.876
4.8,248.069,4.8,-248.478
4.82,243.101,4.82,-248.933
4.84,238.206,4.84,-249.25
4.86,233.386,4.86,-249.434
4.88,228.642,4.88,-249.492
4.9,223.977,4.9,-249.431
4.92,219.39,4.92,-249.257
4.94,214.882,4.94,-248.975
