Frequency in GHz,\mathcal{R}e(sub-2\Z2.in),Frequency in GHz,\mathcal{I}m(sub-2\Z2.in)
1.25,0.0117993,1.25,0.367929
1.27875,0.0132769,1.27875,0.390561
1.3075,0.015002,1.3075,0.415412
1.33625,0.0170324,1.33625,0.442854
1.365,0.0194435,1.365,0.473343
1.39375,0.0223357,1.39375,0.50745
1.4225,0.0258439,1.4225,0.545895
1.45125,0.0301538,1.45125,0.589602
1.48,0.0355258,1.48,0.639776
1.50875,0.0423344,1.50875,0.698017
1.5375,0.0511327,1.5375,0.766494
1.56625,0.0627654,1.56625,0.848225
1.595,0.0785722,1.595,0.947531
1.62375,0.100778,1.62375,1.07081
1.6525,0.133294,1.6525,1.22796
1.68125,0.183494,1.68125,1.43502
1.71,0.266614,1.71,1.7197
1.73875,0.418174,1.73875,2.13358
1.7675,0.736159,1.7675,2.78083
1.79625,1.56469,1.79625,3.87648
1.825,4.5277,1.825,5.44969
1.85375,10.9763,1.85375,-0.463956
1.8825,4.21755,1.8825,-5.30667
1.91125,1.54841,1.91125,-3.78134
1.94,0.767005,1.94,-2.75463
1.96875,0.455188,1.96875,-2.14107
1.9975,0.302071,1.9975,-1.74487
2.02625,0.216026,2.02625,-1.47041
2.055,0.162961,2.055,-1.26975
2.08375,0.127949,2.08375,-1.11688
2.1125,0.10364,2.1125,-0.996601
2.14125,0.0860758,2.14125,-0.899493
2.17,0.0729763,2.17,-0.81943
2.19875,0.0629504,2.19875,-0.752261
2.2275,0.0551109,2.2275,-0.695074
2.25625,0.0488706,2.25625,-0.645773
2.285,0.0438279,2.285,-0.602804
2.31375,0.0397005,2.31375,-0.565
2.3425,0.0362855,2.3425,-0.53146
2.37125,0.0334335,2.37125,-0.501482
2.4,0.031033,2.4,-0.47451
2.42875,0.0289992,2.42875,-0.450097
2.4575,0.0272665,2.4575,-0.427881
2.48625,0.0257836,2.48625,-0.407565
2.515,0.0245102,2.515,-0.388902
2.54375,0.0234138,2.54375,-0.371687
2.5725,0.0224682,2.5725,-0.355748
2.60125,0.0216521,2.60125,-0.340938
2.63,0.0209479,2.63,-0.327132
2.65875,0.0203411,2.65875,-0.314223
2.6875,0.0198197,2.6875,-0.302119
2.71625,0.0193732,2.71625,-0.29074
2.745,0.0189933,2.745,-0.280014
2.77375,0.0186723,2.77375,-0.269882
2.8025,0.0184041,2.8025,-0.260289
2.83125,0.0181832,2.83125,-0.251187
2.86,0.0180048,2.86,-0.242535
2.88875,0.0178647,2.88875,-0.234294
2.9175,0.0177593,2.9175,-0.226432
2.94625,0.0176853,2.94625,-0.218918
2.975,0.0176399,2.975,-0.211724
3.00375,0.0176203,3.00375,-0.204827
3.0325,0.0176241,3.0325,-0.198205
3.06125,0.0176493,3.06125,-0.191837
3.09,0.0176937,3.09,-0.185705
3.11875,0.0177555,3.11875,-0.179792
3.1475,0.0178329,3.1475,-0.174083
3.17625,0.0179243,3.17625,-0.168564
3.205,0.0180281,3.205,-0.163221
3.23375,0.0181429,3.23375,-0.158042
