,sub-2\s2_2
0.366098,0.992491
0.35319,0.992527
0.340699,0.992565
0.328599,0.992604
0.316866,0.992645
0.305477,0.992687
0.294413,0.992731
0.283654,0.992776
0.273182,0.992821
0.26298,0.992867
0.253033,0.992915
0.243326,0.992962
0.233847,0.993011
0.224581,0.993059
0.215519,0.993108
0.206647,0.993157
0.197957,0.993207
0.189438,0.993256
0.181081,0.993305
0.172877,0.993354
0.164818,0.993403
0.156896,0.993451
0.149104,0.993499
0.141435,0.993546
0.133883,0.993592
0.12644,0.993638
0.119101,0.993682
0.11186,0.993725
0.104713,0.993767
0.0976529,0.993808
0.0906756,0.993847
0.0837762,0.993884
0.0769502,0.993919
0.0701933,0.993952
0.0635011,0.993983
0.0568697,0.994012
0.0502952,0.994037
0.0437737,0.99406
0.0373017,0.99408
0.0308757,0.994097
0.0244922,0.994109
0.0181479,0.994119
0.0118397,0.994124
0.00556425,0.994124
2.53894,0.048642
1.8932,0.0745235
1.60285,0.111427
1.44017,0.150551
1.32876,0.189639
1.24255,0.22789
1.17076,0.264932
1.10825,0.30056
1.05225,0.334658
1.00115,0.367167
0.953936,0.398064
0.90994,0.427353
0.868694,0.45506
0.829854,0.481227
0.793156,0.505905
0.758392,0.529157
0.725389,0.551046
0.694001,0.571642
0.664104,0.591014
0.635587,0.609231
0.608352,0.626364
0.582311,0.642476
0.557383,0.657634
0.533494,0.671898
0.510578,0.685326
0.488571,0.697972
0.467418,0.709888
0.447063,0.721123
0.427458,0.731721
0.408558,0.741725
0.390318,0.751173
0.3727,0.760103
0.355666,0.768547
0.339183,0.776537
0.323217,0.784102
0.307738,0.79127
0.292719,0.798063
0.278132,0.804507
0.263954,0.810622
0.250161,0.816427
0.236731,0.821942
