,sub-1\s1_1
0.0401687,0.178157
0.146493,0.195403
0.225866,0.214938
0.283792,0.235748
0.325321,0.257129
0.354498,0.278606
0.374392,0.299863
0.387287,0.320691
0.394876,0.340953
0.398421,0.360561
0.398869,0.379466
0.396934,0.397639
0.393166,0.415072
0.387986,0.431767
0.381721,0.447735
0.374628,0.462993
0.366908,0.477565
0.358722,0.491473
0.350194,0.504745
0.341427,0.517407
0.332501,0.529487
0.323479,0.541012
0.314413,0.552008
0.305345,0.562502
0.296306,0.572519
0.287322,0.582084
0.278415,0.59122
0.269598,0.599948
0.260886,0.608291
0.252287,0.616268
0.243808,0.623899
0.235453,0.631202
0.227227,0.638193
0.21913,0.64489
0.211164,0.651306
0.203329,0.657458
0.195623,0.663358
0.188046,0.669018
0.180596,0.674453
0.173271,0.679671
0.166068,0.684685
0.158984,0.689505
0.152017,0.694139
0.145165,0.698598
0.138423,0.702889
0.131788,0.70702
0.125259,0.710999
0.118831,0.714834
0.112502,0.71853
0.106269,0.722094
0.100128,0.725532
0.0940768,0.72885
0.0881124,0.732054
0.082232,0.735147
0.0764327,0.738135
0.0707119,0.741023
0.0650669,0.743814
0.059495,0.746513
0.0539939,0.749124
0.0485609,0.751651
0.0431938,0.754095
0.0378901,0.756462
0.0326477,0.758754
0.0274644,0.760974
0.022338,0.763125
0.0172665,0.765209
0.0122479,0.76723
0.00728019,0.769188
0.00236158,0.771088
