Frequency in GHz,\mathcal{R}e(sub-2\Z2.in),Frequency in GHz,\mathcal{I}m(sub-2\Z2.in)
1.25,0.0134721,1.25,-0.101357
1.26875,0.0106918,1.26875,-0.0795836
1.2875,0.00902829,1.2875,-0.0621051
1.30625,0.00788896,1.30625,-0.0475202
1.325,0.00711364,1.325,-0.0348108
1.34375,0.0066517,1.34375,-0.0234957
1.3625,0.00633828,1.3625,-0.0131922
1.38125,0.00616055,1.38125,-0.00355128
1.4,0.00611516,1.4,0.00558969
1.41875,0.00614799,1.41875,0.0144237
1.4375,0.00631797,1.4375,0.0230752
1.45625,0.00649439,1.45625,0.0315959
1.475,0.00668372,1.475,0.040432
1.49375,0.00750151,1.49375,0.0494892
1.5125,0.0082136,1.5125,0.0581179
1.53125,0.00828082,1.53125,0.0685768
1.55,0.0129085,1.55,0.0808613
1.56875,0.0197488,1.56875,0.0855708
1.5875,0.0177963,1.5875,0.0889905
1.60625,0.0137474,1.60625,0.0993972
1.625,0.0130984,1.625,0.113451
1.64375,0.0148248,1.64375,0.127138
1.6625,0.015951,1.6625,0.141352
1.68125,0.0177717,1.68125,0.158107
1.7,0.0209206,1.7,0.176054
1.71875,0.0238102,1.71875,0.196266
1.7375,0.0281245,1.7375,0.220595
1.75625,0.0343737,1.75625,0.248126
1.775,0.0414968,1.775,0.281352
1.79375,0.0526888,1.79375,0.323094
1.8125,0.0691311,1.8125,0.373947
1.83125,0.0925791,1.83125,0.441341
1.85,0.134397,1.85,0.533353
1.86875,0.208364,1.86875,0.659964
1.8875,0.359454,1.8875,0.851824
1.90625,0.745428,1.90625,1.11141
1.925,1.74774,1.925,1.09663
1.94375,2.31488,1.94375,-0.621858
1.9625,1.04869,1.9625,-1.22298
1.98125,0.473508,1.98125,-0.976069
2,0.252608,2,-0.751606
2.01875,0.15677,2.01875,-0.599152
2.0375,0.105767,2.0375,-0.495011
2.05625,0.0760716,2.05625,-0.418133
2.075,0.0581723,2.075,-0.360476
2.09375,0.0457265,2.09375,-0.315421
2.1125,0.0372832,2.1125,-0.278567
2.13125,0.0314217,2.13125,-0.248374
2.15,0.0268537,2.15,-0.222761
2.16875,0.0236194,2.16875,-0.200506
2.1875,0.0212133,2.1875,-0.181178
2.20625,0.0192825,2.20625,-0.163866
2.225,0.0179703,2.225,-0.148168
2.24375,0.0170098,2.24375,-0.133885
2.2625,0.0163229,2.2625,-0.120532
2.28125,0.016016,2.28125,-0.10795
2.3,0.0159436,2.3,-0.0959821
2.31875,0.016133,2.31875,-0.0843206
2.3375,0.0166702,2.3375,-0.0728503
2.35625,0.0175157,2.35625,-0.061389
2.375,0.018772,2.375,-0.0496624
2.39375,0.0205851,2.39375,-0.0374707
2.4125,0.023094,2.4125,-0.0245073
2.43125,0.0266152,2.43125,-0.0103404
2.45,0.0316647,2.45,0.00554966
2.46875,0.0390982,2.46875,0.0239184
2.4875,0.0505445,2.4875,0.0458446
2.50625,0.0692505,2.50625,0.0727546
2.525,0.102313,2.525,0.105904
2.54375,0.165781,2.54375,0.142239
2.5625,0.291038,2.5625,0.152485
2.58125,0.457219,2.58125,0.0160114
2.6,0.402824,2.6,-0.238111
2.61875,0.224664,2.61875,-0.301179
2.6375,0.1214,2.6375,-0.266337
2.65625,0.0726417,2.65625,-0.224995
2.675,0.0472055,2.675,-0.191922
2.69375,0.0330448,2.69375,-0.165714
2.7125,0.0247693,2.7125,-0.145364
2.73125,0.0190969,2.73125,-0.128812
2.75,0.0155344,2.75,-0.114643
2.76875,0.0132259,2.76875,-0.102895
2.7875,0.0112288,2.7875,-0.0924266
2.80625,0.0102375,2.80625,-0.0827073
2.825,0.00975475,2.825,-0.074414
2.84375,0.00899605,2.84375,-0.0662332
2.8625,0.0101022,2.8625,-0.0571302
2.88125,0.0128392,2.88125,-0.0511489
2.9,0.0154471,2.9,-0.049105
2.91875,0.013337,2.91875,-0.0477951
2.9375,0.00963398,2.9375,-0.0428164
2.95625,0.00794366,2.95625,-0.0361997
2.975,0.00742491,2.975,-0.0300723
2.99375,0.00712441,2.99375,-0.0242617
3.0125,0.00706338,3.0125,-0.0185147
3.03125,0.00719095,3.03125,-0.0129055
3.05,0.00737503,3.05,-0.00733626
3.06875,0.00764862,3.06875,-0.00169351
3.0875,0.00803341,3.0875,0.00403387
3.10625,0.00849668,3.10625,0.00989707
3.125,0.00905537,3.125,0.0159872
3.14375,0.00975081,3.14375,0.0223596
3.1625,0.0105893,3.1625,0.0290779
3.18125,0.0115974,3.18125,0.0362651
3.2,0.0128547,3.2,0.0440435
3.21875,0.0144213,3.21875,0.0525442
3.2375,0.016386,3.2375,0.0620048
3.25625,0.0189545,3.25625,0.0727144
3.275,0.0223695,3.275,0.0850241
3.29375,0.0270259,3.29375,0.0995452
3.3125,0.0337359,3.3125,0.117115
3.33125,0.0438277,3.33125,0.138912
3.35,0.0599885,3.35,0.166946
3.36875,0.0884064,3.36875,0.203886
3.3875,0.14359,3.3875,0.251646
3.40625,0.262991,3.40625,0.29837
3.425,0.497154,3.425,0.232132
3.44375,0.568562,3.44375,-0.124389
3.4625,0.318481,3.4625,-0.283949
3.48125,0.16225,3.48125,-0.244765
3.5,0.0935743,3.5,-0.189541
3.51875,0.0607768,3.51875,-0.146214
3.5375,0.0434295,3.5375,-0.113486
3.55625,0.0334519,3.55625,-0.088135
3.575,0.027351,3.575,-0.0676972
3.59375,0.0235197,3.59375,-0.050601
3.6125,0.021091,3.6125,-0.0358414
3.63125,0.0195807,3.63125,-0.0227062
3.65,0.0187303,3.65,-0.0107018
3.66875,0.018378,3.66875,0.00051784
3.6875,0.0184164,3.6875,0.0112293
3.70625,0.0187954,3.70625,0.0216652
3.725,0.0195001,3.725,0.0320075
3.74375,0.0205133,3.74375,0.0424214
3.7625,0.0218504,3.7625,0.0531031
3.78125,0.023589,3.78125,0.0642287
3.8,0.0257856,3.8,0.0759863
3.81875,0.0286458,3.81875,0.0887141
3.8375,0.0327597,3.8375,0.102484
3.85625,0.0383119,3.85625,0.116707
3.875,0.0444612,3.875,0.131403
3.89375,0.0510434,3.89375,0.148025
3.9125,0.0594109,3.9125,0.16762
3.93125,0.0707496,3.93125,0.190286
3.95,0.086051,3.95,0.216705
3.96875,0.107521,3.96875,0.247862
3.9875,0.138428,3.9875,0.284372
4.00625,0.184244,4.00625,0.326939
4.025,0.255293,4.025,0.373882
4.04375,0.367824,4.04375,0.415642
4.0625,0.542967,4.0625,0.42099
4.08125,0.772244,4.08125,0.310311
4.1,0.919982,4.1,0.0140505
