Frequency in GHz,dB(sub-3\s3_3)
2,-2.27999
2.00167,-2.29471
2.00333,-2.30952
2.005,-2.32443
2.00667,-2.33943
2.00833,-2.35453
2.01,-2.36973
2.01167,-2.38502
2.01333,-2.40041
2.015,-2.4159
2.01667,-2.43149
2.01833,-2.44717
2.02,-2.46296
2.02167,-2.47885
2.02333,-2.49484
2.025,-2.51093
2.02667,-2.52712
2.02833,-2.54342
2.03,-2.55982
2.03167,-2.57633
2.03333,-2.59294
2.035,-2.60965
2.03667,-2.62647
2.03833,-2.6434
2.04,-2.66044
2.04167,-2.67758
2.04333,-2.69483
2.045,-2.7122
2.04667,-2.72967
2.04833,-2.74725
2.05,-2.76495
2.05167,-2.78275
2.05333,-2.80067
2.055,-2.8187
2.05667,-2.83685
2.05833,-2.85511
2.06,-2.87348
2.06167,-2.89197
2.06333,-2.91058
2.065,-2.92931
2.06667,-2.94815
2.06833,-2.96711
2.07,-2.98619
2.07167,-3.00539
2.07333,-3.02471
2.075,-3.04415
2.07667,-3.06371
2.07833,-3.0834
2.08,-3.10321
2.08167,-3.12314
2.08333,-3.1432
2.085,-3.16338
2.08667,-3.18369
2.08833,-3.20413
2.09,-3.22469
2.09167,-3.24538
2.09333,-3.2662
2.095,-3.28715
2.09667,-3.30823
2.09833,-3.32944
2.1,-3.35078
2.10167,-3.37225
2.10333,-3.39386
2.105,-3.4156
2.10667,-3.43748
2.10833,-3.45949
2.11,-3.48163
2.11167,-3.50392
2.11333,-3.52634
2.115,-3.54889
2.11667,-3.57159
2.11833,-3.59443
2.12,-3.61741
2.12167,-3.64052
2.12333,-3.66378
2.125,-3.68718
2.12667,-3.71073
2.12833,-3.73442
2.13,-3.75825
2.13167,-3.78223
2.13333,-3.80636
2.135,-3.83063
2.13667,-3.85505
2.13833,-3.87962
2.14,-3.90433
2.14167,-3.9292
2.14333,-3.95422
2.145,-3.97939
2.14667,-4.00471
2.14833,-4.03018
2.15,-4.05581
2.15167,-4.08159
2.15333,-4.10753
2.155,-4.13362
2.15667,-4.15987
2.15833,-4.18628
2.16,-4.21284
2.16167,-4.23956
2.16333,-4.26645
2.165,-4.29349
2.16667,-4.3207
2.16833,-4.34806
2.17,-4.37559
2.17167,-4.40329
2.17333,-4.43114
2.175,-4.45916
2.17667,-4.48735
2.17833,-4.51571
2.18,-4.54423
2.18167,-4.57291
2.18333,-4.60177
2.185,-4.6308
2.18667,-4.66
2.18833,-4.68936
2.19,-4.7189
2.19167,-4.74862
2.19333,-4.7785
2.195,-4.80856
2.19667,-4.83879
2.19833,-4.8692
2.2,-4.89979
2.20167,-4.93055
2.20333,-4.96149
2.205,-4.9926
2.20667,-5.0239
2.20833,-5.05537
2.21,-5.08703
2.21167,-5.11887
2.21333,-5.15088
2.215,-5.18308
2.21667,-5.21547
2.21833,-5.24803
2.22,-5.28079
2.22167,-5.31372
2.22333,-5.34685
2.225,-5.38015
2.22667,-5.41365
2.22833,-5.44733
2.23,-5.48121
2.23167,-5.51527
2.23333,-5.54952
2.235,-5.58396
2.23667,-5.61859
2.23833,-5.65341
2.24,-5.68843
2.24167,-5.72364
2.24333,-5.75904
2.245,-5.79463
2.24667,-5.83042
2.24833,-5.8664
2.25,-5.90258
2.25167,-5.93896
2.25333,-5.97553
2.255,-6.0123
2.25667,-6.04926
2.25833,-6.08643
2.26,-6.12379
2.26167,-6.16135
2.26333,-6.19911
2.265,-6.23707
2.26667,-6.27523
2.26833,-6.31359
2.27,-6.35215
2.27167,-6.39091
2.27333,-6.42988
2.275,-6.46904
2.27667,-6.50841
2.27833,-6.54798
2.28,-6.58775
2.28167,-6.62772
2.28333,-6.6679
2.285,-6.70828
2.28667,-6.74886
2.28833,-6.78965
2.29,-6.83064
2.29167,-6.87183
2.29333,-6.91323
2.295,-6.95483
2.29667,-6.99663
2.29833,-7.03864
