Frequency in GHz,dB(sub-3\s3_3)
2,-1.01045
2.00167,-1.01996
2.00333,-1.02955
2.005,-1.03923
2.00667,-1.049
2.00833,-1.05886
2.01,-1.06881
2.01167,-1.07886
2.01333,-1.08899
2.015,-1.09922
2.01667,-1.10954
2.01833,-1.11995
2.02,-1.13046
2.02167,-1.14107
2.02333,-1.15177
2.025,-1.16257
2.02667,-1.17347
2.02833,-1.18446
2.03,-1.19555
2.03167,-1.20675
2.03333,-1.21804
2.035,-1.22943
2.03667,-1.24093
2.03833,-1.25253
2.04,-1.26423
2.04167,-1.27604
2.04333,-1.28795
2.045,-1.29996
2.04667,-1.31208
2.04833,-1.32431
2.05,-1.33665
2.05167,-1.34909
2.05333,-1.36164
2.055,-1.3743
2.05667,-1.38707
2.05833,-1.39994
2.06,-1.41293
2.06167,-1.42603
2.06333,-1.43925
2.065,-1.45257
2.06667,-1.46601
2.06833,-1.47956
2.07,-1.49323
2.07167,-1.50701
2.07333,-1.5209
2.075,-1.53491
2.07667,-1.54904
2.07833,-1.56329
2.08,-1.57765
2.08167,-1.59213
2.08333,-1.60672
2.085,-1.62144
2.08667,-1.63627
2.08833,-1.65123
2.09,-1.6663
2.09167,-1.68149
2.09333,-1.69681
2.095,-1.71224
2.09667,-1.7278
2.09833,-1.74347
2.1,-1.75927
2.10167,-1.77519
2.10333,-1.79123
2.105,-1.8074
2.10667,-1.82368
2.10833,-1.84009
2.11,-1.85662
2.11167,-1.87328
2.11333,-1.89006
2.115,-1.90696
2.11667,-1.92398
2.11833,-1.94112
2.12,-1.95839
2.12167,-1.97578
2.12333,-1.9933
2.125,-2.01093
2.12667,-2.02869
2.12833,-2.04657
2.13,-2.06458
2.13167,-2.0827
2.13333,-2.10095
2.135,-2.11931
2.13667,-2.1378
2.13833,-2.1564
2.14,-2.17513
2.14167,-2.19398
2.14333,-2.21294
2.145,-2.23202
2.14667,-2.25122
2.14833,-2.27054
2.15,-2.28997
2.15167,-2.30951
2.15333,-2.32918
2.155,-2.34895
2.15667,-2.36884
2.15833,-2.38883
2.16,-2.40894
2.16167,-2.42916
2.16333,-2.44949
2.165,-2.46992
2.16667,-2.49046
