# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
1.950000000000000E+009 -3.055058087351096E+000 -6.140375632713229E+001 -3.055058087351096E+000 -6.140375632713229E+001 -3.055058087351096E+000 -6.140375632713229E+001 -3.055058087351096E+000 -6.140375632713229E+001 
1.955000000000000E+009 -3.113225209451077E+000 -6.268780751467512E+001 -3.113225209451077E+000 -6.268780751467512E+001 -3.113225209451077E+000 -6.268780751467512E+001 -3.113225209451077E+000 -6.268780751467512E+001 
1.960000000000000E+009 -3.179818466283140E+000 -6.391541078518583E+001 -3.179818466283140E+000 -6.391541078518583E+001 -3.179818466283140E+000 -6.391541078518583E+001 -3.179818466283140E+000 -6.391541078518583E+001 
1.965000000000000E+009 -3.245978597074445E+000 -6.508336402886458E+001 -3.245978597074445E+000 -6.508336402886458E+001 -3.245978597074445E+000 -6.508336402886458E+001 -3.245978597074445E+000 -6.508336402886458E+001 
1.970000000000000E+009 -3.306720593780127E+000 -6.618994060167006E+001 -3.306720593780127E+000 -6.618994060167006E+001 -3.306720593780127E+000 -6.618994060167006E+001 -3.306720593780127E+000 -6.618994060167006E+001 
1.975000000000000E+009 -3.367323790252488E+000 -6.735919669667042E+001 -3.367323790252488E+000 -6.735919669667042E+001 -3.367323790252488E+000 -6.735919669667042E+001 -3.367323790252488E+000 -6.735919669667042E+001 
1.980000000000000E+009 -3.428195343700795E+000 -6.846852585340278E+001 -3.428195343700795E+000 -6.846852585340278E+001 -3.428195343700795E+000 -6.846852585340278E+001 -3.428195343700795E+000 -6.846852585340278E+001 
1.985000000000000E+009 -3.495518597688704E+000 -6.953638798966851E+001 -3.495518597688704E+000 -6.953638798966851E+001 -3.495518597688704E+000 -6.953638798966851E+001 -3.495518597688704E+000 -6.953638798966851E+001 
1.990000000000000E+009 -3.562246447848917E+000 -7.054097992463589E+001 -3.562246447848917E+000 -7.054097992463589E+001 -3.562246447848917E+000 -7.054097992463589E+001 -3.562246447848917E+000 -7.054097992463589E+001 
1.995000000000000E+009 -3.624716679339680E+000 -7.148972220946212E+001 -3.624716679339680E+000 -7.148972220946212E+001 -3.624716679339680E+000 -7.148972220946212E+001 -3.624716679339680E+000 -7.148972220946212E+001 
2.000000000000000E+009 -3.685761389863567E+000 -7.239361084194124E+001 -3.685761389863567E+000 -7.239361084194124E+001 -3.685761389863567E+000 -7.239361084194124E+001 -3.685761389863567E+000 -7.239361084194124E+001 
2.005000000000000E+009 -3.736440613006942E+000 -7.328312765638137E+001 -3.736440613006942E+000 -7.328312765638137E+001 -3.736440613006942E+000 -7.328312765638137E+001 -3.736440613006942E+000 -7.328312765638137E+001 
2.010000000000000E+009 -3.777504404774354E+000 -7.414682794289823E+001 -3.777504404774354E+000 -7.414682794289823E+001 -3.777504404774354E+000 -7.414682794289823E+001 -3.777504404774354E+000 -7.414682794289823E+001 
2.015000000000000E+009 -3.819970338117417E+000 -7.500242831409449E+001 -3.819970338117417E+000 -7.500242831409449E+001 -3.819970338117417E+000 -7.500242831409449E+001 -3.819970338117417E+000 -7.500242831409449E+001 
2.020000000000000E+009 -3.857329327782181E+000 -7.584154673128941E+001 -3.857329327782181E+000 -7.584154673128941E+001 -3.857329327782181E+000 -7.584154673128941E+001 -3.857329327782181E+000 -7.584154673128941E+001 
2.025000000000000E+009 -3.887220335923587E+000 -7.666333051089052E+001 -3.887220335923587E+000 -7.666333051089052E+001 -3.887220335923587E+000 -7.666333051089052E+001 -3.887220335923587E+000 -7.666333051089052E+001 
2.030000000000000E+009 -3.913894686703111E+000 -7.745998034898615E+001 -3.913894686703111E+000 -7.745998034898615E+001 -3.913894686703111E+000 -7.745998034898615E+001 -3.913894686703111E+000 -7.745998034898615E+001 
2.035000000000000E+009 -3.934279454690373E+000 -7.821074863736371E+001 -3.934279454690373E+000 -7.821074863736371E+001 -3.934279454690373E+000 -7.821074863736371E+001 -3.934279454690373E+000 -7.821074863736371E+001 
2.040000000000000E+009 -3.942279295424874E+000 -7.896981840401264E+001 -3.942279295424874E+000 -7.896981840401264E+001 -3.942279295424874E+000 -7.896981840401264E+001 -3.942279295424874E+000 -7.896981840401264E+001 
2.045000000000000E+009 -3.939483982811043E+000 -7.973418766650534E+001 -3.939483982811043E+000 -7.973418766650534E+001 -3.939483982811043E+000 -7.973418766650534E+001 -3.939483982811043E+000 -7.973418766650534E+001 
2.050000000000000E+009 -3.929886546038496E+000 -8.054786684239393E+001 -3.929886546038496E+000 -8.054786684239393E+001 -3.929886546038496E+000 -8.054786684239393E+001 -3.929886546038496E+000 -8.054786684239393E+001 
2.055000000000000E+009 -3.916657111963343E+000 -8.137600092792289E+001 -3.916657111963343E+000 -8.137600092792289E+001 -3.916657111963343E+000 -8.137600092792289E+001 -3.916657111963343E+000 -8.137600092792289E+001 
2.060000000000000E+009 -3.897338504479941E+000 -8.223500008572063E+001 -3.897338504479941E+000 -8.223500008572063E+001 -3.897338504479941E+000 -8.223500008572063E+001 -3.897338504479941E+000 -8.223500008572063E+001 
2.065000000000000E+009 -3.872576278316191E+000 -8.311070450953434E+001 -3.872576278316191E+000 -8.311070450953434E+001 -3.872576278316191E+000 -8.311070450953434E+001 -3.872576278316191E+000 -8.311070450953434E+001 
2.070000000000000E+009 -3.837145157625291E+000 -8.407743525081355E+001 -3.837145157625291E+000 -8.407743525081355E+001 -3.837145157625291E+000 -8.407743525081355E+001 -3.837145157625291E+000 -8.407743525081355E+001 
2.075000000000000E+009 -3.805398857587936E+000 -8.508747510269055E+001 -3.805398857587936E+000 -8.508747510269055E+001 -3.805398857587936E+000 -8.508747510269055E+001 -3.805398857587936E+000 -8.508747510269055E+001 
2.080000000000000E+009 -3.767946162407244E+000 -8.614913993667875E+001 -3.767946162407244E+000 -8.614913993667875E+001 -3.767946162407244E+000 -8.614913993667875E+001 -3.767946162407244E+000 -8.614913993667875E+001 
2.085000000000000E+009 -3.736900280503450E+000 -8.726240885560252E+001 -3.736900280503450E+000 -8.726240885560252E+001 -3.736900280503450E+000 -8.726240885560252E+001 -3.736900280503450E+000 -8.726240885560252E+001 
2.090000000000000E+009 -3.710429903799489E+000 -8.841729486011370E+001 -3.710429903799489E+000 -8.841729486011370E+001 -3.710429903799489E+000 -8.841729486011370E+001 -3.710429903799489E+000 -8.841729486011370E+001 
2.095000000000000E+009 -3.688113277941302E+000 -8.957185088197463E+001 -3.688113277941302E+000 -8.957185088197463E+001 -3.688113277941302E+000 -8.957185088197463E+001 -3.688113277941302E+000 -8.957185088197463E+001 
2.100000000000000E+009 -3.665540627172030E+000 -9.075615544827934E+001 -3.665540627172030E+000 -9.075615544827934E+001 -3.665540627172030E+000 -9.075615544827934E+001 -3.665540627172030E+000 -9.075615544827934E+001 
2.105000000000000E+009 -3.646104898332113E+000 -9.194819580256507E+001 -3.646104898332113E+000 -9.194819580256507E+001 -3.646104898332113E+000 -9.194819580256507E+001 -3.646104898332113E+000 -9.194819580256507E+001 
2.110000000000000E+009 -3.628249149153187E+000 -9.315673191368911E+001 -3.628249149153187E+000 -9.315673191368911E+001 -3.628249149153187E+000 -9.315673191368911E+001 -3.628249149153187E+000 -9.315673191368911E+001 
2.115000000000000E+009 -3.609286660783005E+000 -9.439302041518344E+001 -3.609286660783005E+000 -9.439302041518344E+001 -3.609286660783005E+000 -9.439302041518344E+001 -3.609286660783005E+000 -9.439302041518344E+001 
2.120000000000000E+009 -3.589343582847133E+000 -9.558792735810228E+001 -3.589343582847133E+000 -9.558792735810228E+001 -3.589343582847133E+000 -9.558792735810228E+001 -3.589343582847133E+000 -9.558792735810228E+001 
2.125000000000000E+009 -3.569390305808840E+000 -9.685932792430207E+001 -3.569390305808840E+000 -9.685932792430207E+001 -3.569390305808840E+000 -9.685932792430207E+001 -3.569390305808840E+000 -9.685932792430207E+001 
2.130000000000000E+009 -3.544124734542486E+000 -9.815764161181645E+001 -3.544124734542486E+000 -9.815764161181645E+001 -3.544124734542486E+000 -9.815764161181645E+001 -3.544124734542486E+000 -9.815764161181645E+001 
2.135000000000000E+009 -3.519039086449613E+000 -9.952351267510694E+001 -3.519039086449613E+000 -9.952351267510694E+001 -3.519039086449613E+000 -9.952351267510694E+001 -3.519039086449613E+000 -9.952351267510694E+001 
2.140000000000000E+009 -3.512196564434086E+000 -1.009713464781007E+002 -3.512196564434086E+000 -1.009713464781007E+002 -3.512196564434086E+000 -1.009713464781007E+002 -3.512196564434086E+000 -1.009713464781007E+002 
2.145000000000000E+009 -3.514388258080303E+000 -1.023719777639692E+002 -3.514388258080303E+000 -1.023719777639692E+002 -3.514388258080303E+000 -1.023719777639692E+002 -3.514388258080303E+000 -1.023719777639692E+002 
2.150000000000000E+009 -3.515432849563654E+000 -1.037848581678875E+002 -3.515432849563654E+000 -1.037848581678875E+002 -3.515432849563654E+000 -1.037848581678875E+002 -3.515432849563654E+000 -1.037848581678875E+002 
2.155000000000000E+009 -3.523260857137083E+000 -1.052006230488106E+002 -3.523260857137083E+000 -1.052006230488106E+002 -3.523260857137083E+000 -1.052006230488106E+002 -3.523260857137083E+000 -1.052006230488106E+002 
2.160000000000000E+009 -3.544818698341163E+000 -1.066272401071187E+002 -3.544818698341163E+000 -1.066272401071187E+002 -3.544818698341163E+000 -1.066272401071187E+002 -3.544818698341163E+000 -1.066272401071187E+002 
2.165000000000000E+009 -3.572333519319753E+000 -1.080188202436081E+002 -3.572333519319753E+000 -1.080188202436081E+002 -3.572333519319753E+000 -1.080188202436081E+002 -3.572333519319753E+000 -1.080188202436081E+002 
