# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
1.950000000000000E+009 -3.028055346494003E+000 -6.132861523843714E+001 -3.028055346494003E+000 -6.132861523843714E+001 -3.028055346494003E+000 -6.132861523843714E+001 -3.028055346494003E+000 -6.132861523843714E+001 
1.955000000000000E+009 -3.084429916528522E+000 -6.261105522480942E+001 -3.084429916528522E+000 -6.261105522480942E+001 -3.084429916528522E+000 -6.261105522480942E+001 -3.084429916528522E+000 -6.261105522480942E+001 
1.960000000000000E+009 -3.146028086046924E+000 -6.385702394948674E+001 -3.146028086046924E+000 -6.385702394948674E+001 -3.146028086046924E+000 -6.385702394948674E+001 -3.146028086046924E+000 -6.385702394948674E+001 
1.965000000000000E+009 -3.211360937710258E+000 -6.506865881575028E+001 -3.211360937710258E+000 -6.506865881575028E+001 -3.211360937710258E+000 -6.506865881575028E+001 -3.211360937710258E+000 -6.506865881575028E+001 
1.970000000000000E+009 -3.271874460235123E+000 -6.623343628764553E+001 -3.271874460235123E+000 -6.623343628764553E+001 -3.271874460235123E+000 -6.623343628764553E+001 -3.271874460235123E+000 -6.623343628764553E+001 
1.975000000000000E+009 -3.334934350633468E+000 -6.737940962298603E+001 -3.334934350633468E+000 -6.737940962298603E+001 -3.334934350633468E+000 -6.737940962298603E+001 -3.334934350633468E+000 -6.737940962298603E+001 
1.980000000000000E+009 -3.397650679008382E+000 -6.852198714676987E+001 -3.397650679008382E+000 -6.852198714676987E+001 -3.397650679008382E+000 -6.852198714676987E+001 -3.397650679008382E+000 -6.852198714676987E+001 
1.985000000000000E+009 -3.468027396050349E+000 -6.956380035606608E+001 -3.468027396050349E+000 -6.956380035606608E+001 -3.468027396050349E+000 -6.956380035606608E+001 -3.468027396050349E+000 -6.956380035606608E+001 
1.990000000000000E+009 -3.537028425079913E+000 -7.059631821831732E+001 -3.537028425079913E+000 -7.059631821831732E+001 -3.537028425079913E+000 -7.059631821831732E+001 -3.537028425079913E+000 -7.059631821831732E+001 
1.995000000000000E+009 -3.603570812942497E+000 -7.153324700034061E+001 -3.603570812942497E+000 -7.153324700034061E+001 -3.603570812942497E+000 -7.153324700034061E+001 -3.603570812942497E+000 -7.153324700034061E+001 
2.000000000000000E+009 -3.664445819837927E+000 -7.242716731570414E+001 -3.664445819837927E+000 -7.242716731570414E+001 -3.664445819837927E+000 -7.242716731570414E+001 -3.664445819837927E+000 -7.242716731570414E+001 
2.005000000000000E+009 -3.713351172190126E+000 -7.328961599469218E+001 -3.713351172190126E+000 -7.328961599469218E+001 -3.713351172190126E+000 -7.328961599469218E+001 -3.713351172190126E+000 -7.328961599469218E+001 
2.010000000000000E+009 -3.749739472245634E+000 -7.414305907404146E+001 -3.749739472245634E+000 -7.414305907404146E+001 -3.749739472245634E+000 -7.414305907404146E+001 -3.749739472245634E+000 -7.414305907404146E+001 
2.015000000000000E+009 -3.783455283129969E+000 -7.501147766931848E+001 -3.783455283129969E+000 -7.501147766931848E+001 -3.783455283129969E+000 -7.501147766931848E+001 -3.783455283129969E+000 -7.501147766931848E+001 
