% Version 1.00
%
%freq[Hz],db:Trc1_S11,ang:Trc1_S11,
2.000000000000000E+009,-5.477544755438217E+000,1.862961355561919E+001,
2.005000000000000E+009,-5.462631042290226E+000,1.728546626248778E+001,
2.010000000000000E+009,-5.447542965047978E+000,1.606997148477408E+001,
2.015000000000000E+009,-5.430174344547048E+000,1.490293670235805E+001,
2.020000000000000E+009,-5.419977102820726E+000,1.372489865534929E+001,
2.025000000000000E+009,-5.406018860812694E+000,1.275944207928320E+001,
2.030000000000000E+009,-5.403934334234874E+000,1.182073917939318E+001,
2.035000000000000E+009,-5.400683907099436E+000,1.090960089494850E+001,
2.040000000000000E+009,-5.403075289185544E+000,1.008647760717994E+001,
2.045000000000000E+009,-5.388473911448647E+000,9.534850059075902E+000,
2.050000000000000E+009,-5.361121872992579E+000,8.984215205380751E+000,
2.055000000000000E+009,-5.328039187143429E+000,8.499064478940881E+000,
2.060000000000000E+009,-5.270144772795853E+000,7.960173226038138E+000,
2.065000000000000E+009,-5.183514395197346E+000,7.583998630899556E+000,
2.070000000000000E+009,-5.092259911380516E+000,7.058504130523989E+000,
2.075000000000000E+009,-4.989953404375685E+000,6.403145148244700E+000,
2.080000000000000E+009,-4.870300746239082E+000,5.562386660891699E+000,
2.085000000000000E+009,-4.746910575754284E+000,4.827785033596784E+000,
2.090000000000000E+009,-4.633386373581295E+000,3.882774732500664E+000,
2.095000000000000E+009,-4.527534368091893E+000,2.729387172860615E+000,
2.100000000000000E+009,-4.435640833865941E+000,1.416955053877662E+000,
2.105000000000000E+009,-4.354940983417393E+000,4.539762257564120E-001,
2.110000000000000E+009,-4.278445073367678E+000,-6.788413715258779E-001,
2.115000000000000E+009,-4.208198249552154E+000,-2.025568749680967E+000,
2.120000000000000E+009,-4.139857233216046E+000,-3.461606592447053E+000,
2.125000000000000E+009,-4.100621828104923E+000,-4.591738158965853E+000,
2.130000000000000E+009,-4.073824840749750E+000,-5.881156053607814E+000,
2.135000000000000E+009,-4.036880718258571E+000,-7.322710792886860E+000,
2.140000000000000E+009,-3.993351452959836E+000,-8.877652410031601E+000,
2.145000000000000E+009,-3.971597903670544E+000,-1.002279608865926E+001,
2.150000000000000E+009,-3.965250869912785E+000,-1.138148273904248E+001,
2.155000000000000E+009,-3.968659745456073E+000,-1.291918316879845E+001,
2.160000000000000E+009,-3.964602685495740E+000,-1.457036092813021E+001,
2.165000000000000E+009,-3.987086552747400E+000,-1.596455350980780E+001,
2.170000000000000E+009,-4.019450459113598E+000,-1.745256611927978E+001,
2.175000000000000E+009,-4.055826215600172E+000,-1.902967794459832E+001,
2.180000000000000E+009,-4.094435024594632E+000,-2.062582601978625E+001,
2.185000000000000E+009,-4.155712164845436E+000,-2.205764896544587E+001,
2.190000000000000E+009,-4.222050801254495E+000,-2.353536704580939E+001,
2.195000000000000E+009,-4.292855184798668E+000,-2.504498811251013E+001,
2.200000000000000E+009,-4.363623211608089E+000,-2.655790410443397E+001,
2.205000000000000E+009,-4.450622816935739E+000,-2.800117977487506E+001,
2.210000000000000E+009,-4.543058952218376E+000,-2.946763523136191E+001,
2.215000000000000E+009,-4.631817086324459E+000,-3.095495083547806E+001,
2.220000000000000E+009,-4.715773812243667E+000,-3.246585745769080E+001,
2.225000000000000E+009,-4.820406182897751E+000,-3.401453644717454E+001,
2.230000000000000E+009,-4.930422034123408E+000,-3.566106643537508E+001,
2.235000000000000E+009,-5.049607237927429E+000,-3.734021519087663E+001,
2.240000000000000E+009,-5.178836302831838E+000,-3.897578668964740E+001,
2.245000000000000E+009,-5.340995326581070E+000,-4.064895712638087E+001,
2.250000000000000E+009,-5.506261586209501E+000,-4.232933338095194E+001,
2.255000000000000E+009,-5.679085254372771E+000,-4.399184016075254E+001,
2.260000000000000E+009,-5.861557300525789E+000,-4.555716584893938E+001,
2.265000000000000E+009,-6.069939016299879E+000,-4.718648469850067E+001,
2.270000000000000E+009,-6.285203996124436E+000,-4.874443598653024E+001,
