# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
1.950000000000000E+009 -5.042827273289984E+000 -1.498954491782939E+002 -5.042827273289984E+000 -1.498954491782939E+002 -5.042827273289984E+000 -1.498954491782939E+002 -5.042827273289984E+000 -1.498954491782939E+002 
1.955000000000000E+009 -5.054401250231413E+000 -1.524651152237303E+002 -5.054401250231413E+000 -1.524651152237303E+002 -5.054401250231413E+000 -1.524651152237303E+002 -5.054401250231413E+000 -1.524651152237303E+002 
1.960000000000000E+009 -5.076009644186684E+000 -1.550014565467615E+002 -5.076009644186684E+000 -1.550014565467615E+002 -5.076009644186684E+000 -1.550014565467615E+002 -5.076009644186684E+000 -1.550014565467615E+002 
1.965000000000000E+009 -5.097308787719276E+000 -1.575112131949603E+002 -5.097308787719276E+000 -1.575112131949603E+002 -5.097308787719276E+000 -1.575112131949603E+002 -5.097308787719276E+000 -1.575112131949603E+002 
1.970000000000000E+009 -5.116388546932909E+000 -1.600039772873065E+002 -5.116388546932909E+000 -1.600039772873065E+002 -5.116388546932909E+000 -1.600039772873065E+002 -5.116388546932909E+000 -1.600039772873065E+002 
1.975000000000000E+009 -5.147474753768607E+000 -1.625090322065722E+002 -5.147474753768607E+000 -1.625090322065722E+002 -5.147474753768607E+000 -1.625090322065722E+002 -5.147474753768607E+000 -1.625090322065722E+002 
1.980000000000000E+009 -5.188791427261404E+000 -1.649690358348798E+002 -5.188791427261404E+000 -1.649690358348798E+002 -5.188791427261404E+000 -1.649690358348798E+002 -5.188791427261404E+000 -1.649690358348798E+002 
1.985000000000000E+009 -5.226910689503718E+000 -1.672484575032996E+002 -5.226910689503718E+000 -1.672484575032996E+002 -5.226910689503718E+000 -1.672484575032996E+002 -5.226910689503718E+000 -1.672484575032996E+002 
1.990000000000000E+009 -5.276738307577681E+000 -1.697280058133449E+002 -5.276738307577681E+000 -1.697280058133449E+002 -5.276738307577681E+000 -1.697280058133449E+002 -5.276738307577681E+000 -1.697280058133449E+002 
1.995000000000000E+009 -5.334635972518780E+000 -1.721843526430711E+002 -5.334635972518780E+000 -1.721843526430711E+002 -5.334635972518780E+000 -1.721843526430711E+002 -5.334635972518780E+000 -1.721843526430711E+002 
2.000000000000000E+009 -5.406751518060420E+000 -1.746658882916166E+002 -5.406751518060420E+000 -1.746658882916166E+002 -5.406751518060420E+000 -1.746658882916166E+002 -5.406751518060420E+000 -1.746658882916166E+002 
2.005000000000000E+009 -5.490606684005061E+000 -1.771046197186127E+002 -5.490606684005061E+000 -1.771046197186127E+002 -5.490606684005061E+000 -1.771046197186127E+002 -5.490606684005061E+000 -1.771046197186127E+002 
2.010000000000000E+009 -5.588282016855295E+000 -1.794669578852151E+002 -5.588282016855295E+000 -1.794669578852151E+002 -5.588282016855295E+000 -1.794669578852151E+002 -5.588282016855295E+000 -1.794669578852151E+002 
2.015000000000000E+009 -5.695433228417365E+000 1.782443964362806E+002 -5.695433228417365E+000 1.782443964362806E+002 -5.695433228417365E+000 1.782443964362806E+002 -5.695433228417365E+000 1.782443964362806E+002 
2.020000000000000E+009 -5.804922446419392E+000 1.760487830073971E+002 -5.804922446419392E+000 1.760487830073971E+002 -5.804922446419392E+000 1.760487830073971E+002 -5.804922446419392E+000 1.760487830073971E+002 
2.025000000000000E+009 -5.917114685341416E+000 1.739266024582259E+002 -5.917114685341416E+000 1.739266024582259E+002 -5.917114685341416E+000 1.739266024582259E+002 -5.917114685341416E+000 1.739266024582259E+002 
