x   z
0.000000 -8.934850 
-0.547612 -11.146902 
-1.306443 -13.264533 
-2.223092 -14.986868 
-3.237104 -16.274020 
-4.297583 -17.156914 
-5.362067 -17.676367 
-6.394498 -17.871426 
-7.363735 -17.777629 
-8.243701 -17.429842 
-9.012698 -16.861573 
-9.657122 -16.111935 
-10.171211 -15.222293 
-10.560898 -14.239722 
-10.845793 -13.215637 
-11.053377 -12.195522 
-11.211845 -11.211845 
-11.336901 -10.275168 
-11.418115 -9.370605 
-11.422728 -8.471673 
-11.300708 -7.550891 
-11.000917 -6.593696 
-10.483828 -5.603723 
-9.739279 -4.606336 
-8.818239 -3.652634 
-7.883394 -2.820723 
-7.203960 -2.185297 
-6.994321 -1.751986 
-7.175266 -1.427249 
-7.456604 -1.106083 
-7.565101 -0.745097 
-7.337884 -0.360487 
-6.704304 -0.000000 
-5.696444 0.279848 
-4.552915 0.448423 
-3.894911 0.577755 
-4.349191 0.865108 
-5.640627 1.412904 
-7.042627 2.136358 
-8.177135 2.925826 
-8.975766 3.717884 
-9.482238 4.484764 
-9.785653 5.230541 
-9.975135 5.978866 
-10.122237 6.763463 
-10.254626 7.605349 
-10.350517 8.494450 
-10.363408 9.392846 
-10.246675 10.246675 
-9.969268 10.999392 
-9.518672 11.598535 
-8.899819 12.000017 
-8.128311 12.164877 
-7.229911 12.062377 
-6.240745 11.675613 
-5.207327 11.009969 
-4.195004 10.127635 
-3.289245 9.192824 
-2.574534 8.487100 
-2.070256 8.264926 
-1.691861 8.505560 
-1.328425 8.955512 
-0.923364 9.375068 
-0.473943 9.647337 
-0.000000 9.770450 
0.482405 9.819586 
0.975881 9.908285 
1.503095 10.133043 
2.092012 10.517256 
2.755555 11.000791 
3.484238 11.485992 
4.254930 11.891732 
5.040397 12.168595 
5.816288 12.297507 
6.563300 12.279071 
7.264991 12.120905 
7.906174 11.832426 
8.469727 11.420105 
8.936624 10.889308 
9.283001 10.242214 
9.487355 9.487355 
9.523135 8.631266 
9.374414 7.693383 
9.027944 6.695579 
8.483561 5.668534 
7.753640 4.647353 
6.860176 3.666841 
5.834137 2.759341 
4.687896 1.941790 
3.428456 1.226721 
2.074933 0.629424 
0.773037 0.193636 
0.000000 0.000000 
0.375053 0.055634 
1.853238 0.182528 
3.761494 0.184790 
5.619872 -0.000000 
7.249158 -0.356128 
8.601163 -0.847141 
9.670588 -1.434496 
10.463660 -2.081351 
10.987874 -2.752319 
11.259642 -3.415575 
11.300813 -4.043496 
11.145780 -4.616733 
10.841363 -5.127583 
10.449337 -5.585287 
10.029053 -6.011183 
9.621434 -6.428837 
9.231775 -6.846751 
8.823843 -7.241541 
8.337789 -7.556932 
7.719942 -7.719942 
6.934844 -7.651421 
5.974225 -7.279614 
4.878017 -6.577245 
3.782574 -5.661021 
2.982635 -4.976227 
2.770963 -5.184107 
2.967624 -6.274515 
3.147176 -7.597954 
3.109094 -8.689336 
2.840329 -9.363309 
2.391166 -9.546070 
1.832876 -9.214490 
1.250892 -8.432832 
0.743783 -7.551756 
0.368197 -7.494821 
-0.000000 -8.934850 
