# Version 1.00
#
freq[Hz],db:Trc1_S11,ang:Trc1_S11,db:Trc2_S11,ang:Trc2_S11,db:Trc3_S11,ang:Trc3_S11,db:Trc4_S11,ang:Trc4_S11,
1.950000000000000E+009,-9.467859642405051E+000,6.655419767537865E+001,-9.467859642405051E+000,6.655419767537865E+001,-9.467859642405051E+000,6.655419767537865E+001,-9.467859642405051E+000,6.655419767537865E+001,
1.955000000000000E+009,-9.279989002947284E+000,6.024140059161979E+001,-9.279989002947284E+000,6.024140059161979E+001,-9.279989002947284E+000,6.024140059161979E+001,-9.279989002947284E+000,6.024140059161979E+001,
1.960000000000000E+009,-9.034840876335316E+000,5.441632236404593E+001,-9.034840876335316E+000,5.441632236404593E+001,-9.034840876335316E+000,5.441632236404593E+001,-9.034840876335316E+000,5.441632236404593E+001,
1.965000000000000E+009,-8.757675817419415E+000,4.919062263936459E+001,-8.757675817419415E+000,4.919062263936459E+001,-8.757675817419415E+000,4.919062263936459E+001,-8.757675817419415E+000,4.919062263936459E+001,
1.970000000000000E+009,-8.474080397172285E+000,4.468273129841654E+001,-8.474080397172285E+000,4.468273129841654E+001,-8.474080397172285E+000,4.468273129841654E+001,-8.474080397172285E+000,4.468273129841654E+001,
1.975000000000000E+009,-8.209816342957529E+000,4.081082994661104E+001,-8.209816342957529E+000,4.081082994661104E+001,-8.209816342957529E+000,4.081082994661104E+001,-8.209816342957529E+000,4.081082994661104E+001,
1.980000000000000E+009,-7.981777456290087E+000,3.770122428259752E+001,-7.981777456290087E+000,3.770122428259752E+001,-7.981777456290087E+000,3.770122428259752E+001,-7.981777456290087E+000,3.770122428259752E+001,
1.985000000000000E+009,-7.782613174791191E+000,3.528148111149974E+001,-7.782613174791191E+000,3.528148111149974E+001,-7.782613174791191E+000,3.528148111149974E+001,-7.782613174791191E+000,3.528148111149974E+001,
1.990000000000000E+009,-7.612843498076932E+000,3.346424250688549E+001,-7.612843498076932E+000,3.346424250688549E+001,-7.612843498076932E+000,3.346424250688549E+001,-7.612843498076932E+000,3.346424250688549E+001,
1.995000000000000E+009,-7.473248965769851E+000,3.211553147743670E+001,-7.473248965769851E+000,3.211553147743670E+001,-7.473248965769851E+000,3.211553147743670E+001,-7.473248965769851E+000,3.211553147743670E+001,
2.000000000000000E+009,-7.379028865307935E+000,3.113294410370685E+001,-7.379028865307935E+000,3.113294410370685E+001,-7.379028865307935E+000,3.113294410370685E+001,-7.379028865307935E+000,3.113294410370685E+001,
2.005000000000000E+009,-7.327386628511211E+000,3.049297154168444E+001,-7.327386628511211E+000,3.049297154168444E+001,-7.327386628511211E+000,3.049297154168444E+001,-7.327386628511211E+000,3.049297154168444E+001,
2.010000000000000E+009,-7.314116520863692E+000,3.012469291866450E+001,-7.314116520863692E+000,3.012469291866450E+001,-7.314116520863692E+000,3.012469291866450E+001,-7.314116520863692E+000,3.012469291866450E+001,
2.015000000000000E+009,-7.333234407042698E+000,2.992345479422760E+001,-7.333234407042698E+000,2.992345479422760E+001,-7.333234407042698E+000,2.992345479422760E+001,-7.333234407042698E+000,2.992345479422760E+001,
2.020000000000000E+009,-7.396984978812210E+000,2.981625941276314E+001,-7.396984978812210E+000,2.981625941276314E+001,-7.396984978812210E+000,2.981625941276314E+001,-7.396984978812210E+000,2.981625941276314E+001,
2.025000000000000E+009,-7.500978855167435E+000,2.977288916158715E+001,-7.500978855167435E+000,2.977288916158715E+001,-7.500978855167435E+000,2.977288916158715E+001,-7.500978855167435E+000,2.977288916158715E+001,
2.030000000000000E+009,-7.648081021007863E+000,2.971531709838129E+001,-7.648081021007863E+000,2.971531709838129E+001,-7.648081021007863E+000,2.971531709838129E+001,-7.648081021007863E+000,2.971531709838129E+001,
2.035000000000000E+009,-7.838056282277785E+000,2.965746312134492E+001,-7.838056282277785E+000,2.965746312134492E+001,-7.838056282277785E+000,2.965746312134492E+001,-7.838056282277785E+000,2.965746312134492E+001,
2.040000000000000E+009,-8.051877174968741E+000,2.956244086386425E+001,-8.051877174968741E+000,2.956244086386425E+001,-8.051877174968741E+000,2.956244086386425E+001,-8.051877174968741E+000,2.956244086386425E+001,
2.045000000000000E+009,-8.287324930114012E+000,2.925986088047069E+001,-8.287324930114012E+000,2.925986088047069E+001,-8.287324930114012E+000,2.925986088047069E+001,-8.287324930114012E+000,2.925986088047069E+001,
2.050000000000000E+009,-8.543065413271373E+000,2.863216832296323E+001,-8.543065413271373E+000,2.863216832296323E+001,-8.543065413271373E+000,2.863216832296323E+001,-8.543065413271373E+000,2.863216832296323E+001,
2.055000000000000E+009,-8.812316869950266E+000,2.757754662687670E+001,-8.812316869950266E+000,2.757754662687670E+001,-8.812316869950266E+000,2.757754662687670E+001,-8.812316869950266E+000,2.757754662687670E+001,
2.060000000000000E+009,-9.106297038750984E+000,2.598810174363560E+001,-9.106297038750984E+000,2.598810174363560E+001,-9.106297038750984E+000,2.598810174363560E+001,-9.106297038750984E+000,2.598810174363560E+001,
2.065000000000000E+009,-9.398313312483158E+000,2.393715822113582E+001,-9.398313312483158E+000,2.393715822113582E+001,-9.398313312483158E+000,2.393715822113582E+001,-9.398313312483158E+000,2.393715822113582E+001,
2.070000000000000E+009,-9.671963124384737E+000,2.116533418221193E+001,-9.671963124384737E+000,2.116533418221193E+001,-9.671963124384737E+000,2.116533418221193E+001,-9.671963124384737E+000,2.116533418221193E+001,
2.075000000000000E+009,-9.921323907777261E+000,1.757442716107710E+001,-9.921323907777261E+000,1.757442716107710E+001,-9.921323907777261E+000,1.757442716107710E+001,-9.921323907777261E+000,1.757442716107710E+001,
2.080000000000000E+009,-1.012678794340459E+001,1.321517919015613E+001,-1.012678794340459E+001,1.321517919015613E+001,-1.012678794340459E+001,1.321517919015613E+001,-1.012678794340459E+001,1.321517919015613E+001,
2.085000000000000E+009,-1.025861033089160E+001,8.113040931651060E+000,-1.025861033089160E+001,8.113040931651060E+000,-1.025861033089160E+001,8.113040931651060E+000,-1.025861033089160E+001,8.113040931651060E+000,
2.090000000000000E+009,-1.029762280242368E+001,2.377086463457422E+000,-1.029762280242368E+001,2.377086463457422E+000,-1.029762280242368E+001,2.377086463457422E+000,-1.029762280242368E+001,2.377086463457422E+000,
2.095000000000000E+009,-1.024001613622203E+001,-3.773649681176759E+000,-1.024001613622203E+001,-3.773649681176759E+000,-1.024001613622203E+001,-3.773649681176759E+000,-1.024001613622203E+001,-3.773649681176759E+000,
2.100000000000000E+009,-1.007401389191529E+001,-1.004761193589401E+001,-1.007401389191529E+001,-1.004761193589401E+001,-1.007401389191529E+001,-1.004761193589401E+001,-1.007401389191529E+001,-1.004761193589401E+001,
2.105000000000000E+009,-9.825112380115623E+000,-1.615798491590409E+001,-9.825112380115623E+000,-1.615798491590409E+001,-9.825112380115623E+000,-1.615798491590409E+001,-9.825112380115623E+000,-1.615798491590409E+001,
2.110000000000000E+009,-9.500676556887983E+000,-2.189581648480390E+001,-9.500676556887983E+000,-2.189581648480390E+001,-9.500676556887983E+000,-2.189581648480390E+001,-9.500676556887983E+000,-2.189581648480390E+001,
2.115000000000000E+009,-9.136865818105935E+000,-2.700537603784287E+001,-9.136865818105935E+000,-2.700537603784287E+001,-9.136865818105935E+000,-2.700537603784287E+001,-9.136865818105935E+000,-2.700537603784287E+001,
2.120000000000000E+009,-8.753075069469835E+000,-3.144269557951071E+001,-8.753075069469835E+000,-3.144269557951071E+001,-8.753075069469835E+000,-3.144269557951071E+001,-8.753075069469835E+000,-3.144269557951071E+001,
2.125000000000000E+009,-8.364921424174076E+000,-3.529966604198337E+001,-8.364921424174076E+000,-3.529966604198337E+001,-8.364921424174076E+000,-3.529966604198337E+001,-8.364921424174076E+000,-3.529966604198337E+001,
2.130000000000000E+009,-8.005222018891660E+000,-3.857142265599806E+001,-8.005222018891660E+000,-3.857142265599806E+001,-8.005222018891660E+000,-3.857142265599806E+001,-8.005222018891660E+000,-3.857142265599806E+001,
2.135000000000000E+009,-7.679571972814037E+000,-4.134575299071602E+001,-7.679571972814037E+000,-4.134575299071602E+001,-7.679571972814037E+000,-4.134575299071602E+001,-7.679571972814037E+000,-4.134575299071602E+001,
2.140000000000000E+009,-7.405981198569428E+000,-4.366787760753228E+001,-7.405981198569428E+000,-4.366787760753228E+001,-7.405981198569428E+000,-4.366787760753228E+001,-7.405981198569428E+000,-4.366787760753228E+001,
2.145000000000000E+009,-7.189510086564214E+000,-4.561046259206405E+001,-7.189510086564214E+000,-4.561046259206405E+001,-7.189510086564214E+000,-4.561046259206405E+001,-7.189510086564214E+000,-4.561046259206405E+001,
2.150000000000000E+009,-7.036993036512038E+000,-4.726563085083639E+001,-7.036993036512038E+000,-4.726563085083639E+001,-7.036993036512038E+000,-4.726563085083639E+001,-7.036993036512038E+000,-4.726563085083639E+001,
2.155000000000000E+009,-6.945200111737494E+000,-4.865997934645643E+001,-6.945200111737494E+000,-4.865997934645643E+001,-6.945200111737494E+000,-4.865997934645643E+001,-6.945200111737494E+000,-4.865997934645643E+001,
2.160000000000000E+009,-6.921771562603587E+000,-4.985029930752626E+001,-6.921771562603587E+000,-4.985029930752626E+001,-6.921771562603587E+000,-4.985029930752626E+001,-6.921771562603587E+000,-4.985029930752626E+001,
2.165000000000000E+009,-6.965001419796171E+000,-5.088640046736871E+001,-6.965001419796171E+000,-5.088640046736871E+001,-6.965001419796171E+000,-5.088640046736871E+001,-6.965001419796171E+000,-5.088640046736871E+001,
2.170000000000000E+009,-7.063140917579539E+000,-5.184671150820466E+001,-7.063140917579539E+000,-5.184671150820466E+001,-7.063140917579539E+000,-5.184671150820466E+001,-7.063140917579539E+000,-5.184671150820466E+001,
2.175000000000000E+009,-7.224272865905257E+000,-5.287661668563001E+001,-7.224272865905257E+000,-5.287661668563001E+001,-7.224272865905257E+000,-5.287661668563001E+001,-7.224272865905257E+000,-5.287661668563001E+001,
2.180000000000000E+009,-7.446485979398634E+000,-5.406880102822643E+001,-7.446485979398634E+000,-5.406880102822643E+001,-7.446485979398634E+000,-5.406880102822643E+001,-7.446485979398634E+000,-5.406880102822643E+001,
2.185000000000000E+009,-7.751760808615440E+000,-5.537446986011256E+001,-7.751760808615440E+000,-5.537446986011256E+001,-7.751760808615440E+000,-5.537446986011256E+001,-7.751760808615440E+000,-5.537446986011256E+001,
2.190000000000000E+009,-8.112370313570787E+000,-5.702897689405116E+001,-8.112370313570787E+000,-5.702897689405116E+001,-8.112370313570787E+000,-5.702897689405116E+001,-8.112370313570787E+000,-5.702897689405116E+001,
2.195000000000000E+009,-8.551054003528980E+000,-5.906779080302349E+001,-8.551054003528980E+000,-5.906779080302349E+001,-8.551054003528980E+000,-5.906779080302349E+001,-8.551054003528980E+000,-5.906779080302349E+001,
2.200000000000000E+009,-9.052571691107714E+000,-6.162288909738724E+001,-9.052571691107714E+000,-6.162288909738724E+001,-9.052571691107714E+000,-6.162288909738724E+001,-9.052571691107714E+000,-6.162288909738724E+001,
2.205000000000000E+009,-9.615877570593497E+000,-6.491041741479131E+001,-9.615877570593497E+000,-6.491041741479131E+001,-9.615877570593497E+000,-6.491041741479131E+001,-9.615877570593497E+000,-6.491041741479131E+001,
2.210000000000000E+009,-1.023203431129383E+001,-6.907876421060024E+001,-1.023203431129383E+001,-6.907876421060024E+001,-1.023203431129383E+001,-6.907876421060024E+001,-1.023203431129383E+001,-6.907876421060024E+001,
2.215000000000000E+009,-1.089909275632249E+001,-7.435999672582297E+001,-1.089909275632249E+001,-7.435999672582297E+001,-1.089909275632249E+001,-7.435999672582297E+001,-1.089909275632249E+001,-7.435999672582297E+001,
2.220000000000000E+009,-1.157444654595499E+001,-8.073923857225999E+001,-1.157444654595499E+001,-8.073923857225999E+001,-1.157444654595499E+001,-8.073923857225999E+001,-1.157444654595499E+001,-8.073923857225999E+001,
2.225000000000000E+009,-1.221089018195162E+001,-8.832122413164829E+001,-1.221089018195162E+001,-8.832122413164829E+001,-1.221089018195162E+001,-8.832122413164829E+001,-1.221089018195162E+001,-8.832122413164829E+001,
2.230000000000000E+009,-1.273278552235106E+001,-9.684944837137984E+001,-1.273278552235106E+001,-9.684944837137984E+001,-1.273278552235106E+001,-9.684944837137984E+001,-1.273278552235106E+001,-9.684944837137984E+001,
2.235000000000000E+009,-1.305944087721556E+001,-1.060992520725927E+002,-1.305944087721556E+001,-1.060992520725927E+002,-1.305944087721556E+001,-1.060992520725927E+002,-1.305944087721556E+001,-1.060992520725927E+002,
2.240000000000000E+009,-1.317290494268660E+001,-1.154332959870132E+002,-1.317290494268660E+001,-1.154332959870132E+002,-1.317290494268660E+001,-1.154332959870132E+002,-1.317290494268660E+001,-1.154332959870132E+002,
2.245000000000000E+009,-1.307550282402736E+001,-1.241875470030154E+002,-1.307550282402736E+001,-1.241875470030154E+002,-1.307550282402736E+001,-1.241875470030154E+002,-1.307550282402736E+001,-1.241875470030154E+002,
2.250000000000000E+009,-1.284196003004080E+001,-1.319552908423329E+002,-1.284196003004080E+001,-1.319552908423329E+002,-1.284196003004080E+001,-1.319552908423329E+002,-1.284196003004080E+001,-1.319552908423329E+002,
2.255000000000000E+009,-1.252728843434677E+001,-1.382615350057668E+002,-1.252728843434677E+001,-1.382615350057668E+002,-1.252728843434677E+001,-1.382615350057668E+002,-1.252728843434677E+001,-1.382615350057668E+002,
2.260000000000000E+009,-1.216781780456241E+001,-1.431501536339124E+002,-1.216781780456241E+001,-1.431501536339124E+002,-1.216781780456241E+001,-1.431501536339124E+002,-1.216781780456241E+001,-1.431501536339124E+002,
2.265000000000000E+009,-1.180210730891028E+001,-1.468995076577701E+002,-1.180210730891028E+001,-1.468995076577701E+002,-1.180210730891028E+001,-1.468995076577701E+002,-1.180210730891028E+001,-1.468995076577701E+002,
2.270000000000000E+009,-1.149814228278920E+001,-1.496730546783584E+002,-1.149814228278920E+001,-1.496730546783584E+002,-1.149814228278920E+001,-1.496730546783584E+002,-1.149814228278920E+001,-1.496730546783584E+002,
2.275000000000000E+009,-1.124108163966780E+001,-1.515141863619503E+002,-1.124108163966780E+001,-1.515141863619503E+002,-1.124108163966780E+001,-1.515141863619503E+002,-1.124108163966780E+001,-1.515141863619503E+002,
2.280000000000000E+009,-1.104433531475551E+001,-1.526662229698206E+002,-1.104433531475551E+001,-1.526662229698206E+002,-1.104433531475551E+001,-1.526662229698206E+002,-1.104433531475551E+001,-1.526662229698206E+002,
2.285000000000000E+009,-1.091259037772778E+001,-1.532570543426986E+002,-1.092119138022492E+001,-1.531941368457084E+002,-1.092119138022492E+001,-1.531941368457084E+002,-1.092119138022492E+001,-1.531941368457084E+002,
2.290000000000000E+009,-1.085804209544317E+001,-1.533965139882031E+002,-1.085804209544317E+001,-1.533965139882031E+002,-1.085804209544317E+001,-1.533965139882031E+002,-1.085804209544317E+001,-1.533965139882031E+002,
2.295000000000000E+009,-1.087030420005744E+001,-1.533466311970362E+002,-1.087030420005744E+001,-1.533466311970362E+002,-1.087030420005744E+001,-1.533466311970362E+002,-1.087030420005744E+001,-1.533466311970362E+002,
2.300000000000000E+009,-1.096511486791826E+001,-1.529739205467997E+002,-1.096511486791826E+001,-1.529739205467997E+002,-1.096511486791826E+001,-1.529739205467997E+002,-1.096511486791826E+001,-1.529739205467997E+002,
2.305000000000000E+009,-1.113726387426905E+001,-1.524807400171570E+002,-1.113726387426905E+001,-1.524807400171570E+002,-1.113726387426905E+001,-1.524807400171570E+002,-1.113726387426905E+001,-1.524807400171570E+002,
2.310000000000000E+009,-1.140931088801150E+001,-1.519198540124195E+002,-1.140931088801150E+001,-1.519198540124195E+002,-1.140931088801150E+001,-1.519198540124195E+002,-1.140931088801150E+001,-1.519198540124195E+002,
2.315000000000000E+009,-1.177654592207839E+001,-1.512728706861775E+002,-1.177654592207839E+001,-1.512728706861775E+002,-1.177654592207839E+001,-1.512728706861775E+002,-1.177654592207839E+001,-1.512728706861775E+002,
2.320000000000000E+009,-1.225302597457382E+001,-1.506646170247118E+002,-1.225302597457382E+001,-1.506646170247118E+002,-1.225302597457382E+001,-1.506646170247118E+002,-1.225302597457382E+001,-1.506646170247118E+002,
2.325000000000000E+009,-1.286425982722762E+001,-1.500705489242151E+002,-1.286425982722762E+001,-1.500705489242151E+002,-1.286425982722762E+001,-1.500705489242151E+002,-1.286425982722762E+001,-1.500705489242151E+002,
2.330000000000000E+009,-1.358568990220660E+001,-1.495999881222434E+002,-1.358568990220660E+001,-1.495999881222434E+002,-1.358568990220660E+001,-1.495999881222434E+002,-1.358568990220660E+001,-1.495999881222434E+002,
