% Version 1.00
%
%freq[Hz],db:Trc1_S11,ang:Trc1_S11,db:Trc2_S11,ang:Trc2_S11,db:Trc3_S11,ang:Trc3_S11,db:Trc4_S11,ang:Trc4_S11,
1.950000000000000E+009,-3.597863740314983E+000,-1.446327228188190E+002,-3.597863740314983E+000,-1.446327228188190E+002,-3.597863740314983E+000,-1.446327228188190E+002,-3.597863740314983E+000,-1.446327228188190E+002,
1.955000000000000E+009,-3.688929636272959E+000,-1.459846608950415E+002,-3.688929636272959E+000,-1.459846608950415E+002,-3.688929636272959E+000,-1.459846608950415E+002,-3.688929636272959E+000,-1.459846608950415E+002,
1.960000000000000E+009,-3.797565914890330E+000,-1.475249646096943E+002,-3.797565914890330E+000,-1.475249646096943E+002,-3.797565914890330E+000,-1.475249646096943E+002,-3.797565914890330E+000,-1.475249646096943E+002,
1.965000000000000E+009,-3.922240829936877E+000,-1.493380228517586E+002,-3.922240829936877E+000,-1.493380228517586E+002,-3.922240829936877E+000,-1.493380228517586E+002,-3.922240829936877E+000,-1.493380228517586E+002,
1.970000000000000E+009,-4.048708034918248E+000,-1.514627328079739E+002,-4.048708034918248E+000,-1.514627328079739E+002,-4.048708034918248E+000,-1.514627328079739E+002,-4.048708034918248E+000,-1.514627328079739E+002,
1.975000000000000E+009,-4.180180287863234E+000,-1.539127692677181E+002,-4.180180287863234E+000,-1.539127692677181E+002,-4.180180287863234E+000,-1.539127692677181E+002,-4.180180287863234E+000,-1.539127692677181E+002,
1.980000000000000E+009,-4.301539438931468E+000,-1.567328005179959E+002,-4.301539438931468E+000,-1.567328005179959E+002,-4.301539438931468E+000,-1.567328005179959E+002,-4.301539438931468E+000,-1.567328005179959E+002,
1.985000000000000E+009,-4.411209882123846E+000,-1.598970246693620E+002,-4.411209882123846E+000,-1.598970246693620E+002,-4.411209882123846E+000,-1.598970246693620E+002,-4.411209882123846E+000,-1.598970246693620E+002,
1.990000000000000E+009,-4.498535108965249E+000,-1.633601328341663E+002,-4.498535108965249E+000,-1.633601328341663E+002,-4.498535108965249E+000,-1.633601328341663E+002,-4.498535108965249E+000,-1.633601328341663E+002,
1.995000000000000E+009,-4.555430389425322E+000,-1.671274966653253E+002,-4.555430389425322E+000,-1.671274966653253E+002,-4.555430389425322E+000,-1.671274966653253E+002,-4.555430389425322E+000,-1.671274966653253E+002,
