# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
1.950000000000000E+009 -4.910070835415747E+000 -8.653145133950281E+001 -4.910070835415747E+000 -8.653145133950281E+001 -4.910070835415747E+000 -8.653145133950281E+001 -4.910070835415747E+000 -8.653145133950281E+001 
1.955000000000000E+009 -4.985889982911740E+000 -8.652545884024478E+001 -4.985889982911740E+000 -8.652545884024478E+001 -4.985889982911740E+000 -8.652545884024478E+001 -4.985889982911740E+000 -8.652545884024478E+001 
1.960000000000000E+009 -5.100201730738826E+000 -8.642593772641580E+001 -5.100201730738826E+000 -8.642593772641580E+001 -5.100201730738826E+000 -8.642593772641580E+001 -5.100201730738826E+000 -8.642593772641580E+001 
1.965000000000000E+009 -5.244738460398362E+000 -8.631241582008921E+001 -5.244738460398362E+000 -8.631241582008921E+001 -5.244738460398362E+000 -8.631241582008921E+001 -5.244738460398362E+000 -8.631241582008921E+001 
1.970000000000000E+009 -5.425199496130903E+000 -8.620908982954543E+001 -5.425199496130903E+000 -8.620908982954543E+001 -5.425199496130903E+000 -8.620908982954543E+001 -5.425199496130903E+000 -8.620908982954543E+001 
1.975000000000000E+009 -5.632444139397566E+000 -8.614028483956938E+001 -5.632444139397566E+000 -8.614028483956938E+001 -5.632444139397566E+000 -8.614028483956938E+001 -5.632444139397566E+000 -8.614028483956938E+001 
1.980000000000000E+009 -5.876727077411868E+000 -8.623736746642787E+001 -5.876727077411868E+000 -8.623736746642787E+001 -5.876727077411868E+000 -8.623736746642787E+001 -5.876727077411868E+000 -8.623736746642787E+001 
1.985000000000000E+009 -6.160622521287888E+000 -8.651341797529777E+001 -6.160622521287888E+000 -8.651341797529777E+001 -6.160622521287888E+000 -8.651341797529777E+001 -6.160622521287888E+000 -8.651341797529777E+001 
1.990000000000000E+009 -6.477092569901674E+000 -8.694402567700070E+001 -6.477092569901674E+000 -8.694402567700070E+001 -6.477092569901674E+000 -8.694402567700070E+001 -6.477092569901674E+000 -8.694402567700070E+001 
1.995000000000000E+009 -6.843415218908273E+000 -8.762823469196343E+001 -6.843415218908273E+000 -8.762823469196343E+001 -6.843415218908273E+000 -8.762823469196343E+001 -6.843415218908273E+000 -8.762823469196343E+001 
2.000000000000000E+009 -7.234418486089219E+000 -8.840160671025546E+001 -7.234418486089219E+000 -8.840160671025546E+001 -7.234418486089219E+000 -8.840160671025546E+001 -7.234418486089219E+000 -8.840160671025546E+001 
