% Version 1.00
%
%freq[Hz],db:Trc1_S11,ang:Trc1_S11,db:Trc2_S11,ang:Trc2_S11,db:Trc3_S11,ang:Trc3_S11,db:Trc4_S11,ang:Trc4_S11,
1.950000000000000E+009,-4.624266412102347E+000,-8.629521780904175E+001,-4.624266412102347E+000,-8.629521780904175E+001,-4.624266412102347E+000,-8.629521780904175E+001,-4.624266412102347E+000,-8.629521780904175E+001,
1.955000000000000E+009,-4.706047599448640E+000,-8.648444667947145E+001,-4.706047599448640E+000,-8.648444667947145E+001,-4.706047599448640E+000,-8.648444667947145E+001,-4.706047599448640E+000,-8.648444667947145E+001,
1.960000000000000E+009,-4.824005325622622E+000,-8.662872147750318E+001,-4.824005325622622E+000,-8.662872147750318E+001,-4.824005325622622E+000,-8.662872147750318E+001,-4.824005325622622E+000,-8.662872147750318E+001,
1.965000000000000E+009,-4.986824080879790E+000,-8.675830750645764E+001,-4.986824080879790E+000,-8.675830750645764E+001,-4.986824080879790E+000,-8.675830750645764E+001,-4.986824080879790E+000,-8.675830750645764E+001,
1.970000000000000E+009,-5.186733751277614E+000,-8.684009032689590E+001,-5.186733751277614E+000,-8.684009032689590E+001,-5.186733751277614E+000,-8.684009032689590E+001,-5.186733751277614E+000,-8.684009032689590E+001,
1.975000000000000E+009,-5.416018809719478E+000,-8.692789962467005E+001,-5.416018809719478E+000,-8.692789962467005E+001,-5.416018809719478E+000,-8.692789962467005E+001,-5.416018809719478E+000,-8.692789962467005E+001,
1.980000000000000E+009,-5.690861991608940E+000,-8.716510079893213E+001,-5.690861991608940E+000,-8.716510079893213E+001,-5.690861991608940E+000,-8.716510079893213E+001,-5.690861991608940E+000,-8.716510079893213E+001,
1.985000000000000E+009,-6.006566148789943E+000,-8.747628778833796E+001,-6.006566148789943E+000,-8.747628778833796E+001,-6.006566148789943E+000,-8.747628778833796E+001,-6.006566148789943E+000,-8.747628778833796E+001,
1.990000000000000E+009,-6.350203657980680E+000,-8.785969535684768E+001,-6.350203657980680E+000,-8.785969535684768E+001,-6.350203657980680E+000,-8.785969535684768E+001,-6.350203657980680E+000,-8.785969535684768E+001,
1.995000000000000E+009,-6.726485641038882E+000,-8.845717520315395E+001,-6.726485641038882E+000,-8.845717520315395E+001,-6.726485641038882E+000,-8.845717520315395E+001,-6.726485641038882E+000,-8.845717520315395E+001,
2.000000000000000E+009,-7.124401639861777E+000,-8.919096484794005E+001,-7.124401639861777E+000,-8.919096484794005E+001,-7.124401639861777E+000,-8.919096484794005E+001,-7.124401639861777E+000,-8.919096484794005E+001,
2.005000000000000E+009,-7.551413511466699E+000,-9.013940714129068E+001,-7.551413511466699E+000,-9.013940714129068E+001,-7.551413511466699E+000,-9.013940714129068E+001,-7.551413511466699E+000,-9.013940714129068E+001,
2.010000000000000E+009,-7.967290404849862E+000,-9.130667133353263E+001,-7.967290404849862E+000,-9.130667133353263E+001,-7.967290404849862E+000,-9.130667133353263E+001,-7.967290404849862E+000,-9.130667133353263E+001,
2.015000000000000E+009,-8.356338028363979E+000,-9.276858273548766E+001,-8.356338028363979E+000,-9.276858273548766E+001,-8.356338028363979E+000,-9.276858273548766E+001,-8.356338028363979E+000,-9.276858273548766E+001,
2.020000000000000E+009,-8.703326418122023E+000,-9.465043630551975E+001,-8.703326418122023E+000,-9.465043630551975E+001,-8.703326418122023E+000,-9.465043630551975E+001,-8.703326418122023E+000,-9.465043630551975E+001,
2.025000000000000E+009,-8.991455817827783E+000,-9.708529698898134E+001,-8.991455817827783E+000,-9.708529698898134E+001,-8.991455817827783E+000,-9.708529698898134E+001,-8.991455817827783E+000,-9.708529698898134E+001,
2.030000000000000E+009,-9.227212960677498E+000,-1.000721382260886E+002,-9.227212960677498E+000,-1.000721382260886E+002,-9.227212960677498E+000,-1.000721382260886E+002,-9.227212960677498E+000,-1.000721382260886E+002,
2.035000000000000E+009,-9.397910495317042E+000,-1.034575639349901E+002,-9.397910495317042E+000,-1.034575639349901E+002,-9.397910495317042E+000,-1.034575639349901E+002,-9.397910495317042E+000,-1.034575639349901E+002,
2.040000000000000E+009,-9.503579074740314E+000,-1.071671424951246E+002,-9.503579074740314E+000,-1.071671424951246E+002,-9.503579074740314E+000,-1.071671424951246E+002,-9.503579074740314E+000,-1.071671424951246E+002,
2.045000000000000E+009,-9.525608721550853E+000,-1.109049643735497E+002,-9.525608721550853E+000,-1.109049643735497E+002,-9.525608721550853E+000,-1.109049643735497E+002,-9.525608721550853E+000,-1.109049643735497E+002,
2.050000000000000E+009,-9.456815824587675E+000,-1.146143934191786E+002,-9.456815824587675E+000,-1.146143934191786E+002,-9.456815824587675E+000,-1.146143934191786E+002,-9.456815824587675E+000,-1.146143934191786E+002,
2.055000000000000E+009,-9.326101235627549E+000,-1.181582659993881E+002,-9.326101235627549E+000,-1.181582659993881E+002,-9.326101235627549E+000,-1.181582659993881E+002,-9.326101235627549E+000,-1.181582659993881E+002,
2.060000000000000E+009,-9.128885375607378E+000,-1.212796175080521E+002,-9.128885375607378E+000,-1.212796175080521E+002,-9.128885375607378E+000,-1.212796175080521E+002,-9.128885375607378E+000,-1.212796175080521E+002,
2.065000000000000E+009,-8.882446418893261E+000,-1.240703251188541E+002,-8.882446418893261E+000,-1.240703251188541E+002,-8.882446418893261E+000,-1.240703251188541E+002,-8.882446418893261E+000,-1.240703251188541E+002,
2.070000000000000E+009,-8.605995482430405E+000,-1.263976460401494E+002,-8.605995482430405E+000,-1.263976460401494E+002,-8.605995482430405E+000,-1.263976460401494E+002,-8.605995482430405E+000,-1.263976460401494E+002,
2.075000000000000E+009,-8.320377106640724E+000,-1.282999270890385E+002,-8.320377106640724E+000,-1.282999270890385E+002,-8.320377106640724E+000,-1.282999270890385E+002,-8.320377106640724E+000,-1.282999270890385E+002,
2.080000000000000E+009,-8.031327675891083E+000,-1.298478375639113E+002,-8.031327675891083E+000,-1.298478375639113E+002,-8.031327675891083E+000,-1.298478375639113E+002,-8.031327675891083E+000,-1.298478375639113E+002,
2.085000000000000E+009,-7.767312680045234E+000,-1.310343094542834E+002,-7.767312680045234E+000,-1.310343094542834E+002,-7.767312680045234E+000,-1.310343094542834E+002,-7.767312680045234E+000,-1.310343094542834E+002,
2.090000000000000E+009,-7.532267414962964E+000,-1.318287779762881E+002,-7.532267414962964E+000,-1.318287779762881E+002,-7.532267414962964E+000,-1.318287779762881E+002,-7.532267414962964E+000,-1.318287779762881E+002,
2.095000000000000E+009,-7.324666517388586E+000,-1.322665572312870E+002,-7.324666517388586E+000,-1.322665572312870E+002,-7.324666517388586E+000,-1.322665572312870E+002,-7.324666517388586E+000,-1.322665572312870E+002,
2.100000000000000E+009,-7.139294869897045E+000,-1.324635831822067E+002,-7.139294869897045E+000,-1.324635831822067E+002,-7.139294869897045E+000,-1.324635831822067E+002,-7.139294869897045E+000,-1.324635831822067E+002,
2.105000000000000E+009,-7.003100586583537E+000,-1.325220747423713E+002,-7.003100586583537E+000,-1.325220747423713E+002,-7.003100586583537E+000,-1.325220747423713E+002,-7.003100586583537E+000,-1.325220747423713E+002,
2.110000000000000E+009,-6.907535199043207E+000,-1.323676022881366E+002,-6.907535199043207E+000,-1.323676022881366E+002,-6.907535199043207E+000,-1.323676022881366E+002,-6.907535199043207E+000,-1.323676022881366E+002,
2.115000000000000E+009,-6.865337041754862E+000,-1.321239429552074E+002,-6.865337041754862E+000,-1.321239429552074E+002,-6.865337041754862E+000,-1.321239429552074E+002,-6.865337041754862E+000,-1.321239429552074E+002,
2.120000000000000E+009,-6.877351153357529E+000,-1.316693321875656E+002,-6.877351153357529E+000,-1.316693321875656E+002,-6.877351153357529E+000,-1.316693321875656E+002,-6.877351153357529E+000,-1.316693321875656E+002,
2.125000000000000E+009,-6.941447716982355E+000,-1.310547550275881E+002,-6.941447716982355E+000,-1.310547550275881E+002,-6.941447716982355E+000,-1.310547550275881E+002,-6.941447716982355E+000,-1.310547550275881E+002,
2.130000000000000E+009,-7.041018624578425E+000,-1.302755883879508E+002,-7.041018624578425E+000,-1.302755883879508E+002,-7.041018624578425E+000,-1.302755883879508E+002,-7.041018624578425E+000,-1.302755883879508E+002,
2.135000000000000E+009,-7.176107924803246E+000,-1.294169101116236E+002,-7.176107924803246E+000,-1.294169101116236E+002,-7.176107924803246E+000,-1.294169101116236E+002,-7.176107924803246E+000,-1.294169101116236E+002,
2.140000000000000E+009,-7.339178868923213E+000,-1.285507031077079E+002,-7.339178868923213E+000,-1.285507031077079E+002,-7.339178868923213E+000,-1.285507031077079E+002,-7.339178868923213E+000,-1.285507031077079E+002,
2.145000000000000E+009,-7.533833530187703E+000,-1.277430898401556E+002,-7.533833530187703E+000,-1.277430898401556E+002,-7.533833530187703E+000,-1.277430898401556E+002,-7.533833530187703E+000,-1.277430898401556E+002,
2.150000000000000E+009,-7.766204562833982E+000,-1.269440167871618E+002,-7.766204562833982E+000,-1.269440167871618E+002,-7.766204562833982E+000,-1.269440167871618E+002,-7.766204562833982E+000,-1.269440167871618E+002,
2.155000000000000E+009,-8.005769034450037E+000,-1.262933398749039E+002,-8.005769034450037E+000,-1.262933398749039E+002,-8.005769034450037E+000,-1.262933398749039E+002,-8.005769034450037E+000,-1.262933398749039E+002,
2.160000000000000E+009,-8.260024529315052E+000,-1.258879841869780E+002,-8.260024529315052E+000,-1.258879841869780E+002,-8.260024529315052E+000,-1.258879841869780E+002,-8.260024529315052E+000,-1.258879841869780E+002,
2.165000000000000E+009,-8.523050158688783E+000,-1.258715368659328E+002,-8.523050158688783E+000,-1.258715368659328E+002,-8.523050158688783E+000,-1.258715368659328E+002,-8.523050158688783E+000,-1.258715368659328E+002,
2.170000000000000E+009,-8.806180892508017E+000,-1.264018353798962E+002,-8.806180892508017E+000,-1.264018353798962E+002,-8.806180892508017E+000,-1.264018353798962E+002,-8.806180892508017E+000,-1.264018353798962E+002,
2.175000000000000E+009,-9.114491809418714E+000,-1.274268131237127E+002,-9.114491809418714E+000,-1.274268131237127E+002,-9.114491809418714E+000,-1.274268131237127E+002,-9.114491809418714E+000,-1.274268131237127E+002,
2.180000000000000E+009,-9.431123143624065E+000,-1.289453557154921E+002,-9.431123143624065E+000,-1.289453557154921E+002,-9.431123143624065E+000,-1.289453557154921E+002,-9.431123143624065E+000,-1.289453557154921E+002,
2.185000000000000E+009,-9.731415328552840E+000,-1.309777586971000E+002,-9.731415328552840E+000,-1.309777586971000E+002,-9.731415328552840E+000,-1.309777586971000E+002,-9.731415328552840E+000,-1.309777586971000E+002,
2.190000000000000E+009,-9.999927309290250E+000,-1.337232085786819E+002,-9.999927309290250E+000,-1.337232085786819E+002,-9.999927309290250E+000,-1.337232085786819E+002,-9.999927309290250E+000,-1.337232085786819E+002,
2.195000000000000E+009,-1.023724318983831E+001,-1.370371858361320E+002,-1.023724318983831E+001,-1.370371858361320E+002,-1.023724318983831E+001,-1.370371858361320E+002,-1.023724318983831E+001,-1.370371858361320E+002,
2.200000000000000E+009,-1.041280055119818E+001,-1.408030187838525E+002,-1.041280055119818E+001,-1.408030187838525E+002,-1.041280055119818E+001,-1.408030187838525E+002,-1.041280055119818E+001,-1.408030187838525E+002,
2.205000000000000E+009,-1.048010915156192E+001,-1.448786239855193E+002,-1.048010915156192E+001,-1.448786239855193E+002,-1.048010915156192E+001,-1.448786239855193E+002,-1.048010915156192E+001,-1.448786239855193E+002,
2.210000000000000E+009,-1.043762560200598E+001,-1.493206298946803E+002,-1.043762560200598E+001,-1.493206298946803E+002,-1.043762560200598E+001,-1.493206298946803E+002,-1.043762560200598E+001,-1.493206298946803E+002,
2.215000000000000E+009,-1.031409759155876E+001,-1.538358115079157E+002,-1.031409759155876E+001,-1.538358115079157E+002,-1.031409759155876E+001,-1.538358115079157E+002,-1.031409759155876E+001,-1.538358115079157E+002,
2.220000000000000E+009,-1.011904463887947E+001,-1.581109547713893E+002,-1.011904463887947E+001,-1.581109547713893E+002,-1.011904463887947E+001,-1.581109547713893E+002,-1.011904463887947E+001,-1.581109547713893E+002,
2.225000000000000E+009,-9.853391497114970E+000,-1.619939533328437E+002,-9.853391497114970E+000,-1.619939533328437E+002,-9.853391497114970E+000,-1.619939533328437E+002,-9.853391497114970E+000,-1.619939533328437E+002,
2.230000000000000E+009,-9.540416069120216E+000,-1.653875783974680E+002,-9.540416069120216E+000,-1.653875783974680E+002,-9.540416069120216E+000,-1.653875783974680E+002,-9.540416069120216E+000,-1.653875783974680E+002,
2.235000000000000E+009,-9.208358871473680E+000,-1.682602975972200E+002,-9.208358871473680E+000,-1.682602975972200E+002,-9.208358871473680E+000,-1.682602975972200E+002,-9.208358871473680E+000,-1.682602975972200E+002,
