% Version 1.00
%
%freq[Hz],db:Trc1_S11,ang:Trc1_S11,db:Trc2_S11,ang:Trc2_S11,db:Trc3_S11,ang:Trc3_S11,db:Trc4_S11,ang:Trc4_S11,
1.950000000000000E+009,-9.418394829077801E+000,6.643338393138374E+001,-9.418394829077801E+000,6.643338393138374E+001,-9.418394829077801E+000,6.643338393138374E+001,-9.418394829077801E+000,6.643338393138374E+001,
1.955000000000000E+009,-9.239405303658248E+000,6.016505486901431E+001,-9.239405303658248E+000,6.016505486901431E+001,-9.239405303658248E+000,6.016505486901431E+001,-9.239405303658248E+000,6.016505486901431E+001,
1.960000000000000E+009,-8.998273003939639E+000,5.439041935806947E+001,-8.998273003939639E+000,5.439041935806947E+001,-8.998273003939639E+000,5.439041935806947E+001,-8.998273003939639E+000,5.439041935806947E+001,
1.965000000000000E+009,-8.723993059646709E+000,4.919753849341903E+001,-8.723993059646709E+000,4.919753849341903E+001,-8.723993059646709E+000,4.919753849341903E+001,-8.723993059646709E+000,4.919753849341903E+001,
1.970000000000000E+009,-8.447661369692872E+000,4.473345681163482E+001,-8.447661369692872E+000,4.473345681163482E+001,-8.447661369692872E+000,4.473345681163482E+001,-8.447661369692872E+000,4.473345681163482E+001,
1.975000000000000E+009,-8.177385277300591E+000,4.092422739138143E+001,-8.177385277300591E+000,4.092422739138143E+001,-8.177385277300591E+000,4.092422739138143E+001,-8.177385277300591E+000,4.092422739138143E+001,
1.980000000000000E+009,-7.934648212655382E+000,3.785388685422494E+001,-7.934648212655382E+000,3.785388685422494E+001,-7.934648212655382E+000,3.785388685422494E+001,-7.934648212655382E+000,3.785388685422494E+001,
1.985000000000000E+009,-7.725004242767388E+000,3.539319722205593E+001,-7.725004242767388E+000,3.539319722205593E+001,-7.725004242767388E+000,3.539319722205593E+001,-7.725004242767388E+000,3.539319722205593E+001,
1.990000000000000E+009,-7.545735126977538E+000,3.350432956095726E+001,-7.545735126977538E+000,3.350432956095726E+001,-7.545735126977538E+000,3.350432956095726E+001,-7.545735126977538E+000,3.350432956095726E+001,
1.995000000000000E+009,-7.406216733280381E+000,3.206837345123316E+001,-7.406216733280381E+000,3.206837345123316E+001,-7.406216733280381E+000,3.206837345123316E+001,-7.406216733280381E+000,3.206837345123316E+001,
2.000000000000000E+009,-7.307580726511886E+000,3.100898497073207E+001,-7.307580726511886E+000,3.100898497073207E+001,-7.307580726511886E+000,3.100898497073207E+001,-7.307580726511886E+000,3.100898497073207E+001,
2.005000000000000E+009,-7.254678401235259E+000,3.028561800299466E+001,-7.254678401235259E+000,3.028561800299466E+001,-7.254678401235259E+000,3.028561800299466E+001,-7.254678401235259E+000,3.028561800299466E+001,
2.010000000000000E+009,-7.243306338583789E+000,2.979677941644805E+001,-7.243306338583789E+000,2.979677941644805E+001,-7.243306338583789E+000,2.979677941644805E+001,-7.243306338583789E+000,2.979677941644805E+001,
2.015000000000000E+009,-7.270808168535219E+000,2.945361016635117E+001,-7.270808168535219E+000,2.945361016635117E+001,-7.270808168535219E+000,2.945361016635117E+001,-7.270808168535219E+000,2.945361016635117E+001,
2.020000000000000E+009,-7.352266746783354E+000,2.926257633708791E+001,-7.352266746783354E+000,2.926257633708791E+001,-7.352266746783354E+000,2.926257633708791E+001,-7.352266746783354E+000,2.926257633708791E+001,
2.025000000000000E+009,-7.482045062368633E+000,2.916307989906251E+001,-7.482045062368633E+000,2.916307989906251E+001,-7.482045062368633E+000,2.916307989906251E+001,-7.482045062368633E+000,2.916307989906251E+001,
2.030000000000000E+009,-7.648122916925435E+000,2.912530985532887E+001,-7.648122916925435E+000,2.912530985532887E+001,-7.648122916925435E+000,2.912530985532887E+001,-7.648122916925435E+000,2.912530985532887E+001,
2.035000000000000E+009,-7.849995084676506E+000,2.913070081204119E+001,-7.849995084676506E+000,2.913070081204119E+001,-7.849995084676506E+000,2.913070081204119E+001,-7.849995084676506E+000,2.913070081204119E+001,
2.040000000000000E+009,-8.069506569046073E+000,2.901170896415442E+001,-8.069506569046073E+000,2.901170896415442E+001,-8.069506569046073E+000,2.901170896415442E+001,-8.069506569046073E+000,2.901170896415442E+001,
2.045000000000000E+009,-8.315405421929434E+000,2.870479065724504E+001,-8.315405421929434E+000,2.870479065724504E+001,-8.315405421929434E+000,2.870479065724504E+001,-8.315405421929434E+000,2.870479065724504E+001,
2.050000000000000E+009,-8.583861548583226E+000,2.807882765556724E+001,-8.583861548583226E+000,2.807882765556724E+001,-8.583861548583226E+000,2.807882765556724E+001,-8.583861548583226E+000,2.807882765556724E+001,
2.055000000000000E+009,-8.869311936970592E+000,2.703061219220606E+001,-8.869311936970592E+000,2.703061219220606E+001,-8.869311936970592E+000,2.703061219220606E+001,-8.869311936970592E+000,2.703061219220606E+001,
2.060000000000000E+009,-9.181339532920504E+000,2.549649019463533E+001,-9.181339532920504E+000,2.549649019463533E+001,-9.181339532920504E+000,2.549649019463533E+001,-9.181339532920504E+000,2.549649019463533E+001,
2.065000000000000E+009,-9.488852238345977E+000,2.348799337914732E+001,-9.488852238345977E+000,2.348799337914732E+001,-9.488852238345977E+000,2.348799337914732E+001,-9.488852238345977E+000,2.348799337914732E+001,
2.070000000000000E+009,-9.777645496760645E+000,2.075393901494206E+001,-9.777645496760645E+000,2.075393901494206E+001,-9.777645496760645E+000,2.075393901494206E+001,-9.777645496760645E+000,2.075393901494206E+001,
2.075000000000000E+009,-1.003717460558111E+001,1.729149893470876E+001,-1.003717460558111E+001,1.729149893470876E+001,-1.003717460558111E+001,1.729149893470876E+001,-1.003717460558111E+001,1.729149893470876E+001,
2.080000000000000E+009,-1.024732339564912E+001,1.302061841825500E+001,-1.024732339564912E+001,1.302061841825500E+001,-1.024732339564912E+001,1.302061841825500E+001,-1.024732339564912E+001,1.302061841825500E+001,
2.085000000000000E+009,-1.037988533584778E+001,7.980161720015577E+000,-1.037988533584778E+001,7.980161720015577E+000,-1.037988533584778E+001,7.980161720015577E+000,-1.037988533584778E+001,7.980161720015577E+000,
2.090000000000000E+009,-1.042536888985159E+001,2.344193611515907E+000,-1.042536888985159E+001,2.344193611515907E+000,-1.042536888985159E+001,2.344193611515907E+000,-1.042536888985159E+001,2.344193611515907E+000,
2.095000000000000E+009,-1.036100318926959E+001,-3.685771717365242E+000,-1.036100318926959E+001,-3.685771717365242E+000,-1.036100318926959E+001,-3.685771717365242E+000,-1.036100318926959E+001,-3.685771717365242E+000,
2.100000000000000E+009,-1.018440115783182E+001,-9.911350978249459E+000,-1.018440115783182E+001,-9.911350978249459E+000,-1.018440115783182E+001,-9.911350978249459E+000,-1.018440115783182E+001,-9.911350978249459E+000,
2.105000000000000E+009,-9.917107410610782E+000,-1.592362938803093E+001,-9.917107410610782E+000,-1.592362938803093E+001,-9.917107410610782E+000,-1.592362938803093E+001,-9.917107410610782E+000,-1.592362938803093E+001,
2.110000000000000E+009,-9.571595192406470E+000,-2.160875253337733E+001,-9.571595192406470E+000,-2.160875253337733E+001,-9.571595192406470E+000,-2.160875253337733E+001,-9.571595192406470E+000,-2.160875253337733E+001,
2.115000000000000E+009,-9.183404594784522E+000,-2.679378501804565E+001,-9.183404594784522E+000,-2.679378501804565E+001,-9.183404594784522E+000,-2.679378501804565E+001,-9.183404594784522E+000,-2.679378501804565E+001,
2.120000000000000E+009,-8.789253669111208E+000,-3.135106174679832E+001,-8.789253669111208E+000,-3.135106174679832E+001,-8.789253669111208E+000,-3.135106174679832E+001,-8.789253669111208E+000,-3.135106174679832E+001,
2.125000000000000E+009,-8.404430420511476E+000,-3.526671943619088E+001,-8.404430420511476E+000,-3.526671943619088E+001,-8.404430420511476E+000,-3.526671943619088E+001,-8.404430420511476E+000,-3.526671943619088E+001,
2.130000000000000E+009,-8.041006224394131E+000,-3.854742816899564E+001,-8.041006224394131E+000,-3.854742816899564E+001,-8.041006224394131E+000,-3.854742816899564E+001,-8.041006224394131E+000,-3.854742816899564E+001,
2.135000000000000E+009,-7.723491023817117E+000,-4.130484432099112E+001,-7.723491023817117E+000,-4.130484432099112E+001,-7.723491023817117E+000,-4.130484432099112E+001,-7.723491023817117E+000,-4.130484432099112E+001,
2.140000000000000E+009,-7.444207458264860E+000,-4.360940082460465E+001,-7.444207458264860E+000,-4.360940082460465E+001,-7.444207458264860E+000,-4.360940082460465E+001,-7.444207458264860E+000,-4.360940082460465E+001,
2.145000000000000E+009,-7.227880475784042E+000,-4.560055265534362E+001,-7.227880475784042E+000,-4.560055265534362E+001,-7.227880475784042E+000,-4.560055265534362E+001,-7.227880475784042E+000,-4.560055265534362E+001,
2.150000000000000E+009,-7.078928672102072E+000,-4.723413582883742E+001,-7.078928672102072E+000,-4.723413582883742E+001,-7.078928672102072E+000,-4.723413582883742E+001,-7.078928672102072E+000,-4.723413582883742E+001,
2.155000000000000E+009,-6.993153949977169E+000,-4.858925630128675E+001,-6.993153949977169E+000,-4.858925630128675E+001,-6.993153949977169E+000,-4.858925630128675E+001,-6.993153949977169E+000,-4.858925630128675E+001,
2.160000000000000E+009,-6.973107396269120E+000,-4.972754084686171E+001,-6.973107396269120E+000,-4.972754084686171E+001,-6.973107396269120E+000,-4.972754084686171E+001,-6.973107396269120E+000,-4.972754084686171E+001,
2.165000000000000E+009,-7.009935020322584E+000,-5.067903211357781E+001,-7.009935020322584E+000,-5.067903211357781E+001,-7.009935020322584E+000,-5.067903211357781E+001,-7.009935020322584E+000,-5.067903211357781E+001,
2.170000000000000E+009,-7.102198018626329E+000,-5.159785709270054E+001,-7.102198018626329E+000,-5.159785709270054E+001,-7.102198018626329E+000,-5.159785709270054E+001,-7.102198018626329E+000,-5.159785709270054E+001,
2.175000000000000E+009,-7.250234155863407E+000,-5.257368394052360E+001,-7.250234155863407E+000,-5.257368394052360E+001,-7.250234155863407E+000,-5.257368394052360E+001,-7.250234155863407E+000,-5.257368394052360E+001,
2.180000000000000E+009,-7.464913875739799E+000,-5.376993748991951E+001,-7.464913875739799E+000,-5.376993748991951E+001,-7.464913875739799E+000,-5.376993748991951E+001,-7.464913875739799E+000,-5.376993748991951E+001,
2.185000000000000E+009,-7.753218777638371E+000,-5.512344471700416E+001,-7.753218777638371E+000,-5.512344471700416E+001,-7.753218777638371E+000,-5.512344471700416E+001,-7.753218777638371E+000,-5.512344471700416E+001,
2.190000000000000E+009,-8.113781334925786E+000,-5.687903572139548E+001,-8.113781334925786E+000,-5.687903572139548E+001,-8.113781334925786E+000,-5.687903572139548E+001,-8.113781334925786E+000,-5.687903572139548E+001,
2.195000000000000E+009,-8.556715264876724E+000,-5.897849523957365E+001,-8.556715264876724E+000,-5.897849523957365E+001,-8.556715264876724E+000,-5.897849523957365E+001,-8.556715264876724E+000,-5.897849523957365E+001,
2.200000000000000E+009,-9.073699651020194E+000,-6.157008936958636E+001,-9.073699651020194E+000,-6.157008936958636E+001,-9.073699651020194E+000,-6.157008936958636E+001,-9.073699651020194E+000,-6.157008936958636E+001,
2.205000000000000E+009,-9.648436919450351E+000,-6.484034421569392E+001,-9.648436919450351E+000,-6.484034421569392E+001,-9.648436919450351E+000,-6.484034421569392E+001,-9.648436919450351E+000,-6.484034421569392E+001,
2.210000000000000E+009,-1.027130149491886E+001,-6.899586480572226E+001,-1.027130149491886E+001,-6.899586480572226E+001,-1.027130149491886E+001,-6.899586480572226E+001,-1.027130149491886E+001,-6.899586480572226E+001,
2.215000000000000E+009,-1.095077575951094E+001,-7.421964594845940E+001,-1.095077575951094E+001,-7.421964594845940E+001,-1.095077575951094E+001,-7.421964594845940E+001,-1.095077575951094E+001,-7.421964594845940E+001,
2.220000000000000E+009,-1.163594079790465E+001,-8.060047826516001E+001,-1.163594079790465E+001,-8.060047826516001E+001,-1.163594079790465E+001,-8.060047826516001E+001,-1.163594079790465E+001,-8.060047826516001E+001,
2.225000000000000E+009,-1.228324009969260E+001,-8.812624798870633E+001,-1.228324009969260E+001,-8.812624798870633E+001,-1.228324009969260E+001,-8.812624798870633E+001,-1.228324009969260E+001,-8.812624798870633E+001,
2.230000000000000E+009,-1.281677839192485E+001,-9.661927529623466E+001,-1.281677839192485E+001,-9.661927529623466E+001,-1.281677839192485E+001,-9.661927529623466E+001,-1.281677839192485E+001,-9.661927529623466E+001,
2.235000000000000E+009,-1.315635447326776E+001,-1.057423660805058E+002,-1.315635447326776E+001,-1.057423660805058E+002,-1.315635447326776E+001,-1.057423660805058E+002,-1.315635447326776E+001,-1.057423660805058E+002,
2.240000000000000E+009,-1.325991058079367E+001,-1.150590517462567E+002,-1.325991058079367E+001,-1.150590517462567E+002,-1.325991058079367E+001,-1.150590517462567E+002,-1.325991058079367E+001,-1.150590517462567E+002,
2.245000000000000E+009,-1.316822171549459E+001,-1.238763985571376E+002,-1.316822171549459E+001,-1.238763985571376E+002,-1.316822171549459E+001,-1.238763985571376E+002,-1.316822171549459E+001,-1.238763985571376E+002,
2.250000000000000E+009,-1.292833503596509E+001,-1.316175089638352E+002,-1.292833503596509E+001,-1.316175089638352E+002,-1.292833503596509E+001,-1.316175089638352E+002,-1.292833503596509E+001,-1.316175089638352E+002,
2.255000000000000E+009,-1.260714786807476E+001,-1.379401491691796E+002,-1.260714786807476E+001,-1.379401491691796E+002,-1.260714786807476E+001,-1.379401491691796E+002,-1.260714786807476E+001,-1.379401491691796E+002,
2.260000000000000E+009,-1.224811977724520E+001,-1.427946509640368E+002,-1.224811977724520E+001,-1.427946509640368E+002,-1.224811977724520E+001,-1.427946509640368E+002,-1.224811977724520E+001,-1.427946509640368E+002,
2.265000000000000E+009,-1.187657681801581E+001,-1.464374138499533E+002,-1.187657681801581E+001,-1.464374138499533E+002,-1.187657681801581E+001,-1.464374138499533E+002,-1.187657681801581E+001,-1.464374138499533E+002,
2.270000000000000E+009,-1.155363811024975E+001,-1.491561939794438E+002,-1.155363811024975E+001,-1.491561939794438E+002,-1.155363811024975E+001,-1.491561939794438E+002,-1.155363811024975E+001,-1.491561939794438E+002,
2.275000000000000E+009,-1.127702447393123E+001,-1.509493883146895E+002,-1.127702447393123E+001,-1.509493883146895E+002,-1.127702447393123E+001,-1.509493883146895E+002,-1.127702447393123E+001,-1.509493883146895E+002,
2.280000000000000E+009,-1.105734065747106E+001,-1.521546350403306E+002,-1.105734065747106E+001,-1.521546350403306E+002,-1.105734065747106E+001,-1.521546350403306E+002,-1.105734065747106E+001,-1.521546350403306E+002,
2.285000000000000E+009,-1.091515671560229E+001,-1.528039897607424E+002,-1.091515671560229E+001,-1.528039897607424E+002,-1.091515671560229E+001,-1.528039897607424E+002,-1.091515671560229E+001,-1.528039897607424E+002,
2.290000000000000E+009,-1.084521277077441E+001,-1.530720751525631E+002,-1.084521277077441E+001,-1.530720751525631E+002,-1.084521277077441E+001,-1.530720751525631E+002,-1.084521277077441E+001,-1.530720751525631E+002,
2.295000000000000E+009,-1.084393767637550E+001,-1.530565332059268E+002,-1.084393767637550E+001,-1.530565332059268E+002,-1.084393767637550E+001,-1.530565332059268E+002,-1.084393767637550E+001,-1.530565332059268E+002,
2.300000000000000E+009,-1.093546965421954E+001,-1.527930046603252E+002,-1.093546965421954E+001,-1.527930046603252E+002,-1.093546965421954E+001,-1.527930046603252E+002,-1.093546965421954E+001,-1.527930046603252E+002,
2.305000000000000E+009,-1.111319226810828E+001,-1.523986497471016E+002,-1.111319226810828E+001,-1.523986497471016E+002,-1.111319226810828E+001,-1.523986497471016E+002,-1.111319226810828E+001,-1.523986497471016E+002,
2.310000000000000E+009,-1.138999187192689E+001,-1.518326947864902E+002,-1.138999187192689E+001,-1.518326947864902E+002,-1.138999187192689E+001,-1.518326947864902E+002,-1.138999187192689E+001,-1.518326947864902E+002,
2.315000000000000E+009,-1.176617056310788E+001,-1.512519477530611E+002,-1.176617056310788E+001,-1.512519477530611E+002,-1.176617056310788E+001,-1.512519477530611E+002,-1.176617056310788E+001,-1.512519477530611E+002,
2.320000000000000E+009,-1.225879271270043E+001,-1.505754554583405E+002,-1.225879271270043E+001,-1.505754554583405E+002,-1.225879271270043E+001,-1.505754554583405E+002,-1.225879271270043E+001,-1.505754554583405E+002,
2.325000000000000E+009,-1.286265748455256E+001,-1.498458576736261E+002,-1.286265748455256E+001,-1.498458576736261E+002,-1.286265748455256E+001,-1.498458576736261E+002,-1.286265748455256E+001,-1.498458576736261E+002,
2.330000000000000E+009,-1.357204089434977E+001,-1.492907512681920E+002,-1.357204089434977E+001,-1.492907512681920E+002,-1.357204089434977E+001,-1.492907512681920E+002,-1.357204089434977E+001,-1.492907512681920E+002,
2.335000000000000E+009,-1.442596751491083E+001,-1.491453937800125E+002,-1.442596751491083E+001,-1.491453937800125E+002,-1.442596751491083E+001,-1.491453937800125E+002,-1.442596751491083E+001,-1.491453937800125E+002,
2.340000000000000E+009,-1.546799914882675E+001,-1.497782659389656E+002,-1.546799914882675E+001,-1.497782659389656E+002,-1.546799914882675E+001,-1.497782659389656E+002,-1.546799914882675E+001,-1.497782659389656E+002,
