Frequency in GHz,dB(sub-3\s3_3)
2,-2.33527
2.00167,-2.35116
2.00333,-2.36715
2.005,-2.38326
2.00667,-2.39947
2.00833,-2.4158
2.01,-2.43224
2.01167,-2.44879
2.01333,-2.46546
2.015,-2.48224
2.01667,-2.49914
2.01833,-2.51615
2.02,-2.53328
2.02167,-2.55052
2.02333,-2.56789
2.025,-2.58537
2.02667,-2.60297
2.02833,-2.6207
2.03,-2.63854
2.03167,-2.65651
2.03333,-2.6746
2.035,-2.69281
2.03667,-2.71115
2.03833,-2.72961
2.04,-2.7482
2.04167,-2.76692
2.04333,-2.78576
2.045,-2.80473
2.04667,-2.82384
2.04833,-2.84307
2.05,-2.86243
2.05167,-2.88193
2.05333,-2.90155
2.055,-2.92131
2.05667,-2.94121
2.05833,-2.96124
2.06,-2.98141
2.06167,-3.00171
2.06333,-3.02215
2.065,-3.04274
2.06667,-3.06346
2.06833,-3.08432
2.07,-3.10532
2.07167,-3.12646
2.07333,-3.14775
2.075,-3.16919
2.07667,-3.19076
2.07833,-3.21249
2.08,-3.23436
2.08167,-3.25637
2.08333,-3.27854
2.085,-3.30085
2.08667,-3.32332
2.08833,-3.34594
2.09,-3.36871
2.09167,-3.39163
2.09333,-3.41471
2.095,-3.43794
2.09667,-3.46133
2.09833,-3.48488
2.1,-3.50858
2.10167,-3.53244
2.10333,-3.55647
2.105,-3.58065
2.10667,-3.605
2.10833,-3.62951
2.11,-3.65418
2.11167,-3.67901
2.11333,-3.70402
2.115,-3.72919
2.11667,-3.75453
2.11833,-3.78003
2.12,-3.80571
2.12167,-3.83156
2.12333,-3.85757
2.125,-3.88377
2.12667,-3.91013
2.12833,-3.93667
2.13,-3.96339
2.13167,-3.99028
2.13333,-4.01735
2.135,-4.0446
2.13667,-4.07203
2.13833,-4.09964
2.14,-4.12744
2.14167,-4.15541
2.14333,-4.18358
2.145,-4.21192
2.14667,-4.24045
2.14833,-4.26917
2.15,-4.29808
2.15167,-4.32718
2.15333,-4.35647
2.155,-4.38594
2.15667,-4.41562
2.15833,-4.44548
2.16,-4.47554
2.16167,-4.5058
2.16333,-4.53625
2.165,-4.5669
2.16667,-4.59775
2.16833,-4.6288
2.17,-4.66005
2.17167,-4.69151
2.17333,-4.72316
2.175,-4.75502
2.17667,-4.78709
2.17833,-4.81937
2.18,-4.85185
2.18167,-4.88454
2.18333,-4.91744
2.185,-4.95055
2.18667,-4.98387
2.18833,-5.01741
2.19,-5.05116
2.19167,-5.08512
2.19333,-5.1193
2.195,-5.1537
2.19667,-5.18832
2.19833,-5.22316
2.2,-5.25822
2.20167,-5.2935
2.20333,-5.329
2.205,-5.36473
2.20667,-5.40068
2.20833,-5.43686
2.21,-5.47326
2.21167,-5.50989
2.21333,-5.54676
2.215,-5.58385
2.21667,-5.62117
2.21833,-5.65873
2.22,-5.69652
2.22167,-5.73454
2.22333,-5.7728
2.225,-5.8113
2.22667,-5.85003
2.22833,-5.88901
2.23,-5.92822
2.23167,-5.96767
2.23333,-6.00736
2.235,-6.0473
2.23667,-6.08748
2.23833,-6.1279
2.24,-6.16857
2.24167,-6.20949
2.24333,-6.25065
2.245,-6.29206
2.24667,-6.33372
2.24833,-6.37563
2.25,-6.41779
2.25167,-6.4602
2.25333,-6.50286
2.255,-6.54578
2.25667,-6.58894
2.25833,-6.63237
2.26,-6.67605
2.26167,-6.71998
2.26333,-6.76418
2.265,-6.80863
2.26667,-6.85333
2.26833,-6.8983
2.27,-6.94352
2.27167,-6.98901
2.27333,-7.03476
2.275,-7.08076
2.27667,-7.12703
2.27833,-7.17356
2.28,-7.22035
2.28167,-7.2674
2.28333,-7.31472
2.285,-7.3623
2.28667,-7.41014
2.28833,-7.45825
2.29,-7.50662
2.29167,-7.55525
2.29333,-7.60415
2.295,-7.65331
2.29667,-7.70274
2.29833,-7.75243
2.3,-7.80238
2.30167,-7.85259
2.30333,-7.90307
2.305,-7.95381
2.30667,-8.00481
2.30833,-8.05608
2.31,-8.1076
2.31167,-8.15939
2.31333,-8.21143
2.315,-8.26373
2.31667,-8.31629
2.31833,-8.36911
2.32,-8.42218
2.32167,-8.47551
2.32333,-8.52909
2.325,-8.58292
2.32667,-8.637
2.32833,-8.69133
2.33,-8.7459
2.33167,-8.80072
2.33333,-8.85578
2.335,-8.91108
2.33667,-8.96662
2.33833,-9.0224
2.34,-9.07841
2.34167,-9.13464
2.34333,-9.19111
2.345,-9.2478
2.34667,-9.3047
2.34833,-9.36183
2.35,-9.41917
2.35167,-9.47671
2.35333,-9.53447
2.355,-9.59242
2.35667,-9.65057
2.35833,-9.70891
2.36,-9.76744
2.36167,-9.82615
2.36333,-9.88503
2.365,-9.94409
2.36667,-10.0033
2.36833,-10.0627
2.37,-10.1222
2.37167,-10.1819
2.37333,-10.2417
2.375,-10.3016
2.37667,-10.3617
2.37833,-10.4219
2.38,-10.4821
2.38167,-10.5425
2.38333,-10.603
2.385,-10.6635
2.38667,-10.7241
2.38833,-10.7848
2.39,-10.8455
2.39167,-10.9063
2.39333,-10.967
2.395,-11.0278
2.39667,-11.0886
2.39833,-11.1494
2.4,-11.2101
2.40167,-11.2708
2.40333,-11.3314
2.405,-11.392
2.40667,-11.4525
2.40833,-11.5129
2.41,-11.5731
2.41167,-11.6333
2.41333,-11.6933
2.415,-11.7531
2.41667,-11.8127
2.41833,-11.8721
2.42,-11.9313
2.42167,-11.9902
2.42333,-12.0489
2.425,-12.1073
2.42667,-12.1654
2.42833,-12.2231
2.43,-12.2805
2.43167,-12.3375
2.43333,-12.3942
2.435,-12.4503
2.43667,-12.5061
2.43833,-12.5613
2.44,-12.6161
2.44167,-12.6704
2.44333,-12.724
2.445,-12.7771
2.44667,-12.8296
2.44833,-12.8815
2.45,-12.9327
2.45167,-12.9832
2.45333,-13.033
2.455,-13.0821
2.45667,-13.1303
2.45833,-13.1778
2.46,-13.2244
