Frequency in GHz,dB(sub-3\s3_3)
2,-0.594386
2.00167,-0.600369
2.00333,-0.606414
2.005,-0.612525
2.00667,-0.618701
2.00833,-0.624943
2.01,-0.631251
2.01167,-0.637628
2.01333,-0.644072
2.015,-0.650586
2.01667,-0.657169
2.01833,-0.663823
2.02,-0.670549
2.02167,-0.677347
2.02333,-0.684217
2.025,-0.691162
2.02667,-0.698181
2.02833,-0.705276
2.03,-0.712446
2.03167,-0.719694
2.03333,-0.72702
2.035,-0.734425
2.03667,-0.74191
2.03833,-0.749475
2.04,-0.757122
2.04167,-0.764851
2.04333,-0.772663
2.045,-0.78056
2.04667,-0.788541
2.04833,-0.796609
2.05,-0.804764
2.05167,-0.813006
2.05333,-0.821338
2.055,-0.829759
2.05667,-0.838271
2.05833,-0.846874
2.06,-0.855571
2.06167,-0.864361
2.06333,-0.873246
2.065,-0.882227
2.06667,-0.891304
2.06833,-0.90048
2.07,-0.909754
2.07167,-0.919128
2.07333,-0.928603
2.075,-0.93818
2.07667,-0.94786
2.07833,-0.957644
2.08,-0.967533
2.08167,-0.977528
2.08333,-0.987631
2.085,-0.997843
2.08667,-1.00816
2.08833,-1.01859
2.09,-1.02914
2.09167,-1.03979
2.09333,-1.05057
2.095,-1.06145
2.09667,-1.07245
2.09833,-1.08357
2.1,-1.09481
2.10167,-1.10617
2.10333,-1.11765
2.105,-1.12925
2.10667,-1.14097
2.10833,-1.15282
2.11,-1.1648
2.11167,-1.1769
2.11333,-1.18913
2.115,-1.20149
2.11667,-1.21398
2.11833,-1.2266
2.12,-1.23935
2.12167,-1.25224
2.12333,-1.26526
2.125,-1.27842
2.12667,-1.29172
2.12833,-1.30515
2.13,-1.31873
2.13167,-1.33245
2.13333,-1.34631
2.135,-1.36031
2.13667,-1.37446
2.13833,-1.38876
2.14,-1.4032
2.14167,-1.41779
2.14333,-1.43253
2.145,-1.44742
2.14667,-1.46246
2.14833,-1.47766
2.15,-1.49301
2.15167,-1.50851
2.15333,-1.52418
2.155,-1.54
2.15667,-1.55598
2.15833,-1.57211
2.16,-1.58841
2.16167,-1.60487
2.16333,-1.6215
2.165,-1.63829
2.16667,-1.65524
2.16833,-1.67236
2.17,-1.68965
2.17167,-1.7071
2.17333,-1.72473
2.175,-1.74252
2.17667,-1.76049
2.17833,-1.77862
2.18,-1.79693
2.18167,-1.81542
2.18333,-1.83407
2.185,-1.8529
2.18667,-1.87191
2.18833,-1.89109
2.19,-1.91046
2.19167,-1.92999
2.19333,-1.94971
2.195,-1.9696
2.19667,-1.98968
2.19833,-2.00993
2.2,-2.03036
2.20167,-2.05098
2.20333,-2.07177
2.205,-2.09275
2.20667,-2.11391
2.20833,-2.13524
2.21,-2.15676
2.21167,-2.17846
2.21333,-2.20035
2.215,-2.22241
2.21667,-2.24465
2.21833,-2.26708
2.22,-2.28968
2.22167,-2.31247
2.22333,-2.33544
2.225,-2.35858
2.22667,-2.3819
2.22833,-2.40541
2.23,-2.42909
2.23167,-2.45294
2.23333,-2.47697
2.235,-2.50118
2.23667,-2.52555
2.23833,-2.55011
2.24,-2.57483
2.24167,-2.59972
2.24333,-2.62477
2.245,-2.65
2.24667,-2.67539
2.24833,-2.70094
2.25,-2.72665
2.25167,-2.75252
2.25333,-2.77854
2.255,-2.80472
2.25667,-2.83106
2.25833,-2.85754
2.26,-2.88416
2.26167,-2.91093
2.26333,-2.93784
2.265,-2.96489
2.26667,-2.99207
2.26833,-3.01938
2.27,-3.04681
2.27167,-3.07438
2.27333,-3.10206
2.275,-3.12985
2.27667,-3.15776
2.27833,-3.18577
2.28,-3.21388
2.28167,-3.2421
2.28333,-3.2704
2.285,-3.2988
2.28667,-3.32727
2.28833,-3.35583
2.29,-3.38446
2.29167,-3.41315
2.29333,-3.4419
2.295,-3.47071
2.29667,-3.49957
2.29833,-3.52847
2.3,-3.5574
2.30167,-3.58637
2.30333,-3.61536
2.305,-3.64436
2.30667,-3.67337
2.30833,-3.70238
2.31,-3.73139
2.31167,-3.76038
2.31333,-3.78936
2.315,-3.8183
2.31667,-3.8472
2.31833,-3.87606
2.32,-3.90487
2.32167,-3.93361
2.32333,-3.96229
2.325,-3.99088
2.32667,-4.01938
2.32833,-4.04779
2.33,-4.07609
2.33167,-4.10428
2.33333,-4.13233
2.335,-4.16026
2.33667,-4.18804
2.33833,-4.21567
2.34,-4.24313
2.34167,-4.27042
2.34333,-4.29752
2.345,-4.32444
2.34667,-4.35115
2.34833,-4.37764
2.35,-4.40392
2.35167,-4.42996
2.35333,-4.45575
2.355,-4.4813
2.35667,-4.50658
2.35833,-4.53159
2.36,-4.55631
2.36167,-4.58074
2.36333,-4.60486
2.365,-4.62868
2.36667,-4.65217
2.36833,-4.67532
2.37,-4.69814
2.37167,-4.7206
2.37333,-4.7427
2.375,-4.76443
2.37667,-4.78577
2.37833,-4.80673
2.38,-4.82729
2.38167,-4.84744
2.38333,-4.86717
2.385,-4.88648
2.38667,-4.90536
2.38833,-4.9238
2.39,-4.94178
2.39167,-4.95931
2.39333,-4.97638
2.395,-4.99297
2.39667,-5.00909
2.39833,-5.02472
2.4,-5.03986
2.40167,-5.0545
2.40333,-5.06864
2.405,-5.08227
2.40667,-5.09538
2.40833,-5.10797
2.41,-5.12004
2.41167,-5.13158
2.41333,-5.14259
2.415,-5.15306
2.41667,-5.163
2.41833,-5.17238
2.42,-5.18123
2.42167,-5.18952
2.42333,-5.19727
2.425,-5.20446
2.42667,-5.2111
2.42833,-5.21719
2.43,-5.22273
2.43167,-5.22771
2.43333,-5.23213
2.435,-5.23601
2.43667,-5.23933
2.43833,-5.2421
2.44,-5.24432
2.44167,-5.246
2.44333,-5.24713
2.445,-5.24773
2.44667,-5.24778
2.44833,-5.2473
2.45,-5.2463
2.45167,-5.24476
2.45333,-5.24271
2.455,-5.24015
2.45667,-5.23707
2.45833,-5.23349
2.46,-5.22941
2.46167,-5.22484
2.46333,-5.21978
2.465,-5.21425
2.46667,-5.20825
2.46833,-5.20178
2.47,-5.19486
2.47167,-5.18749
2.47333,-5.17968
2.475,-5.17144
2.47667,-5.16278
2.47833,-5.1537
2.48,-5.14422
2.48167,-5.13434
2.48333,-5.12407
2.485,-5.11342
2.48667,-5.10241
2.48833,-5.09103
2.49,-5.07931
2.49167,-5.06724
2.49333,-5.05484
2.495,-5.04211
2.49667,-5.02907
2.49833,-5.01573
2.5,-5.0021
2.50167,-4.98817
2.50333,-4.97398
2.505,-4.95951
2.50667,-4.94479
2.50833,-4.92982
2.51,-4.91461
2.51167,-4.89917
2.51333,-4.88351
2.515,-4.86763
2.51667,-4.85155
2.51833,-4.83528
2.52,-4.81882
2.52167,-4.80218
2.52333,-4.78537
2.525,-4.76839
2.52667,-4.75127
2.52833,-4.73399
2.53,-4.71658
2.53167,-4.69903
2.53333,-4.68136
2.535,-4.66358
2.53667,-4.64568
2.53833,-4.62768
2.54,-4.60959
2.54167,-4.5914
2.54333,-4.57314
2.545,-4.55479
2.54667,-4.53638
2.54833,-4.5179
2.55,-4.49936
2.55167,-4.48077
2.55333,-4.46213
2.555,-4.44345
2.55667,-4.42474
2.55833,-4.40599
2.56,-4.38722
2.56167,-4.36842
2.56333,-4.34961
2.565,-4.33078
2.56667,-4.31195
2.56833,-4.29311
2.57,-4.27428
2.57167,-4.25545
2.57333,-4.23663
2.575,-4.21782
2.57667,-4.19902
2.57833,-4.18025
2.58,-4.1615
2.58167,-4.14277
2.58333,-4.12408
2.585,-4.10541
2.58667,-4.08679
2.58833,-4.0682
2.59,-4.04965
2.59167,-4.03114
2.59333,-4.01269
2.595,-3.99428
2.59667,-3.97592
2.59833,-3.95762
2.6,-3.93937
2.60167,-3.92118
2.60333,-3.90304
2.605,-3.88498
2.60667,-3.86697
2.60833,-3.84903
2.61,-3.83115
2.61167,-3.81335
2.61333,-3.79561
2.615,-3.77795
2.61667,-3.76036
2.61833,-3.74284
2.62,-3.7254
2.62167,-3.70803
2.62333,-3.69075
2.625,-3.67354
2.62667,-3.65641
2.62833,-3.63936
2.63,-3.62239
2.63167,-3.60551
2.63333,-3.58871
2.635,-3.57199
2.63667,-3.55536
2.63833,-3.53881
2.64,-3.52235
2.64167,-3.50598
2.64333,-3.48969
2.645,-3.47349
2.64667,-3.45738
2.64833,-3.44135
2.65,-3.42541
2.65167,-3.40957
2.65333,-3.39381
2.655,-3.37814
2.65667,-3.36256
2.65833,-3.34707
2.66,-3.33167
2.66167,-3.31636
2.66333,-3.30114
2.665,-3.28601
2.66667,-3.27097
2.66833,-3.25602
2.67,-3.24117
2.67167,-3.2264
2.67333,-3.21172
2.675,-3.19713
2.67667,-3.18263
2.67833,-3.16822
2.68,-3.1539
2.68167,-3.13967
2.68333,-3.12553
2.685,-3.11148
2.68667,-3.09752
2.68833,-3.08365
2.69,-3.06986
2.69167,-3.05615
2.69333,-3.04253
2.695,-3.02901
2.69667,-3.01557
2.69833,-3.00222
2.7,-2.98896
2.70167,-2.97578
2.70333,-2.96269
2.705,-2.94969
2.70667,-2.93677
2.70833,-2.92394
2.71,-2.91119
2.71167,-2.89852
2.71333,-2.88594
2.715,-2.87344
2.71667,-2.86103
2.71833,-2.8487
2.72,-2.83645
2.72167,-2.82428
2.72333,-2.81219
2.725,-2.80019
2.72667,-2.78826
2.72833,-2.77642
2.73,-2.76465
2.73167,-2.75297
2.73333,-2.74136
2.735,-2.72983
2.73667,-2.71838
2.73833,-2.70701
2.74,-2.69571
2.74167,-2.68449
2.74333,-2.67335
2.745,-2.66228
2.74667,-2.65128
2.74833,-2.64037
2.75,-2.62952
2.75167,-2.61875
2.75333,-2.60805
2.755,-2.59743
2.75667,-2.58687
2.75833,-2.57639
2.76,-2.56598
2.76167,-2.55564
2.76333,-2.54537
2.765,-2.53518
2.76667,-2.52505
2.76833,-2.51499
2.77,-2.50499
2.77167,-2.49507
2.77333,-2.48521
2.775,-2.47543
2.77667,-2.4657
2.77833,-2.45605
2.78,-2.44646
2.78167,-2.43693
2.78333,-2.42747
2.785,-2.41807
2.78667,-2.40874
2.78833,-2.39947
2.79,-2.39027
2.79167,-2.38112
2.79333,-2.37204
2.795,-2.36302
2.79667,-2.35406
2.79833,-2.34516
2.8,-2.33633
2.80167,-2.32755
2.80333,-2.31883
2.805,-2.31017
2.80667,-2.30157
2.80833,-2.29303
2.81,-2.28454
2.81167,-2.27611
2.81333,-2.26774
2.815,-2.25943
2.81667,-2.25117
2.81833,-2.24296
2.82,-2.23482
2.82167,-2.22672
2.82333,-2.21868
2.825,-2.2107
2.82667,-2.20276
2.82833,-2.19489
2.83,-2.18706
2.83167,-2.17929
2.83333,-2.17156
2.835,-2.16389
2.83667,-2.15627
2.83833,-2.1487
2.84,-2.14119
2.84167,-2.13372
2.84333,-2.1263
2.845,-2.11893
2.84667,-2.11161
2.84833,-2.10433
2.85,-2.09711
2.85167,-2.08993
2.85333,-2.0828
2.855,-2.07572
2.85667,-2.06868
2.85833,-2.06169
2.86,-2.05475
2.86167,-2.04785
2.86333,-2.041
2.865,-2.03419
2.86667,-2.02743
2.86833,-2.02071
2.87,-2.01403
2.87167,-2.0074
2.87333,-2.00081
2.875,-1.99426
2.87667,-1.98776
2.87833,-1.98129
2.88,-1.97487
2.88167,-1.9685
2.88333,-1.96216
2.885,-1.95586
2.88667,-1.94961
2.88833,-1.94339
2.89,-1.93722
2.89167,-1.93108
2.89333,-1.92498
2.895,-1.91893
2.89667,-1.91291
2.89833,-1.90693
2.9,-1.90099
2.90167,-1.89508
2.90333,-1.88922
2.905,-1.88339
2.90667,-1.8776
2.90833,-1.87184
2.91,-1.86612
2.91167,-1.86044
2.91333,-1.85479
2.915,-1.84918
2.91667,-1.84361
2.91833,-1.83807
2.92,-1.83256
2.92167,-1.82709
2.92333,-1.82166
2.925,-1.81625
2.92667,-1.81089
2.92833,-1.80555
2.93,-1.80025
2.93167,-1.79498
2.93333,-1.78975
2.935,-1.78454
2.93667,-1.77937
2.93833,-1.77424
2.94,-1.76913
2.94167,-1.76406
2.94333,-1.75901
2.945,-1.754
2.94667,-1.74902
2.94833,-1.74407
2.95,-1.73915
2.95167,-1.73426
2.95333,-1.7294
2.955,-1.72457
2.95667,-1.71978
2.95833,-1.71501
2.96,-1.71026
2.96167,-1.70555
2.96333,-1.70087
2.965,-1.69621
2.96667,-1.69159
2.96833,-1.68699
2.97,-1.68242
2.97167,-1.67788
2.97333,-1.67336
2.975,-1.66887
2.97667,-1.66441
2.97833,-1.65998
2.98,-1.65557
2.98167,-1.65119
2.98333,-1.64684
2.985,-1.64251
2.98667,-1.63821
2.98833,-1.63393
2.99,-1.62968
2.99167,-1.62546
2.99333,-1.62126
2.995,-1.61708
2.99667,-1.61293
2.99833,-1.60881
3,-1.60471
