Frequency in GHz,dB(sub-3\s3_3)
2,-2.80106
2.00167,-2.818
2.00333,-2.83504
2.005,-2.85217
2.00667,-2.8694
2.00833,-2.88673
2.01,-2.90415
2.01167,-2.92168
2.01333,-2.9393
2.015,-2.95702
2.01667,-2.97485
2.01833,-2.99277
2.02,-3.0108
2.02167,-3.02893
2.02333,-3.04716
2.025,-3.06549
2.02667,-3.08392
2.02833,-3.10246
2.03,-3.1211
2.03167,-3.13985
2.03333,-3.1587
2.035,-3.17766
2.03667,-3.19672
2.03833,-3.21589
2.04,-3.23517
2.04167,-3.25455
2.04333,-3.27405
2.045,-3.29365
2.04667,-3.31335
2.04833,-3.33317
2.05,-3.3531
2.05167,-3.37314
2.05333,-3.39328
2.055,-3.41354
2.05667,-3.43391
2.05833,-3.45439
2.06,-3.47499
2.06167,-3.4957
2.06333,-3.51652
2.065,-3.53745
2.06667,-3.5585
2.06833,-3.57967
2.07,-3.60094
2.07167,-3.62234
2.07333,-3.64385
2.075,-3.66548
2.07667,-3.68722
2.07833,-3.70909
2.08,-3.73107
2.08167,-3.75317
2.08333,-3.77538
2.085,-3.79772
2.08667,-3.82018
2.08833,-3.84276
2.09,-3.86545
2.09167,-3.88827
2.09333,-3.91122
2.095,-3.93428
2.09667,-3.95747
2.09833,-3.98077
2.1,-4.00421
2.10167,-4.02776
2.10333,-4.05145
2.105,-4.07525
2.10667,-4.09918
2.10833,-4.12324
2.11,-4.14742
2.11167,-4.17173
2.11333,-4.19617
2.115,-4.22073
2.11667,-4.24543
2.11833,-4.27025
2.12,-4.29519
2.12167,-4.32027
2.12333,-4.34548
2.125,-4.37082
2.12667,-4.39629
2.12833,-4.42188
2.13,-4.44761
2.13167,-4.47347
2.13333,-4.49947
2.135,-4.52559
2.13667,-4.55185
2.13833,-4.57824
2.14,-4.60477
2.14167,-4.63143
2.14333,-4.65822
2.145,-4.68514
2.14667,-4.71221
2.14833,-4.7394
2.15,-4.76674
2.15167,-4.79421
2.15333,-4.82181
2.155,-4.84955
2.15667,-4.87743
2.15833,-4.90545
2.16,-4.9336
2.16167,-4.96189
2.16333,-4.99032
2.165,-5.01889
2.16667,-5.04759
2.16833,-5.07644
2.17,-5.10543
2.17167,-5.13455
2.17333,-5.16381
2.175,-5.19322
2.17667,-5.22276
2.17833,-5.25245
2.18,-5.28228
2.18167,-5.31224
2.18333,-5.34235
2.185,-5.3726
2.18667,-5.40299
2.18833,-5.43352
2.19,-5.4642
2.19167,-5.49502
2.19333,-5.52597
2.195,-5.55708
2.19667,-5.58832
2.19833,-5.61971
2.2,-5.65124
2.20167,-5.68291
2.20333,-5.71472
2.205,-5.74668
2.20667,-5.77878
2.20833,-5.81102
2.21,-5.84341
2.21167,-5.87594
2.21333,-5.90861
2.215,-5.94143
2.21667,-5.97438
2.21833,-6.00748
2.22,-6.04073
2.22167,-6.07411
2.22333,-6.10764
2.225,-6.14131
2.22667,-6.17513
2.22833,-6.20908
2.23,-6.24318
2.23167,-6.27742
2.23333,-6.3118
2.235,-6.34632
2.23667,-6.38099
2.23833,-6.41579
2.24,-6.45074
2.24167,-6.48582
2.24333,-6.52104
2.245,-6.55641
2.24667,-6.59191
2.24833,-6.62755
2.25,-6.66333
2.25167,-6.69925
2.25333,-6.7353
2.255,-6.77149
2.25667,-6.80782
2.25833,-6.84428
2.26,-6.88088
2.26167,-6.91761
2.26333,-6.95447
2.265,-6.99147
2.26667,-7.02859
2.26833,-7.06585
2.27,-7.10324
2.27167,-7.14076
2.27333,-7.17841
2.275,-7.21618
2.27667,-7.25408
2.27833,-7.29211
2.28,-7.33026
2.28167,-7.36854
2.28333,-7.40693
2.285,-7.44545
2.28667,-7.48409
2.28833,-7.52285
2.29,-7.56172
2.29167,-7.60071
2.29333,-7.63982
2.295,-7.67903
2.29667,-7.71836
2.29833,-7.7578
2.3,-7.79735
2.30167,-7.837
2.30333,-7.87676
2.305,-7.91662
2.30667,-7.95658
2.30833,-7.99664
2.31,-8.0368
2.31167,-8.07706
2.31333,-8.11741
2.315,-8.15785
2.31667,-8.19837
2.31833,-8.23899
2.32,-8.27969
2.32167,-8.32047
2.32333,-8.36133
2.325,-8.40226
2.32667,-8.44327
2.32833,-8.48435
2.33,-8.5255
2.33167,-8.56672
2.33333,-8.608
2.335,-8.64933
2.33667,-8.69073
2.33833,-8.73218
2.34,-8.77367
2.34167,-8.81522
2.34333,-8.8568
2.345,-8.89843
2.34667,-8.94009
2.34833,-8.98178
2.35,-9.02351
2.35167,-9.06525
2.35333,-9.10702
2.355,-9.1488
2.35667,-9.1906
2.35833,-9.2324
2.36,-9.2742
2.36167,-9.31601
2.36333,-9.3578
2.365,-9.39959
2.36667,-9.44136
2.36833,-9.48311
2.37,-9.52483
2.37167,-9.56652
2.37333,-9.60818
2.375,-9.64979
2.37667,-9.69136
2.37833,-9.73287
2.38,-9.77433
2.38167,-9.81572
2.38333,-9.85703
2.385,-9.89828
2.38667,-9.93943
2.38833,-9.9805
2.39,-10.0215
2.39167,-10.0623
2.39333,-10.1031
