Frequency in GHz,dB(sub-3\s3_3)
2,-2.81407
2.00167,-2.83135
2.00333,-2.84874
2.005,-2.86622
2.00667,-2.88381
2.00833,-2.9015
2.01,-2.91929
2.01167,-2.93719
2.01333,-2.95519
2.015,-2.97329
2.01667,-2.9915
2.01833,-3.00982
2.02,-3.02825
2.02167,-3.04678
2.02333,-3.06542
2.025,-3.08416
2.02667,-3.10302
2.02833,-3.12198
2.03,-3.14106
2.03167,-3.16024
2.03333,-3.17954
2.035,-3.19894
2.03667,-3.21846
2.03833,-3.23809
2.04,-3.25784
2.04167,-3.27769
2.04333,-3.29766
2.045,-3.31775
2.04667,-3.33795
2.04833,-3.35827
2.05,-3.3787
2.05167,-3.39925
2.05333,-3.41991
2.055,-3.4407
2.05667,-3.4616
2.05833,-3.48262
2.06,-3.50376
2.06167,-3.52502
2.06333,-3.5464
2.065,-3.5679
2.06667,-3.58952
2.06833,-3.61127
2.07,-3.63314
2.07167,-3.65513
2.07333,-3.67724
2.075,-3.69948
2.07667,-3.72184
2.07833,-3.74433
2.08,-3.76695
2.08167,-3.78969
2.08333,-3.81256
2.085,-3.83555
2.08667,-3.85867
2.08833,-3.88193
2.09,-3.90531
2.09167,-3.92882
2.09333,-3.95246
2.095,-3.97623
2.09667,-4.00013
2.09833,-4.02417
2.1,-4.04833
2.10167,-4.07263
2.10333,-4.09707
2.105,-4.12163
2.10667,-4.14633
2.10833,-4.17117
2.11,-4.19614
2.11167,-4.22125
2.11333,-4.24649
2.115,-4.27187
2.11667,-4.29739
2.11833,-4.32305
2.12,-4.34885
2.12167,-4.37478
2.12333,-4.40085
2.125,-4.42707
2.12667,-4.45342
2.12833,-4.47992
2.13,-4.50656
2.13167,-4.53334
2.13333,-4.56026
2.135,-4.58733
2.13667,-4.61454
2.13833,-4.64189
2.14,-4.66939
2.14167,-4.69703
2.14333,-4.72482
2.145,-4.75276
2.14667,-4.78084
2.14833,-4.80907
2.15,-4.83744
2.15167,-4.86597
2.15333,-4.89464
2.155,-4.92346
2.15667,-4.95243
2.15833,-4.98155
2.16,-5.01082
2.16167,-5.04024
2.16333,-5.06981
2.165,-5.09954
2.16667,-5.12941
2.16833,-5.15944
2.17,-5.18962
2.17167,-5.21995
2.17333,-5.25043
2.175,-5.28107
2.17667,-5.31187
2.17833,-5.34282
2.18,-5.37392
2.18167,-5.40518
2.18333,-5.43659
2.185,-5.46816
2.18667,-5.49988
2.18833,-5.53177
2.19,-5.5638
2.19167,-5.596
2.19333,-5.62835
2.195,-5.66086
2.19667,-5.69353
2.19833,-5.72636
2.2,-5.75934
2.20167,-5.79248
2.20333,-5.82579
2.205,-5.85925
2.20667,-5.89287
2.20833,-5.92665
2.21,-5.96058
2.21167,-5.99468
2.21333,-6.02894
2.215,-6.06336
2.21667,-6.09794
2.21833,-6.13268
2.22,-6.16757
2.22167,-6.20263
2.22333,-6.23785
2.225,-6.27323
2.22667,-6.30877
2.22833,-6.34447
2.23,-6.38033
2.23167,-6.41635
2.23333,-6.45253
2.235,-6.48887
2.23667,-6.52537
2.23833,-6.56203
2.24,-6.59885
2.24167,-6.63582
2.24333,-6.67296
2.245,-6.71026
2.24667,-6.74771
2.24833,-6.78533
2.25,-6.8231
2.25167,-6.86103
2.25333,-6.89911
2.255,-6.93736
2.25667,-6.97576
2.25833,-7.01431
2.26,-7.05302
2.26167,-7.09189
2.26333,-7.13091
2.265,-7.17008
2.26667,-7.20941
2.26833,-7.24889
2.27,-7.28852
2.27167,-7.32831
2.27333,-7.36824
2.275,-7.40832
2.27667,-7.44855
2.27833,-7.48893
2.28,-7.52946
2.28167,-7.57013
2.28333,-7.61094
2.285,-7.6519
2.28667,-7.69301
2.28833,-7.73425
2.29,-7.77563
2.29167,-7.81715
2.29333,-7.85881
2.295,-7.90061
2.29667,-7.94254
2.29833,-7.9846
2.3,-8.02679
2.30167,-8.06911
2.30333,-8.11156
2.305,-8.15414
2.30667,-8.19684
2.30833,-8.23966
2.31,-8.28261
2.31167,-8.32567
2.31333,-8.36885
2.315,-8.41214
2.31667,-8.45554
2.31833,-8.49905
2.32,-8.54267
2.32167,-8.5864
2.32333,-8.63022
2.325,-8.67414
2.32667,-8.71816
2.32833,-8.76228
2.33,-8.80648
2.33167,-8.85077
2.33333,-8.89515
2.335,-8.9396
2.33667,-8.98413
2.33833,-9.02874
2.34,-9.07342
2.34167,-9.11816
2.34333,-9.16297
2.345,-9.20783
2.34667,-9.25275
2.34833,-9.29772
2.35,-9.34274
2.35167,-9.3878
2.35333,-9.4329
2.355,-9.47803
2.35667,-9.52318
2.35833,-9.56836
2.36,-9.61356
2.36167,-9.65877
2.36333,-9.70399
2.365,-9.74922
2.36667,-9.79444
2.36833,-9.83965
2.37,-9.88484
2.37167,-9.93002
2.37333,-9.97517
2.375,-10.0203
2.37667,-10.0654
2.37833,-10.1104
2.38,-10.1554
2.38167,-10.2003
2.38333,-10.2451
2.385,-10.2899
2.38667,-10.3346
2.38833,-10.3792
2.39,-10.4237
2.39167,-10.4681
2.39333,-10.5124
2.395,-10.5566
2.39667,-10.6006
2.39833,-10.6445
2.4,-10.6883
2.40167,-10.7319
2.40333,-10.7753
2.405,-10.8186
