2
Frequency=2450(MHz)

Phi	Theta	E Total. dB
0	-3.1415926536	-8.68490760563304
0	-3.0925052684	-6.45941270344074
0	-3.0434178832	-4.29104313211397
0	-2.994330498	-2.46890437989021
0	-2.9452431127	-1.02691128308756
0	-2.8961557275	0.0672129820122142
0	-2.8470683423	0.851996655821683
0	-2.7979809571	1.36121888465859
0	-2.7488935719	1.62260961430191
0	-2.6998061867	1.66126925671418
0	-2.6507188015	1.49937820980784
0	-2.6016314163	1.16466242207264
0	-2.552544031	0.687937951537397
0	-2.5034566458	0.108813430483442
0	-2.4543692606	-0.523434719423342
0	-2.4052818754	-1.16047727014017
0	-2.3561944902	-1.76381396148838
0	-2.307107105	-2.31928714847169
0	-2.2580197198	-2.84878662358835
0	-2.2089323346	-3.39836684732955
0	-2.1598449493	-4.02851231722407
0	-2.1107575641	-4.79411967160264
0	-2.0616701789	-5.73227082717786
0	-2.0125827937	-6.84609173495132
0	-1.9634954085	-8.07496528543148
0	-1.9144080233	-9.24692239550874
0	-1.8653206381	-10.0916395613942
0	-1.8162332529	-10.409349858375
0	-1.7671458676	-10.3039198442736
0	-1.7180584824	-10.0815644800437
0	-1.6689710972	-10.0180529634175
0	-1.619883712	-10.2730246406864
0	-1.5707963268	-10.9154541469495
0	-1.5217089416	-11.9164436626542
0	-1.4726215564	-13.0448132603899
0	-1.4235341712	-13.6822294174004
0	-1.3744467859	-13.1853608467276
0	-1.3253594007	-11.8048658620787
0	-1.2762720155	-10.2602322558444
0	-1.2271846303	-8.93494391797894
0	-1.1780972451	-7.90445926339562
0	-1.1290098599	-7.13043276118924
0	-1.0799224747	-6.52392264655348
0	-1.0308350895	-5.99004745425274
0	-0.9817477042	-5.44584696068008
0	-0.932660319	-4.85266430003073
0	-0.8835729338	-4.22987833701875
0	-0.8344855486	-3.63312940736242
0	-0.7853981634	-3.12877060457023
0	-0.7363107782	-2.77479456462086
0	-0.687223393	-2.61538713796296
0	-0.6381360078	-2.67963798940826
0	-0.5890486225	-2.98918501774241
0	-0.5399612373	-3.55659519732007
0	-0.49087385212	-4.38091936179809
0	-0.44178646691	-5.44044446149513
0	-0.3926990817	-6.65768451742363
0	-0.34361169649	-7.85619606457386
0	-0.29452431127	-8.75076136841263
0	-0.24543692606	-9.09948961489317
0	-0.19634954085	-8.94756455026654
0	-0.14726215564	-8.56625517742292
0	-0.09817477042	-8.19932835632966
0	-0.049087385212	-7.9607865291379
0	0	-7.84930812965779
0	0.049087385212	-7.78832897745428
0	0.09817477042	-7.66353132734853
0	0.14726215564	-7.37584041119289
0	0.19634954085	-6.89645702864385
0	0.24543692606	-6.27910127683392
0	0.29452431127	-5.61692812885269
0	0.34361169649	-4.98972532753366
0	0.3926990817	-4.44856569748167
0	0.44178646691	-4.01616002282519
0	0.49087385212	-3.69666561321177
0	0.5399612373	-3.48835908084377
0	0.5890486225	-3.38901982983182
0	0.6381360078	-3.4016327615608
0	0.687223393	-3.53287456457054
0	0.7363107782	-3.79669539302261
0	0.7853981634	-4.20261245353232
0	0.8344855486	-4.767175918908
0	0.8835729338	-5.49260707847467
0	0.932660319	-6.37989335714426
0	0.9817477042	-7.41666599040699
0	1.0308350895	-8.58002175075394
0	1.0799224747	-9.84108585725376
0	1.1290098599	-11.1659899634876
0	1.1780972451	-12.5456159659592
0	1.2271846303	-13.9784454554026
0	1.2762720155	-15.4514591403131
0	1.3253594007	-16.8228380442245
0	1.3744467859	-17.6197578604717
0	1.4235341712	-17.2406012645754
0	1.4726215564	-15.7575528801526
0	1.5217089416	-13.8537276466932
0	1.5707963268	-11.9998863254527
0	1.619883712	-10.3618578746556
0	1.6689710972	-8.97697731701951
0	1.7180584824	-7.84335494902444
0	1.7671458676	-6.95110232888758
0	1.8162332529	-6.29241764789261
0	1.8653206381	-5.85346367288129
0	1.9144080233	-5.61733168529051
0	1.9634954085	-5.55565264329925
0	2.0125827937	-5.62695792549049
0	2.0616701789	-5.7713787988454
0	2.1107575641	-5.92718663344361
0	2.1598449493	-6.04815714353177
0	2.2089323346	-6.1261221274851
0	2.2580197198	-6.20485019911954
0	2.307107105	-6.366938136579
0	2.3561944902	-6.70211157428611
0	2.4052818754	-7.29327207134259
0	2.4543692606	-8.20253213691588
0	2.5034566458	-9.43103402329385
0	2.552544031	-10.8113053166749
0	2.6016314163	-11.818124884277
0	2.6507188015	-11.7415602569025
0	2.6998061867	-10.6788408774907
0	2.7488935719	-9.39579148483647
0	2.7979809571	-8.39094235601979
0	2.8470683423	-7.83512605334879
0	2.8961557275	-7.77876539545952
0	2.9452431127	-8.22474550432194
0	2.994330498	-9.09465450647166
0	3.0434178832	-10.0314618505014
0	3.0925052684	-10.1158977948089
0	3.1415926536	-8.68490760563304
0.049087385212	-3.1415926536	-8.68506539562923
0.049087385212	-3.0925052684	-6.49474276334599
0.049087385212	-3.0434178832	-4.30455635317401
0.049087385212	-2.994330498	-2.44648376065642
0.049087385212	-2.9452431127	-0.964565323157431
0.049087385212	-2.8961557275	0.167963282745131
0.049087385212	-2.8470683423	0.989230014379046
0.049087385212	-2.7979809571	1.53416946771758
0.049087385212	-2.7488935719	1.830686298774
0.049087385212	-2.6998061867	1.90470345609928
0.049087385212	-2.6507188015	1.7809226741064
0.049087385212	-2.6016314163	1.48554277587359
0.049087385212	-2.552544031	1.0497097234228
0.049087385212	-2.5034566458	0.513252595555022
0.049087385212	-2.4543692606	-0.0800219261590581
0.049087385212	-2.4052818754	-0.684935791415665
0.049087385212	-2.3561944902	-1.26692036597137
0.049087385212	-2.307107105	-1.81425315114781
0.049087385212	-2.2580197198	-2.34507547736996
0.049087385212	-2.2089323346	-2.90010388790422
0.049087385212	-2.1598449493	-3.53251961402128
0.049087385212	-2.1107575641	-4.28830818220839
0.049087385212	-2.0616701789	-5.19692989061949
0.049087385212	-2.0125827937	-6.25601023851974
0.049087385212	-1.9634954085	-7.39919554110664
0.049087385212	-1.9144080233	-8.46834907006069
0.049087385212	-1.8653206381	-9.24155412459846
0.049087385212	-1.8162332529	-9.57292549897602
0.049087385212	-1.7671458676	-9.54563778343849
0.049087385212	-1.7180584824	-9.41678954486752
0.049087385212	-1.6689710972	-9.42048759696832
0.049087385212	-1.619883712	-9.70602581278048
0.049087385212	-1.5707963268	-10.3295887419113
0.049087385212	-1.5217089416	-11.2607210301975
0.049087385212	-1.4726215564	-12.2761511539401
0.049087385212	-1.4235341712	-12.8730982776857
0.049087385212	-1.3744467859	-12.5339544114791
0.049087385212	-1.3253594007	-11.4144756655943
0.049087385212	-1.2762720155	-10.088765631284
0.049087385212	-1.2271846303	-8.92283985757435
0.049087385212	-1.1780972451	-8.01427968594369
0.049087385212	-1.1290098599	-7.33762579408677
0.049087385212	-1.0799224747	-6.81305129550297
0.049087385212	-1.0308350895	-6.34289041283518
0.049087385212	-0.9817477042	-5.83964502603658
0.049087385212	-0.932660319	-5.26515300357958
0.049087385212	-0.8835729338	-4.64272385703407
0.049087385212	-0.8344855486	-4.03764227170218
0.049087385212	-0.7853981634	-3.52074757247048
0.049087385212	-0.7363107782	-3.15616895696803
0.049087385212	-0.687223393	-2.98471662346865
0.049087385212	-0.6381360078	-3.03829410204321
0.049087385212	-0.5890486225	-3.33047294459697
0.049087385212	-0.5399612373	-3.87261687803519
0.049087385212	-0.49087385212	-4.65826928391512
0.049087385212	-0.44178646691	-5.6578430817326
