# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
2.000000000000000E+009 -5.381257233556376E+000 9.287142995858018E+000 -5.381257233556376E+000 9.287142995858018E+000 -5.381257233556376E+000 9.287142995858018E+000 -5.381257233556376E+000 9.287142995858018E+000 
2.005000000000000E+009 -5.372114933810471E+000 8.454339058438828E+000 -5.372114933810471E+000 8.454339058438828E+000 -5.372114933810471E+000 8.454339058438828E+000 -5.372114933810471E+000 8.454339058438828E+000 
2.010000000000000E+009 -5.354607493418443E+000 7.686409541176285E+000 -5.354607493418443E+000 7.686409541176285E+000 -5.354607493418443E+000 7.686409541176285E+000 -5.354607493418443E+000 7.686409541176285E+000 
2.015000000000000E+009 -5.328960636954918E+000 6.898322155554942E+000 -5.328960636954918E+000 6.898322155554942E+000 -5.328960636954918E+000 6.898322155554942E+000 -5.328960636954918E+000 6.898322155554942E+000 
2.020000000000000E+009 -5.312428303659704E+000 6.081473716044113E+000 -5.312428303659704E+000 6.081473716044113E+000 -5.312428303659704E+000 6.081473716044113E+000 -5.312428303659704E+000 6.081473716044113E+000 
2.025000000000000E+009 -5.290584247196939E+000 5.497148587778948E+000 -5.290584247196939E+000 5.497148587778948E+000 -5.290584247196939E+000 5.497148587778948E+000 -5.290584247196939E+000 5.497148587778948E+000 
2.030000000000000E+009 -5.263719795904938E+000 4.979950977357928E+000 -5.263719795904938E+000 4.979950977357928E+000 -5.263719795904938E+000 4.979950977357928E+000 -5.263719795904938E+000 4.979950977357928E+000 
2.035000000000000E+009 -5.223634359064414E+000 4.421322820917562E+000 -5.223634359064414E+000 4.421322820917562E+000 -5.223634359064414E+000 4.421322820917562E+000 -5.223634359064414E+000 4.421322820917562E+000 
2.040000000000000E+009 -5.171532180364172E+000 3.823144364898883E+000 -5.171532180364172E+000 3.823144364898883E+000 -5.171532180364172E+000 3.823144364898883E+000 -5.171532180364172E+000 3.823144364898883E+000 
2.045000000000000E+009 -5.106567842831690E+000 3.463577331090635E+000 -5.106567842831690E+000 3.463577331090635E+000 -5.106567842831690E+000 3.463577331090635E+000 -5.106567842831690E+000 3.463577331090635E+000 
2.050000000000000E+009 -5.026945368731097E+000 3.043364725044614E+000 -5.026945368731097E+000 3.043364725044614E+000 -5.026945368731097E+000 3.043364725044614E+000 -5.026945368731097E+000 3.043364725044614E+000 
2.055000000000000E+009 -4.938990511172801E+000 2.589333681569387E+000 -4.938990511172801E+000 2.589333681569387E+000 -4.938990511172801E+000 2.589333681569387E+000 -4.938990511172801E+000 2.589333681569387E+000 
2.060000000000000E+009 -4.836009210186613E+000 1.950227640710047E+000 -4.836009210186613E+000 1.950227640710047E+000 -4.836009210186613E+000 1.950227640710047E+000 -4.836009210186613E+000 1.950227640710047E+000 
2.065000000000000E+009 -4.718942436181584E+000 1.434292155323373E+000 -4.718942436181584E+000 1.434292155323373E+000 -4.718942436181584E+000 1.434292155323373E+000 -4.718942436181584E+000 1.434292155323373E+000 
2.070000000000000E+009 -4.597754398322564E+000 7.288924188702366E-001 -4.597754398322564E+000 7.288924188702366E-001 -4.597754398322564E+000 7.288924188702366E-001 -4.597754398322564E+000 7.288924188702366E-001 
2.075000000000000E+009 -4.470872947274005E+000 -1.727564153469203E-001 -4.470872947274005E+000 -1.727564153469203E-001 -4.470872947274005E+000 -1.727564153469203E-001 -4.470872947274005E+000 -1.727564153469203E-001 
2.080000000000000E+009 -4.347089035384295E+000 -1.307474450905768E+000 -4.347089035384295E+000 -1.307474450905768E+000 -4.347089035384295E+000 -1.307474450905768E+000 -4.347089035384295E+000 -1.307474450905768E+000 
2.085000000000000E+009 -4.232250867067302E+000 -2.261955850473516E+000 -4.232250867067302E+000 -2.261955850473516E+000 -4.232250867067302E+000 -2.261955850473516E+000 -4.232250867067302E+000 -2.261955850473516E+000 
2.090000000000000E+009 -4.127139587405465E+000 -3.444460243819904E+000 -4.127139587405465E+000 -3.444460243819904E+000 -4.127139587405465E+000 -3.444460243819904E+000 -4.127139587405465E+000 -3.444460243819904E+000 
2.095000000000000E+009 -4.034756567236003E+000 -4.765237767237144E+000 -4.034756567236003E+000 -4.765237767237144E+000 -4.034756567236003E+000 -4.765237767237144E+000 -4.034756567236003E+000 -4.765237767237144E+000 
2.100000000000000E+009 -3.955604364303427E+000 -6.232173526196353E+000 -3.955604364303427E+000 -6.232173526196353E+000 -3.955604364303427E+000 -6.232173526196353E+000 -3.955604364303427E+000 -6.232173526196353E+000 
2.105000000000000E+009 -3.891189594071431E+000 -7.398771478337395E+000 -3.891189594071431E+000 -7.398771478337395E+000 -3.891189594071431E+000 -7.398771478337395E+000 -3.891189594071431E+000 -7.398771478337395E+000 
2.110000000000000E+009 -3.834555334347865E+000 -8.741905941971533E+000 -3.834555334347865E+000 -8.741905941971533E+000 -3.834555334347865E+000 -8.741905941971533E+000 -3.834555334347865E+000 -8.741905941971533E+000 
2.115000000000000E+009 -3.784483977360205E+000 -1.024229807060041E+001 -3.784483977360205E+000 -1.024229807060041E+001 -3.784483977360205E+000 -1.024229807060041E+001 -3.784483977360205E+000 -1.024229807060041E+001 
2.120000000000000E+009 -3.748660426381191E+000 -1.181889319074871E+001 -3.748660426381191E+000 -1.181889319074871E+001 -3.748660426381191E+000 -1.181889319074871E+001 -3.748660426381191E+000 -1.181889319074871E+001 
2.125000000000000E+009 -3.740398361854015E+000 -1.307055389950072E+001 -3.740398361854015E+000 -1.307055389950072E+001 -3.740398361854015E+000 -1.307055389950072E+001 -3.740398361854015E+000 -1.307055389950072E+001 
2.130000000000000E+009 -3.747100080664457E+000 -1.450303708283338E+001 -3.747100080664457E+000 -1.450303708283338E+001 -3.747100080664457E+000 -1.450303708283338E+001 -3.747100080664457E+000 -1.450303708283338E+001 
2.135000000000000E+009 -3.742841963884136E+000 -1.601040099696080E+001 -3.742841963884136E+000 -1.601040099696080E+001 -3.742841963884136E+000 -1.601040099696080E+001 -3.742841963884136E+000 -1.601040099696080E+001 
2.140000000000000E+009 -3.729794311340716E+000 -1.758559970937257E+001 -3.729794311340716E+000 -1.758559970937257E+001 -3.729794311340716E+000 -1.758559970937257E+001 -3.729794311340716E+000 -1.758559970937257E+001 
2.145000000000000E+009 -3.750075330281901E+000 -1.881382789715605E+001 -3.750075330281901E+000 -1.881382789715605E+001 -3.750075330281901E+000 -1.881382789715605E+001 -3.750075330281901E+000 -1.881382789715605E+001 
2.150000000000000E+009 -3.778868108027940E+000 -2.018539406920853E+001 -3.778868108027940E+000 -2.018539406920853E+001 -3.778868108027940E+000 -2.018539406920853E+001 -3.778868108027940E+000 -2.018539406920853E+001 
2.155000000000000E+009 -3.813270638130348E+000 -2.171195713708758E+001 -3.813270638130348E+000 -2.171195713708758E+001 -3.813270638130348E+000 -2.171195713708758E+001 -3.813270638130348E+000 -2.171195713708758E+001 
2.160000000000000E+009 -3.842745034807323E+000 -2.330863429406491E+001 -3.842745034807323E+000 -2.330863429406491E+001 -3.842745034807323E+000 -2.330863429406491E+001 -3.842745034807323E+000 -2.330863429406491E+001 
2.165000000000000E+009 -3.896906405993012E+000 -2.462228196151574E+001 -3.896906405993012E+000 -2.462228196151574E+001 -3.896906405993012E+000 -2.462228196151574E+001 -3.896906405993012E+000 -2.462228196151574E+001 
2.170000000000000E+009 -3.960441769544909E+000 -2.606796529291767E+001 -3.960441769544909E+000 -2.606796529291767E+001 -3.960441769544909E+000 -2.606796529291767E+001 -3.960441769544909E+000 -2.606796529291767E+001 
2.175000000000000E+009 -4.025752825670385E+000 -2.755313219526463E+001 -4.025752825670385E+000 -2.755313219526463E+001 -4.025752825670385E+000 -2.755313219526463E+001 -4.025752825670385E+000 -2.755313219526463E+001 
2.180000000000000E+009 -4.084866943231354E+000 -2.898782263986443E+001 -4.084866943231354E+000 -2.898782263986443E+001 -4.084866943231354E+000 -2.898782263986443E+001 -4.084866943231354E+000 -2.898782263986443E+001 
2.185000000000000E+009 -4.163136765690591E+000 -3.032952041149730E+001 -4.163136765690591E+000 -3.032952041149730E+001 -4.163136765690591E+000 -3.032952041149730E+001 -4.163136765690591E+000 -3.032952041149730E+001 
2.190000000000000E+009 -4.248526844817038E+000 -3.168843883482986E+001 -4.248526844817038E+000 -3.168843883482986E+001 -4.248526844817038E+000 -3.168843883482986E+001 -4.248526844817038E+000 -3.168843883482986E+001 
2.195000000000000E+009 -4.332311980322565E+000 -3.306594067549428E+001 -4.332311980322565E+000 -3.306594067549428E+001 -4.332311980322565E+000 -3.306594067549428E+001 -4.332311980322565E+000 -3.306594067549428E+001 
2.200000000000000E+009 -4.408423187435253E+000 -3.440462486326730E+001 -4.408423187435253E+000 -3.440462486326730E+001 -4.408423187435253E+000 -3.440462486326730E+001 -4.408423187435253E+000 -3.440462486326730E+001 
2.205000000000000E+009 -4.503370956154691E+000 -3.573260843236375E+001 -4.503370956154691E+000 -3.573260843236375E+001 -4.503370956154691E+000 -3.573260843236375E+001 -4.503370956154691E+000 -3.573260843236375E+001 
2.210000000000000E+009 -4.595217577821581E+000 -3.707553205640490E+001 -4.595217577821581E+000 -3.707553205640490E+001 -4.595217577821581E+000 -3.707553205640490E+001 -4.595217577821581E+000 -3.707553205640490E+001 
2.215000000000000E+009 -4.676750781328898E+000 -3.846693303007634E+001 -4.676750781328898E+000 -3.846693303007634E+001 -4.676750781328898E+000 -3.846693303007634E+001 -4.676750781328898E+000 -3.846693303007634E+001 
2.220000000000000E+009 -4.756472752641618E+000 -3.988880359609257E+001 -4.756472752641618E+000 -3.988880359609257E+001 -4.756472752641618E+000 -3.988880359609257E+001 -4.756472752641618E+000 -3.988880359609257E+001 
