# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
1.950000000000000E+009 -3.254261418434326E+000 -6.916490889938559E+001 -3.254261418434326E+000 -6.916490889938559E+001 -3.254261418434326E+000 -6.916490889938559E+001 -3.254261418434326E+000 -6.916490889938559E+001 
1.955000000000000E+009 -3.301772984932172E+000 -7.052680480020639E+001 -3.301772984932172E+000 -7.052680480020639E+001 -3.301772984932172E+000 -7.052680480020639E+001 -3.301772984932172E+000 -7.052680480020639E+001 
1.960000000000000E+009 -3.361052317370427E+000 -7.188066039789551E+001 -3.361052317370427E+000 -7.188066039789551E+001 -3.361052317370427E+000 -7.188066039789551E+001 -3.361052317370427E+000 -7.188066039789551E+001 
1.965000000000000E+009 -3.416492061753848E+000 -7.319773922122923E+001 -3.416492061753848E+000 -7.319773922122923E+001 -3.416492061753848E+000 -7.319773922122923E+001 -3.416492061753848E+000 -7.319773922122923E+001 
1.970000000000000E+009 -3.472571151866582E+000 -7.451625864495439E+001 -3.472571151866582E+000 -7.451625864495439E+001 -3.472571151866582E+000 -7.451625864495439E+001 -3.472571151866582E+000 -7.451625864495439E+001 
1.975000000000000E+009 -3.529896474100948E+000 -7.584717845705475E+001 -3.529896474100948E+000 -7.584717845705475E+001 -3.529896474100948E+000 -7.584717845705475E+001 -3.529896474100948E+000 -7.584717845705475E+001 
1.980000000000000E+009 -3.595762299228462E+000 -7.721142729213783E+001 -3.595762299228462E+000 -7.721142729213783E+001 -3.595762299228462E+000 -7.721142729213783E+001 -3.595762299228462E+000 -7.721142729213783E+001 
1.985000000000000E+009 -3.666865572648887E+000 -7.849336679553707E+001 -3.666865572648887E+000 -7.849336679553707E+001 -3.666865572648887E+000 -7.849336679553707E+001 -3.666865572648887E+000 -7.849336679553707E+001 
1.990000000000000E+009 -3.741658463678379E+000 -7.977145529308149E+001 -3.741658463678379E+000 -7.977145529308149E+001 -3.741658463678379E+000 -7.977145529308149E+001 -3.741658463678379E+000 -7.977145529308149E+001 
1.995000000000000E+009 -3.818105882277056E+000 -8.100056684330502E+001 -3.818105882277056E+000 -8.100056684330502E+001 -3.818105882277056E+000 -8.100056684330502E+001 -3.818105882277056E+000 -8.100056684330502E+001 
2.000000000000000E+009 -3.892121113149497E+000 -8.221405508138741E+001 -3.892121113149497E+000 -8.221405508138741E+001 -3.892121113149497E+000 -8.221405508138741E+001 -3.892121113149497E+000 -8.221405508138741E+001 
2.005000000000000E+009 -3.966093392672395E+000 -8.346515288604677E+001 -3.966093392672395E+000 -8.346515288604677E+001 -3.966093392672395E+000 -8.346515288604677E+001 -3.966093392672395E+000 -8.346515288604677E+001 
2.010000000000000E+009 -4.037784361042349E+000 -8.467251170160368E+001 -4.037784361042349E+000 -8.467251170160368E+001 -4.037784361042349E+000 -8.467251170160368E+001 -4.037784361042349E+000 -8.467251170160368E+001 
2.015000000000000E+009 -4.121107216479764E+000 -8.591588326259031E+001 -4.121107216479764E+000 -8.591588326259031E+001 -4.121107216479764E+000 -8.591588326259031E+001 -4.121107216479764E+000 -8.591588326259031E+001 
2.020000000000000E+009 -4.211296381799792E+000 -8.714989149565825E+001 -4.211296381799792E+000 -8.714989149565825E+001 -4.211296381799792E+000 -8.714989149565825E+001 -4.211296381799792E+000 -8.714989149565825E+001 
2.025000000000000E+009 -4.309732122016129E+000 -8.833698542576613E+001 -4.309732122016129E+000 -8.833698542576613E+001 -4.309732122016129E+000 -8.833698542576613E+001 -4.309732122016129E+000 -8.833698542576613E+001 
2.030000000000000E+009 -4.418027434412354E+000 -8.946278411506690E+001 -4.418027434412354E+000 -8.946278411506690E+001 -4.418027434412354E+000 -8.946278411506690E+001 -4.418027434412354E+000 -8.946278411506690E+001 
2.035000000000000E+009 -4.532093167893328E+000 -9.046561885949208E+001 -4.532093167893328E+000 -9.046561885949208E+001 -4.532093167893328E+000 -9.046561885949208E+001 -4.532093167893328E+000 -9.046561885949208E+001 
2.040000000000000E+009 -4.641965829942505E+000 -9.136800706766704E+001 -4.641965829942505E+000 -9.136800706766704E+001 -4.641965829942505E+000 -9.136800706766704E+001 -4.641965829942505E+000 -9.136800706766704E+001 
2.045000000000000E+009 -4.745051908443143E+000 -9.223002874135594E+001 -4.745051908443143E+000 -9.223002874135594E+001 -4.745051908443143E+000 -9.223002874135594E+001 -4.745051908443143E+000 -9.223002874135594E+001 
2.050000000000000E+009 -4.850246005426248E+000 -9.303761608165304E+001 -4.850246005426248E+000 -9.303761608165304E+001 -4.850246005426248E+000 -9.303761608165304E+001 -4.850246005426248E+000 -9.303761608165304E+001 
2.055000000000000E+009 -4.955083348091653E+000 -9.374209098624665E+001 -4.955083348091653E+000 -9.374209098624665E+001 -4.955083348091653E+000 -9.374209098624665E+001 -4.955083348091653E+000 -9.374209098624665E+001 
2.060000000000000E+009 -5.058132989363875E+000 -9.437305196824484E+001 -5.058132989363875E+000 -9.437305196824484E+001 -5.058132989363875E+000 -9.437305196824484E+001 -5.058132989363875E+000 -9.437305196824484E+001 
2.065000000000000E+009 -5.158921544239161E+000 -9.480533699506967E+001 -5.158921544239161E+000 -9.480533699506967E+001 -5.158921544239161E+000 -9.480533699506967E+001 -5.158921544239161E+000 -9.480533699506967E+001 
2.070000000000000E+009 -5.223059883351831E+000 -9.511088635319922E+001 -5.223059883351831E+000 -9.511088635319922E+001 -5.223059883351831E+000 -9.511088635319922E+001 -5.223059883351831E+000 -9.511088635319922E+001 
