# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
1.950000000000000E+009 -5.041102254843332E+000 -1.493762914128707E+002 -5.041102254843332E+000 -1.493762914128707E+002 -5.041102254843332E+000 -1.493762914128707E+002 -5.041102254843332E+000 -1.493762914128707E+002 
1.955000000000000E+009 -5.033330012294035E+000 -1.520167294617208E+002 -5.033330012294035E+000 -1.520167294617208E+002 -5.033330012294035E+000 -1.520167294617208E+002 -5.033330012294035E+000 -1.520167294617208E+002 
1.960000000000000E+009 -5.044943242119698E+000 -1.547033842411671E+002 -5.044943242119698E+000 -1.547033842411671E+002 -5.044943242119698E+000 -1.547033842411671E+002 -5.044943242119698E+000 -1.547033842411671E+002 
1.965000000000000E+009 -5.064136248589043E+000 -1.573174980032542E+002 -5.064136248589043E+000 -1.573174980032542E+002 -5.064136248589043E+000 -1.573174980032542E+002 -5.064136248589043E+000 -1.573174980032542E+002 
1.970000000000000E+009 -5.094127468191156E+000 -1.599230325227416E+002 -5.094127468191156E+000 -1.599230325227416E+002 -5.094127468191156E+000 -1.599230325227416E+002 -5.094127468191156E+000 -1.599230325227416E+002 
1.975000000000000E+009 -5.134856673010873E+000 -1.624541941951167E+002 -5.134856673010873E+000 -1.624541941951167E+002 -5.134856673010873E+000 -1.624541941951167E+002 -5.134856673010873E+000 -1.624541941951167E+002 
1.980000000000000E+009 -5.182669937451033E+000 -1.649394399892348E+002 -5.182669937451033E+000 -1.649394399892348E+002 -5.182669937451033E+000 -1.649394399892348E+002 -5.182669937451033E+000 -1.649394399892348E+002 
1.985000000000000E+009 -5.230928640742907E+000 -1.672573015743116E+002 -5.230928640742907E+000 -1.672573015743116E+002 -5.230928640742907E+000 -1.672573015743116E+002 -5.230928640742907E+000 -1.672573015743116E+002 
1.990000000000000E+009 -5.293442794217284E+000 -1.697399881293521E+002 -5.293442794217284E+000 -1.697399881293521E+002 -5.293442794217284E+000 -1.697399881293521E+002 -5.293442794217284E+000 -1.697399881293521E+002 
1.995000000000000E+009 -5.366761902321645E+000 -1.721516575982853E+002 -5.366761902321645E+000 -1.721516575982853E+002 -5.366761902321645E+000 -1.721516575982853E+002 -5.366761902321645E+000 -1.721516575982853E+002 
2.000000000000000E+009 -5.449632316108947E+000 -1.745741618242423E+002 -5.449632316108947E+000 -1.745741618242423E+002 -5.449632316108947E+000 -1.745741618242423E+002 -5.449632316108947E+000 -1.745741618242423E+002 
2.005000000000000E+009 -5.545145043833135E+000 -1.769140112235011E+002 -5.545145043833135E+000 -1.769140112235011E+002 -5.545145043833135E+000 -1.769140112235011E+002 -5.545145043833135E+000 -1.769140112235011E+002 
2.010000000000000E+009 -5.648724339002625E+000 -1.791644597261522E+002 -5.648724339002625E+000 -1.791644597261522E+002 -5.648724339002625E+000 -1.791644597261522E+002 -5.648724339002625E+000 -1.791644597261522E+002 
