# Version 1.00
#
freq[Hz] db:Trc1_S11 ang:Trc1_S11 db:Trc2_S11 ang:Trc2_S11 db:Trc3_S11 ang:Trc3_S11 db:Trc4_S11 ang:Trc4_S11 
1.950000000000000E+009 -6.856646190199718E+000 -6.776397740013471E+001 -6.856646190199718E+000 -6.776397740013471E+001 -6.856646190199718E+000 -6.776397740013471E+001 -6.856646190199718E+000 -6.776397740013471E+001 
1.955000000000000E+009 -6.996719498987191E+000 -7.008213913260808E+001 -6.996719498987191E+000 -7.008213913260808E+001 -6.996719498987191E+000 -7.008213913260808E+001 -6.996719498987191E+000 -7.008213913260808E+001 
1.960000000000000E+009 -7.182028736939706E+000 -7.233423843227024E+001 -7.182028736939706E+000 -7.233423843227024E+001 -7.182028736939706E+000 -7.233423843227024E+001 -7.182028736939706E+000 -7.233423843227024E+001 
1.965000000000000E+009 -7.408524795811262E+000 -7.441531058454503E+001 -7.408524795811262E+000 -7.441531058454503E+001 -7.408524795811262E+000 -7.441531058454503E+001 -7.408524795811262E+000 -7.441531058454503E+001 
1.970000000000000E+009 -7.660616728844572E+000 -7.622945804498541E+001 -7.660616728844572E+000 -7.622945804498541E+001 -7.660616728844572E+000 -7.622945804498541E+001 -7.660616728844572E+000 -7.622945804498541E+001 
1.975000000000000E+009 -7.929259536083525E+000 -7.776212026740987E+001 -7.929259536083525E+000 -7.776212026740987E+001 -7.929259536083525E+000 -7.776212026740987E+001 -7.929259536083525E+000 -7.776212026740987E+001 
1.980000000000000E+009 -8.199379886001347E+000 -7.901193147437189E+001 -8.199379886001347E+000 -7.901193147437189E+001 -8.199379886001347E+000 -7.901193147437189E+001 -8.199379886001347E+000 -7.901193147437189E+001 
1.985000000000000E+009 -8.485965173197684E+000 -7.991507499876849E+001 -8.485965173197684E+000 -7.991507499876849E+001 -8.485965173197684E+000 -7.991507499876849E+001 -8.485965173197684E+000 -7.991507499876849E+001 
1.990000000000000E+009 -8.758034471069925E+000 -8.042952533721596E+001 -8.758034471069925E+000 -8.042952533721596E+001 -8.758034471069925E+000 -8.042952533721596E+001 -8.758034471069925E+000 -8.042952533721596E+001 
1.995000000000000E+009 -9.003382033572112E+000 -8.061503824445597E+001 -9.003382033572112E+000 -8.061503824445597E+001 -9.003382033572112E+000 -8.061503824445597E+001 -9.003382033572112E+000 -8.061503824445597E+001 
