x   y
-5.619872 0.000000 
-5.135399 -0.252286 
-5.064829 -0.498842 
-5.525119 -0.819574 
-6.420230 -1.277063 
-7.509553 -1.881045 
-8.585322 -2.604329 
-9.517654 -3.405471 
-10.250563 -4.245922 
-10.762735 -5.090395 
-11.055057 -5.909051 
-11.138515 -6.676169 
-11.025428 -7.366956 
-10.736161 -7.962480 
-10.291235 -8.445798 
-9.716196 -8.806246 
-9.041958 -9.041958 
-8.305529 -9.163739 
-7.546997 -9.196042 
-6.811659 -9.184459 
-6.136586 -9.184050 
-5.540769 -9.244214 
-5.016475 -9.385164 
-4.535458 -9.589420 
-4.061722 -9.805864 
-3.568141 -9.972286 
-3.042636 -10.030226 
-2.487282 -9.929786 
-1.918255 -9.643717 
-1.359421 -9.164473 
-0.839527 -8.523862 
-0.384611 -7.828928 
0.000000 -7.294646 
0.354056 -7.206970 
0.760999 -7.726549 
1.291702 -8.707947 
1.960140 -9.854291 
2.740814 -10.941943 
3.595921 -11.854164 
4.489667 -12.547778 
5.389804 -13.012137 
6.268469 -13.253563 
7.099984 -13.283136 
7.858726 -13.111492 
8.522627 -12.755013 
9.067768 -12.226470 
9.472286 -11.542014 
9.713510 -10.717207 
9.769653 -9.769653 
9.622490 -8.721316 
9.258420 -7.598189 
8.675496 -6.434187 
7.892436 -5.273557 
6.976387 -4.181485 
6.053283 -3.235547 
5.303645 -2.508437 
4.874772 -2.019197 
4.776790 -1.709163 
4.894735 -1.484802 
5.100570 -1.277626 
5.322330 -1.058677 
5.559088 -0.824613 
5.843230 -0.575508 
6.218423 -0.305492 
6.704304 -0.000000 
7.281388 0.357712 
7.901361 0.778216 
8.512813 1.262757 
9.075062 1.805142 
9.564332 2.395741 
9.963291 3.022331 
10.271996 3.675379 
10.491857 4.345870 
10.621004 5.023361 
10.659623 5.697687 
10.608158 6.358285 
10.464500 6.992156 
10.226751 7.584676 
9.898962 8.123868 
9.483810 8.595624 
8.989736 8.989736 
8.429532 9.300555 
7.816507 9.524441 
7.165159 9.661099 
6.490141 9.713183 
5.805497 9.685887 
5.118508 9.576055 
4.436570 9.380339 
3.763793 9.086601 
3.104366 8.676122 
2.466991 8.132581 
1.865947 7.449279 
1.324595 6.659189 
0.873338 5.887567 
0.528849 5.369492 
0.265899 5.412505 
-0.000000 6.122184 
-0.357166 7.270271 
-0.841612 8.545031 
-1.444387 9.737263 
-2.139055 10.753756 
-2.896021 11.561565 
-3.688861 12.160547 
-4.494870 12.562320 
-5.294279 12.781520 
-6.071872 12.837895 
-6.813242 12.746680 
-7.507378 12.525303 
-8.145280 12.190273 
-8.719936 11.757472 
-9.225874 11.241760 
-9.657079 10.654945 
-10.011675 10.011675 
-10.286598 9.323229 
-10.479941 8.600666 
-10.591285 7.855032 
-10.621098 7.096790 
-10.572403 6.336855 
-10.447092 5.584087 
-10.250262 4.848013 
-9.985607 4.136174 
-9.658828 3.455984 
-9.267973 2.811409 
-8.813095 2.207565 
-8.288129 1.648611 
-7.688192 1.140436 
-7.016049 0.691020 
-6.300253 0.309512 
-5.619872 0.000000 
