# Version 1.00
#
freq[Hz],db:Trc1_S11,ang:Trc1_S11,db:Trc2_S11,ang:Trc2_S11,db:Trc3_S11,ang:Trc3_S11,db:Trc4_S11,ang:Trc4_S11,
1.950000000000000E+009,-9.527123029523244E+000,6.652144617433034E+001,-9.527123029523244E+000,6.652144617433034E+001,-9.527123029523244E+000,6.652144617433034E+001,-9.527123029523244E+000,6.652144617433034E+001,
1.955000000000000E+009,-9.344532025811031E+000,6.028617421881798E+001,-9.344532025811031E+000,6.028617421881798E+001,-9.344532025811031E+000,6.028617421881798E+001,-9.344532025811031E+000,6.028617421881798E+001,
1.960000000000000E+009,-9.103852293578182E+000,5.455653605943539E+001,-9.103852293578182E+000,5.455653605943539E+001,-9.103852293578182E+000,5.455653605943539E+001,-9.103852293578182E+000,5.455653605943539E+001,
1.965000000000000E+009,-8.828911020326698E+000,4.942087389704689E+001,-8.828911020326698E+000,4.942087389704689E+001,-8.828911020326698E+000,4.942087389704689E+001,-8.828911020326698E+000,4.942087389704689E+001,
1.970000000000000E+009,-8.541124191923586E+000,4.504253989860933E+001,-8.541124191923586E+000,4.504253989860933E+001,-8.541124191923586E+000,4.504253989860933E+001,-8.541124191923586E+000,4.504253989860933E+001,
1.975000000000000E+009,-8.263489026821414E+000,4.130301080787061E+001,-8.263489026821414E+000,4.130301080787061E+001,-8.263489026821414E+000,4.130301080787061E+001,-8.263489026821414E+000,4.130301080787061E+001,
1.980000000000000E+009,-8.011114379135137E+000,3.826793425998518E+001,-8.011114379135137E+000,3.826793425998518E+001,-8.011114379135137E+000,3.826793425998518E+001,-8.011114379135137E+000,3.826793425998518E+001,
1.985000000000000E+009,-7.790650646482321E+000,3.583949965946123E+001,-7.790650646482321E+000,3.583949965946123E+001,-7.790650646482321E+000,3.583949965946123E+001,-7.790650646482321E+000,3.583949965946123E+001,
1.990000000000000E+009,-7.601235360163702E+000,3.401120959012854E+001,-7.601235360163702E+000,3.401120959012854E+001,-7.601235360163702E+000,3.401120959012854E+001,-7.601235360163702E+000,3.401120959012854E+001,
1.995000000000000E+009,-7.446941593904609E+000,3.262465689335131E+001,-7.446941593904609E+000,3.262465689335131E+001,-7.446941593904609E+000,3.262465689335131E+001,-7.446941593904609E+000,3.262465689335131E+001,
2.000000000000000E+009,-7.330337317269349E+000,3.156403916034843E+001,-7.330337317269349E+000,3.156403916034843E+001,-7.330337317269349E+000,3.156403916034843E+001,-7.330337317269349E+000,3.156403916034843E+001,
2.005000000000000E+009,-7.262291720888257E+000,3.082902640778086E+001,-7.262291720888257E+000,3.082902640778086E+001,-7.262291720888257E+000,3.082902640778086E+001,-7.262291720888257E+000,3.082902640778086E+001,
2.010000000000000E+009,-7.240887958684190E+000,3.030931609868061E+001,-7.240887958684190E+000,3.030931609868061E+001,-7.240887958684190E+000,3.030931609868061E+001,-7.240887958684190E+000,3.030931609868061E+001,
2.015000000000000E+009,-7.257594845758932E+000,2.995504124731572E+001,-7.257594845758932E+000,2.995504124731572E+001,-7.257594845758932E+000,2.995504124731572E+001,-7.257594845758932E+000,2.995504124731572E+001,
2.020000000000000E+009,-7.332304240546771E+000,2.973192728021941E+001,-7.332304240546771E+000,2.973192728021941E+001,-7.332304240546771E+000,2.973192728021941E+001,-7.332304240546771E+000,2.973192728021941E+001,
2.025000000000000E+009,-7.446230653203767E+000,2.959994137303902E+001,-7.446230653203767E+000,2.959994137303902E+001,-7.446230653203767E+000,2.959994137303902E+001,-7.446230653203767E+000,2.959994137303902E+001,
2.030000000000000E+009,-7.600601176158968E+000,2.952680223708914E+001,-7.600601176158968E+000,2.952680223708914E+001,-7.600601176158968E+000,2.952680223708914E+001,-7.600601176158968E+000,2.952680223708914E+001,
2.035000000000000E+009,-7.790149869280771E+000,2.945566179596383E+001,-7.790149869280771E+000,2.945566179596383E+001,-7.790149869280771E+000,2.945566179596383E+001,-7.790149869280771E+000,2.945566179596383E+001,
2.040000000000000E+009,-8.001900020602040E+000,2.924335513725187E+001,-8.001900020602040E+000,2.924335513725187E+001,-8.001900020602040E+000,2.924335513725187E+001,-8.001900020602040E+000,2.924335513725187E+001,
2.045000000000000E+009,-8.244620422149918E+000,2.880393465416736E+001,-8.244620422149918E+000,2.880393465416736E+001,-8.244620422149918E+000,2.880393465416736E+001,-8.244620422149918E+000,2.880393465416736E+001,
2.050000000000000E+009,-8.516561528590332E+000,2.808551177148209E+001,-8.516561528590332E+000,2.808551177148209E+001,-8.516561528590332E+000,2.808551177148209E+001,-8.516561528590332E+000,2.808551177148209E+001,
2.055000000000000E+009,-8.810726399966606E+000,2.696276000578708E+001,-8.810726399966606E+000,2.696276000578708E+001,-8.810726399966606E+000,2.696276000578708E+001,-8.810726399966606E+000,2.696276000578708E+001,
2.060000000000000E+009,-9.126481670418221E+000,2.539476809083905E+001,-9.126481670418221E+000,2.539476809083905E+001,-9.126481670418221E+000,2.539476809083905E+001,-9.126481670418221E+000,2.539476809083905E+001,
2.065000000000000E+009,-9.439350391342902E+000,2.335824821941321E+001,-9.439350391342902E+000,2.335824821941321E+001,-9.439350391342902E+000,2.335824821941321E+001,-9.439350391342902E+000,2.335824821941321E+001,
2.070000000000000E+009,-9.736810628701264E+000,2.062011966361673E+001,-9.736810628701264E+000,2.062011966361673E+001,-9.736810628701264E+000,2.062011966361673E+001,-9.736810628701264E+000,2.062011966361673E+001,
2.075000000000000E+009,-1.000355938844960E+001,1.709561872358401E+001,-1.000355938844960E+001,1.709561872358401E+001,-1.000355938844960E+001,1.709561872358401E+001,-1.000355938844960E+001,1.709561872358401E+001,
2.080000000000000E+009,-1.021382294779847E+001,1.287007114110317E+001,-1.021382294779847E+001,1.287007114110317E+001,-1.021382294779847E+001,1.287007114110317E+001,-1.021382294779847E+001,1.287007114110317E+001,
2.085000000000000E+009,-1.035365517020091E+001,7.831690616391366E+000,-1.035365517020091E+001,7.831690616391366E+000,-1.035365517020091E+001,7.831690616391366E+000,-1.035365517020091E+001,7.831690616391366E+000,
2.090000000000000E+009,-1.039960967109865E+001,2.179199165617418E+000,-1.039960967109865E+001,2.179199165617418E+000,-1.039960967109865E+001,2.179199165617418E+000,-1.039960967109865E+001,2.179199165617418E+000,
2.095000000000000E+009,-1.034112775016933E+001,-3.813063900385530E+000,-1.034112775016933E+001,-3.813063900385530E+000,-1.034112775016933E+001,-3.813063900385530E+000,-1.034112775016933E+001,-3.813063900385530E+000,
2.100000000000000E+009,-1.016257882466541E+001,-9.981470031730440E+000,-1.016257882466541E+001,-9.981470031730440E+000,-1.016257882466541E+001,-9.981470031730440E+000,-1.016257882466541E+001,-9.981470031730440E+000,
2.105000000000000E+009,-9.893158411579536E+000,-1.601957809517909E+001,-9.893158411579536E+000,-1.601957809517909E+001,-9.893158411579536E+000,-1.601957809517909E+001,-9.893158411579536E+000,-1.601957809517909E+001,
2.110000000000000E+009,-9.551018199337451E+000,-2.169953985674335E+001,-9.551018199337451E+000,-2.169953985674335E+001,-9.551018199337451E+000,-2.169953985674335E+001,-9.551018199337451E+000,-2.169953985674335E+001,
2.115000000000000E+009,-9.166094934506667E+000,-2.685150919404585E+001,-9.166094934506667E+000,-2.685150919404585E+001,-9.166094934506667E+000,-2.685150919404585E+001,-9.166094934506667E+000,-2.685150919404585E+001,
2.120000000000000E+009,-8.767012185233559E+000,-3.138542998415169E+001,-8.767012185233559E+000,-3.138542998415169E+001,-8.767012185233559E+000,-3.138542998415169E+001,-8.767012185233559E+000,-3.138542998415169E+001,
