# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S11;ang:Trc2_S11;db:Trc3_S11;ang:Trc3_S11;db:Trc4_S11;ang:Trc4_S11;
1.950000000000000E+009;-3.591994431275676E+000;-1.446421232122351E+002;-3.591994431275676E+000;-1.446421232122351E+002;-3.591994431275676E+000;-1.446421232122351E+002;-3.591994431275676E+000;-1.446421232122351E+002;
1.955000000000000E+009;-3.680883997704447E+000;-1.459710761938786E+002;-3.680883997704447E+000;-1.459710761938786E+002;-3.680883997704447E+000;-1.459710761938786E+002;-3.680883997704447E+000;-1.459710761938786E+002;
1.960000000000000E+009;-3.790302625362837E+000;-1.475121155866391E+002;-3.790302625362837E+000;-1.475121155866391E+002;-3.790302625362837E+000;-1.475121155866391E+002;-3.790302625362837E+000;-1.475121155866391E+002;
1.965000000000000E+009;-3.914097008443186E+000;-1.493264830694412E+002;-3.914097008443186E+000;-1.493264830694412E+002;-3.914097008443186E+000;-1.493264830694412E+002;-3.914097008443186E+000;-1.493264830694412E+002;
1.970000000000000E+009;-4.039532747049550E+000;-1.514599351611841E+002;-4.039532747049550E+000;-1.514599351611841E+002;-4.039532747049550E+000;-1.514599351611841E+002;-4.039532747049550E+000;-1.514599351611841E+002;
1.975000000000000E+009;-4.171328239047204E+000;-1.539173758358359E+002;-4.171328239047204E+000;-1.539173758358359E+002;-4.171328239047204E+000;-1.539173758358359E+002;-4.171328239047204E+000;-1.539173758358359E+002;
1.980000000000000E+009;-4.291887494220111E+000;-1.567472515301213E+002;-4.291887494220111E+000;-1.567472515301213E+002;-4.291887494220111E+000;-1.567472515301213E+002;-4.291887494220111E+000;-1.567472515301213E+002;
1.985000000000000E+009;-4.407151819675249E+000;-1.599057792166560E+002;-4.407151819675249E+000;-1.599057792166560E+002;-4.407151819675249E+000;-1.599057792166560E+002;-4.407151819675249E+000;-1.599057792166560E+002;
1.990000000000000E+009;-4.488471321915676E+000;-1.633711874074393E+002;-4.488471321915676E+000;-1.633711874074393E+002;-4.488471321915676E+000;-1.633711874074393E+002;-4.488471321915676E+000;-1.633711874074393E+002;
1.995000000000000E+009;-4.549220535684742E+000;-1.671481309869049E+002;-4.549220535684742E+000;-1.671481309869049E+002;-4.549220535684742E+000;-1.671481309869049E+002;-4.549220535684742E+000;-1.671481309869049E+002;
