% Version 1.00
%
%freq[Hz],db:Trc1_S11,ang:Trc1_S11,db:Trc2_S11,ang:Trc2_S11,db:Trc3_S11,ang:Trc3_S11,db:Trc4_S11,ang:Trc4_S11,
1.950000000000000E+009,-4.912432545796137E+000,-8.665177503909314E+001,-4.912432545796137E+000,-8.665177503909314E+001,-4.912432545796137E+000,-8.665177503909314E+001,-4.912432545796137E+000,-8.665177503909314E+001,
1.955000000000000E+009,-4.991241255867846E+000,-8.660171939760311E+001,-4.991241255867846E+000,-8.660171939760311E+001,-4.991241255867846E+000,-8.660171939760311E+001,-4.991241255867846E+000,-8.660171939760311E+001,
1.960000000000000E+009,-5.104732278431954E+000,-8.649331126805240E+001,-5.104732278431954E+000,-8.649331126805240E+001,-5.104732278431954E+000,-8.649331126805240E+001,-5.104732278431954E+000,-8.649331126805240E+001,
1.965000000000000E+009,-5.250177361976082E+000,-8.637710970879181E+001,-5.250177361976082E+000,-8.637710970879181E+001,-5.250177361976082E+000,-8.637710970879181E+001,-5.250177361976082E+000,-8.637710970879181E+001,
1.970000000000000E+009,-5.429536403881906E+000,-8.627192903534292E+001,-5.429536403881906E+000,-8.627192903534292E+001,-5.429536403881906E+000,-8.627192903534292E+001,-5.429536403881906E+000,-8.627192903534292E+001,
1.975000000000000E+009,-5.635679819740736E+000,-8.619333156084640E+001,-5.635679819740736E+000,-8.619333156084640E+001,-5.635679819740736E+000,-8.619333156084640E+001,-5.635679819740736E+000,-8.619333156084640E+001,
1.980000000000000E+009,-5.879273869008656E+000,-8.632134640909895E+001,-5.879273869008656E+000,-8.632134640909895E+001,-5.879273869008656E+000,-8.632134640909895E+001,-5.879273869008656E+000,-8.632134640909895E+001,
1.985000000000000E+009,-6.165251623924191E+000,-8.658557861668396E+001,-6.165251623924191E+000,-8.658557861668396E+001,-6.165251623924191E+000,-8.658557861668396E+001,-6.165251623924191E+000,-8.658557861668396E+001,
1.990000000000000E+009,-6.481144456338509E+000,-8.705460178651507E+001,-6.481144456338509E+000,-8.705460178651507E+001,-6.481144456338509E+000,-8.705460178651507E+001,-6.481144456338509E+000,-8.705460178651507E+001,
1.995000000000000E+009,-6.843544666277976E+000,-8.772409233263667E+001,-6.843544666277976E+000,-8.772409233263667E+001,-6.843544666277976E+000,-8.772409233263667E+001,-6.843544666277976E+000,-8.772409233263667E+001,
2.000000000000000E+009,-7.238171051521067E+000,-8.853309779155461E+001,-7.238171051521067E+000,-8.853309779155461E+001,-7.238171051521067E+000,-8.853309779155461E+001,-7.238171051521067E+000,-8.853309779155461E+001,
2.005000000000000E+009,-7.655674901181820E+000,-8.956212081880771E+001,-7.655674901181820E+000,-8.956212081880771E+001,-7.655674901181820E+000,-8.956212081880771E+001,-7.655674901181820E+000,-8.956212081880771E+001,
2.010000000000000E+009,-8.065670803174998E+000,-9.088987026079347E+001,-8.065670803174998E+000,-9.088987026079347E+001,-8.065670803174998E+000,-9.088987026079347E+001,-8.065670803174998E+000,-9.088987026079347E+001,
2.015000000000000E+009,-8.465999354509366E+000,-9.259367807663973E+001,-8.465999354509366E+000,-9.259367807663973E+001,-8.465999354509366E+000,-9.259367807663973E+001,-8.465999354509366E+000,-9.259367807663973E+001,
2.020000000000000E+009,-8.847492445041640E+000,-9.469633889529314E+001,-8.847492445041640E+000,-9.469633889529314E+001,-8.847492445041640E+000,-9.469633889529314E+001,-8.847492445041640E+000,-9.469633889529314E+001,
2.025000000000000E+009,-9.188128512833091E+000,-9.716543060856664E+001,-9.188128512833091E+000,-9.716543060856664E+001,-9.188128512833091E+000,-9.716543060856664E+001,-9.188128512833091E+000,-9.716543060856664E+001,
2.030000000000000E+009,-9.461414078916869E+000,-1.000547331123654E+002,-9.461414078916869E+000,-1.000547331123654E+002,-9.461414078916869E+000,-1.000547331123654E+002,-9.461414078916869E+000,-1.000547331123654E+002,
2.035000000000000E+009,-9.655936424573721E+000,-1.033586400765698E+002,-9.655936424573721E+000,-1.033586400765698E+002,-9.655936424573721E+000,-1.033586400765698E+002,-9.655936424573721E+000,-1.033586400765698E+002,
2.040000000000000E+009,-9.766684593851393E+000,-1.069934860223384E+002,-9.766684593851393E+000,-1.069934860223384E+002,-9.766684593851393E+000,-1.069934860223384E+002,-9.766684593851393E+000,-1.069934860223384E+002,
2.045000000000000E+009,-9.789355599726843E+000,-1.107646949634413E+002,-9.789355599726843E+000,-1.107646949634413E+002,-9.789355599726843E+000,-1.107646949634413E+002,-9.789355599726843E+000,-1.107646949634413E+002,
2.050000000000000E+009,-9.749823882539156E+000,-1.145471236805209E+002,-9.749823882539156E+000,-1.145471236805209E+002,-9.749823882539156E+000,-1.145471236805209E+002,-9.749823882539156E+000,-1.145471236805209E+002,
2.055000000000000E+009,-9.644363156637821E+000,-1.179681156979984E+002,-9.644363156637821E+000,-1.179681156979984E+002,-9.644363156637821E+000,-1.179681156979984E+002,-9.644363156637821E+000,-1.179681156979984E+002,
2.060000000000000E+009,-9.452196315804835E+000,-1.208992748534135E+002,-9.452196315804835E+000,-1.208992748534135E+002,-9.452196315804835E+000,-1.208992748534135E+002,-9.452196315804835E+000,-1.208992748534135E+002,
2.065000000000000E+009,-9.187757022950926E+000,-1.234722598796956E+002,-9.187757022950926E+000,-1.234722598796956E+002,-9.187757022950926E+000,-1.234722598796956E+002,-9.187757022950926E+000,-1.234722598796956E+002,
2.070000000000000E+009,-8.885323627021771E+000,-1.257545745537028E+002,-8.885323627021771E+000,-1.257545745537028E+002,-8.885323627021771E+000,-1.257545745537028E+002,-8.885323627021771E+000,-1.257545745537028E+002,
2.075000000000000E+009,-8.584971544497773E+000,-1.276820740124379E+002,-8.584971544497773E+000,-1.276820740124379E+002,-8.584971544497773E+000,-1.276820740124379E+002,-8.584971544497773E+000,-1.276820740124379E+002,
2.080000000000000E+009,-8.293460539099501E+000,-1.291747420094955E+002,-8.293460539099501E+000,-1.291747420094955E+002,-8.293460539099501E+000,-1.291747420094955E+002,-8.293460539099501E+000,-1.291747420094955E+002,
2.085000000000000E+009,-8.031120065781872E+000,-1.302494771997635E+002,-8.031120065781872E+000,-1.302494771997635E+002,-8.031120065781872E+000,-1.302494771997635E+002,-8.031120065781872E+000,-1.302494771997635E+002,
2.090000000000000E+009,-7.788718218147922E+000,-1.308772948695706E+002,-7.788718218147922E+000,-1.308772948695706E+002,-7.788718218147922E+000,-1.308772948695706E+002,-7.788718218147922E+000,-1.308772948695706E+002,
2.095000000000000E+009,-7.561130254165247E+000,-1.311230733236828E+002,-7.561130254165247E+000,-1.311230733236828E+002,-7.561130254165247E+000,-1.311230733236828E+002,-7.561130254165247E+000,-1.311230733236828E+002,
2.100000000000000E+009,-7.348464112789347E+000,-1.312053245373779E+002,-7.348464112789347E+000,-1.312053245373779E+002,-7.348464112789347E+000,-1.312053245373779E+002,-7.348464112789347E+000,-1.312053245373779E+002,
