# Version 1.00
#
freq[Hz];db:Trc1_S11;ang:Trc1_S11;db:Trc2_S11;ang:Trc2_S11;db:Trc3_S11;ang:Trc3_S11;db:Trc4_S11;ang:Trc4_S11;
1.950000000000000E+009;-4.638185321238239E+000;-8.631205266750121E+001;-4.638185321238239E+000;-8.631205266750121E+001;-4.638185321238239E+000;-8.631205266750121E+001;-4.638185321238239E+000;-8.631205266750121E+001;
1.955000000000000E+009;-4.719651554673275E+000;-8.648247178026334E+001;-4.719651554673275E+000;-8.648247178026334E+001;-4.719651554673275E+000;-8.648247178026334E+001;-4.719651554673275E+000;-8.648247178026334E+001;
1.960000000000000E+009;-4.840729645148678E+000;-8.659720556376821E+001;-4.840729645148678E+000;-8.659720556376821E+001;-4.840729645148678E+000;-8.659720556376821E+001;-4.840729645148678E+000;-8.659720556376821E+001;
1.965000000000000E+009;-5.001100369850863E+000;-8.670321356044663E+001;-5.001100369850863E+000;-8.670321356044663E+001;-5.001100369850863E+000;-8.670321356044663E+001;-5.001100369850863E+000;-8.670321356044663E+001;
1.970000000000000E+009;-5.197814511604043E+000;-8.677487309293181E+001;-5.197814511604043E+000;-8.677487309293181E+001;-5.197814511604043E+000;-8.677487309293181E+001;-5.197814511604043E+000;-8.677487309293181E+001;
1.975000000000000E+009;-5.430367064597100E+000;-8.683043047125636E+001;-5.430367064597100E+000;-8.683043047125636E+001;-5.430367064597100E+000;-8.683043047125636E+001;-5.430367064597100E+000;-8.683043047125636E+001;
1.980000000000000E+009;-5.701075283050495E+000;-8.705730814335685E+001;-5.701075283050495E+000;-8.705730814335685E+001;-5.701075283050495E+000;-8.705730814335685E+001;-5.701075283050495E+000;-8.705730814335685E+001;
1.985000000000000E+009;-6.016391915890342E+000;-8.734235377229348E+001;-6.016391915890342E+000;-8.734235377229348E+001;-6.016391915890342E+000;-8.734235377229348E+001;-6.016391915890342E+000;-8.734235377229348E+001;
1.990000000000000E+009;-6.355815532702827E+000;-8.771172811121959E+001;-6.355815532702827E+000;-8.771172811121959E+001;-6.355815532702827E+000;-8.771172811121959E+001;-6.355815532702827E+000;-8.771172811121959E+001;
1.995000000000000E+009;-6.728243509970878E+000;-8.828189943364507E+001;-6.728243509970878E+000;-8.828189943364507E+001;-6.728243509970878E+000;-8.828189943364507E+001;-6.728243509970878E+000;-8.828189943364507E+001;
2.000000000000000E+009;-7.123151495188361E+000;-8.903920424184932E+001;-7.123151495188361E+000;-8.903920424184932E+001;-7.123151495188361E+000;-8.903920424184932E+001;-7.123151495188361E+000;-8.903920424184932E+001;
2.005000000000000E+009;-7.545984587975895E+000;-8.997632679420262E+001;-7.545984587975895E+000;-8.997632679420262E+001;-7.545984587975895E+000;-8.997632679420262E+001;-7.545984587975895E+000;-8.997632679420262E+001;
2.010000000000000E+009;-7.956909975852788E+000;-9.116875247947235E+001;-7.956909975852788E+000;-9.116875247947235E+001;-7.956909975852788E+000;-9.116875247947235E+001;-7.956909975852788E+000;-9.116875247947235E+001;
2.015000000000000E+009;-8.348537867926082E+000;-9.265829677867001E+001;-8.348537867926082E+000;-9.265829677867001E+001;-8.348537867926082E+000;-9.265829677867001E+001;-8.348537867926082E+000;-9.265829677867001E+001;
2.020000000000000E+009;-8.696138710156774E+000;-9.452517680536424E+001;-8.696138710156774E+000;-9.452517680536424E+001;-8.696138710156774E+000;-9.452517680536424E+001;-8.696138710156774E+000;-9.452517680536424E+001;
2.025000000000000E+009;-8.984621174395720E+000;-9.695310516639326E+001;-8.984621174395720E+000;-9.695310516639326E+001;-8.984621174395720E+000;-9.695310516639326E+001;-8.984621174395720E+000;-9.695310516639326E+001;
2.030000000000000E+009;-9.212102170303238E+000;-9.993180437498437E+001;-9.212102170303238E+000;-9.993180437498437E+001;-9.212102170303238E+000;-9.993180437498437E+001;-9.212102170303238E+000;-9.993180437498437E+001;
2.035000000000000E+009;-9.384826847231192E+000;-1.033592410961941E+002;-9.384826847231192E+000;-1.033592410961941E+002;-9.384826847231192E+000;-1.033592410961941E+002;-9.384826847231192E+000;-1.033592410961941E+002;
2.040000000000000E+009;-9.489084667812703E+000;-1.070853089417251E+002;-9.489084667812703E+000;-1.070853089417251E+002;-9.489084667812703E+000;-1.070853089417251E+002;-9.489084667812703E+000;-1.070853089417251E+002;
2.045000000000000E+009;-9.517433490669909E+000;-1.108346348976150E+002;-9.517433490669909E+000;-1.108346348976150E+002;-9.517433490669909E+000;-1.108346348976150E+002;-9.517433490669909E+000;-1.108346348976150E+002;
2.050000000000000E+009;-9.454560716207940E+000;-1.145567355684800E+002;-9.454560716207940E+000;-1.145567355684800E+002;-9.454560716207940E+000;-1.145567355684800E+002;-9.454560716207940E+000;-1.145567355684800E+002;
2.055000000000000E+009;-9.323318674432446E+000;-1.180637276984070E+002;-9.323318674432446E+000;-1.180637276984070E+002;-9.323318674432446E+000;-1.180637276984070E+002;-9.323318674432446E+000;-1.180637276984070E+002;
2.060000000000000E+009;-9.125270539860628E+000;-1.211762990826615E+002;-9.125270539860628E+000;-1.211762990826615E+002;-9.125270539860628E+000;-1.211762990826615E+002;-9.125270539860628E+000;-1.211762990826615E+002;
2.065000000000000E+009;-8.877856995508733E+000;-1.239617851398869E+002;-8.877856995508733E+000;-1.239617851398869E+002;-8.877856995508733E+000;-1.239617851398869E+002;-8.877856995508733E+000;-1.239617851398869E+002;
2.070000000000000E+009;-8.601674220222964E+000;-1.263328960815310E+002;-8.601674220222964E+000;-1.263328960815310E+002;-8.601674220222964E+000;-1.263328960815310E+002;-8.601674220222964E+000;-1.263328960815310E+002;
2.075000000000000E+009;-8.314854376231544E+000;-1.282385397742992E+002;-8.314854376231544E+000;-1.282385397742992E+002;-8.314854376231544E+000;-1.282385397742992E+002;-8.314854376231544E+000;-1.282385397742992E+002;
2.080000000000000E+009;-8.026090925837613E+000;-1.297775754926208E+002;-8.026090925837613E+000;-1.297775754926208E+002;-8.026090925837613E+000;-1.297775754926208E+002;-8.026090925837613E+000;-1.297775754926208E+002;
2.085000000000000E+009;-7.766212208366614E+000;-1.309642033684246E+002;-7.766212208366614E+000;-1.309642033684246E+002;-7.766212208366614E+000;-1.309642033684246E+002;-7.766212208366614E+000;-1.309642033684246E+002;
2.090000000000000E+009;-7.531965539161017E+000;-1.317818084469693E+002;-7.531965539161017E+000;-1.317818084469693E+002;-7.531965539161017E+000;-1.317818084469693E+002;-7.531965539161017E+000;-1.317818084469693E+002;
2.095000000000000E+009;-7.324760241497041E+000;-1.321893354822367E+002;-7.324760241497041E+000;-1.321893354822367E+002;-7.324760241497041E+000;-1.321893354822367E+002;-7.324760241497041E+000;-1.321893354822367E+002;
2.100000000000000E+009;-7.143906921078645E+000;-1.324170696211763E+002;-7.143906921078645E+000;-1.324170696211763E+002;-7.143906921078645E+000;-1.324170696211763E+002;-7.143906921078645E+000;-1.324170696211763E+002;
2.105000000000000E+009;-7.004967610843041E+000;-1.324541183819852E+002;-7.004967610843041E+000;-1.324541183819852E+002;-7.004967610843041E+000;-1.324541183819852E+002;-7.004967610843041E+000;-1.324541183819852E+002;
2.110000000000000E+009;-6.910104717835714E+000;-1.323061095733845E+002;-6.910104717835714E+000;-1.323061095733845E+002;-6.910104717835714E+000;-1.323061095733845E+002;-6.910104717835714E+000;-1.323061095733845E+002;
2.115000000000000E+009;-6.866897285730623E+000;-1.320565482016962E+002;-6.866897285730623E+000;-1.320565482016962E+002;-6.866897285730623E+000;-1.320565482016962E+002;-6.866897285730623E+000;-1.320565482016962E+002;
2.120000000000000E+009;-6.880768463908388E+000;-1.315977771785895E+002;-6.880768463908388E+000;-1.315977771785895E+002;-6.880768463908388E+000;-1.315977771785895E+002;-6.880768463908388E+000;-1.315977771785895E+002;
2.125000000000000E+009;-6.948023725636344E+000;-1.309797769552132E+002;-6.948023725636344E+000;-1.309797769552132E+002;-6.948023725636344E+000;-1.309797769552132E+002;-6.948023725636344E+000;-1.309797769552132E+002;
2.130000000000000E+009;-7.051832745772248E+000;-1.301799279794731E+002;-7.051832745772248E+000;-1.301799279794731E+002;-7.051832745772248E+000;-1.301799279794731E+002;-7.051832745772248E+000;-1.301799279794731E+002;
2.135000000000000E+009;-7.185560305798324E+000;-1.292805836060224E+002;-7.185560305798324E+000;-1.292805836060224E+002;-7.185560305798324E+000;-1.292805836060224E+002;-7.185560305798324E+000;-1.292805836060224E+002;
