Frequency in GHz,dB(sub-3\s3_3)
2,-1.7581
2.00167,-1.77016
2.00333,-1.7823
2.005,-1.79453
2.00667,-1.80685
2.00833,-1.81926
2.01,-1.83175
2.01167,-1.84433
2.01333,-1.85701
2.015,-1.86977
2.01667,-1.88262
2.01833,-1.89557
2.02,-1.90861
2.02167,-1.92174
2.02333,-1.93496
2.025,-1.94828
2.02667,-1.96169
2.02833,-1.9752
2.03,-1.9888
2.03167,-2.00251
2.03333,-2.0163
2.035,-2.0302
2.03667,-2.0442
2.03833,-2.0583
2.04,-2.07249
2.04167,-2.08679
2.04333,-2.10119
2.045,-2.11569
2.04667,-2.1303
2.04833,-2.14501
2.05,-2.15982
2.05167,-2.17474
2.05333,-2.18977
2.055,-2.2049
2.05667,-2.22014
2.05833,-2.23549
2.06,-2.25095
2.06167,-2.26652
2.06333,-2.2822
2.065,-2.298
2.06667,-2.3139
2.06833,-2.32992
2.07,-2.34605
2.07167,-2.3623
2.07333,-2.37867
2.075,-2.39515
2.07667,-2.41174
2.07833,-2.42846
2.08,-2.44529
2.08167,-2.46225
2.08333,-2.47933
2.085,-2.49652
2.08667,-2.51384
2.08833,-2.53129
2.09,-2.54885
2.09167,-2.56655
2.09333,-2.58437
2.095,-2.60231
2.09667,-2.62038
2.09833,-2.63859
2.1,-2.65692
2.10167,-2.67538
2.10333,-2.69397
2.105,-2.7127
2.10667,-2.73156
2.10833,-2.75055
2.11,-2.76968
2.11167,-2.78894
2.11333,-2.80834
2.115,-2.82788
2.11667,-2.84756
2.11833,-2.86738
2.12,-2.88734
2.12167,-2.90744
2.12333,-2.92768
2.125,-2.94807
2.12667,-2.9686
2.12833,-2.98927
2.13,-3.0101
2.13167,-3.03107
2.13333,-3.05219
2.135,-3.07346
2.13667,-3.09488
2.13833,-3.11645
2.14,-3.13818
2.14167,-3.16006
2.14333,-3.18209
2.145,-3.20428
2.14667,-3.22663
2.14833,-3.24913
2.15,-3.27179
2.15167,-3.29462
2.15333,-3.31761
2.155,-3.34075
2.15667,-3.36407
2.15833,-3.38754
2.16,-3.41118
2.16167,-3.43499
2.16333,-3.45897
2.165,-3.48312
2.16667,-3.50743
2.16833,-3.53192
2.17,-3.55658
2.17167,-3.58141
2.17333,-3.60642
2.175,-3.63161
2.17667,-3.65697
2.17833,-3.68251
2.18,-3.70823
2.18167,-3.73413
2.18333,-3.76021
2.185,-3.78647
2.18667,-3.81292
2.18833,-3.83956
2.19,-3.86638
2.19167,-3.89339
2.19333,-3.92059
2.195,-3.94798
2.19667,-3.97556
2.19833,-4.00333
2.2,-4.0313
2.20167,-4.05946
2.20333,-4.08782
2.205,-4.11638
2.20667,-4.14514
2.20833,-4.1741
2.21,-4.20326
2.21167,-4.23262
2.21333,-4.26219
2.215,-4.29196
2.21667,-4.32194
2.21833,-4.35213
2.22,-4.38253
2.22167,-4.41314
2.22333,-4.44396
2.225,-4.475
2.22667,-4.50625
2.22833,-4.53772
2.23,-4.5694
2.23167,-4.60131
2.23333,-4.63343
2.235,-4.66578
2.23667,-4.69835
2.23833,-4.73115
2.24,-4.76417
2.24167,-4.79742
2.24333,-4.8309
2.245,-4.86461
2.24667,-4.89856
2.24833,-4.93273
2.25,-4.96714
2.25167,-5.00179
2.25333,-5.03667
2.255,-5.07179
2.25667,-5.10716
2.25833,-5.14277
2.26,-5.17862
2.26167,-5.21471
2.26333,-5.25105
2.265,-5.28764
2.26667,-5.32448
2.26833,-5.36157
2.27,-5.39891
2.27167,-5.43651
2.27333,-5.47436
2.275,-5.51247
2.27667,-5.55084
2.27833,-5.58947
2.28,-5.62836
2.28167,-5.66751
2.28333,-5.70693
2.285,-5.74661
2.28667,-5.78656
2.28833,-5.82678
2.29,-5.86727
2.29167,-5.90803
2.29333,-5.94907
2.295,-5.99038
2.29667,-6.03197
2.29833,-6.07384
2.3,-6.11599
2.30167,-6.15842
2.30333,-6.20113
2.305,-6.24413
2.30667,-6.28741
2.30833,-6.33098
2.31,-6.37484
2.31167,-6.41899
2.31333,-6.46343
2.315,-6.50817
2.31667,-6.5532
2.31833,-6.59853
2.32,-6.64416
2.32167,-6.69008
2.32333,-6.73631
2.325,-6.78284
2.32667,-6.82967
2.32833,-6.87681
2.33,-6.92425
2.33167,-6.97201
2.33333,-7.02007
2.335,-7.06845
2.33667,-7.11713
2.33833,-7.16613
2.34,-7.21545
2.34167,-7.26508
2.34333,-7.31503
2.345,-7.3653
2.34667,-7.41589
2.34833,-7.4668
2.35,-7.51803
2.35167,-7.56959
2.35333,-7.62147
2.355,-7.67368
2.35667,-7.72621
2.35833,-7.77907
2.36,-7.83226
2.36167,-7.88578
2.36333,-7.93963
2.365,-7.99381
2.36667,-8.04833
2.36833,-8.10318
2.37,-8.15836
2.37167,-8.21387
2.37333,-8.26972
2.375,-8.3259
2.37667,-8.38243
2.37833,-8.43928
2.38,-8.49647
2.38167,-8.554
2.38333,-8.61187
2.385,-8.67007
2.38667,-8.72861
2.38833,-8.78748
2.39,-8.84669
2.39167,-8.90623
2.39333,-8.96611
2.395,-9.02632
2.39667,-9.08687
2.39833,-9.14775
2.4,-9.20895
2.40167,-9.27049
2.40333,-9.33236
2.405,-9.39456
2.40667,-9.45707
2.40833,-9.51992
2.41,-9.58308
2.41167,-9.64656
2.41333,-9.71036
2.415,-9.77448
2.41667,-9.8389
2.41833,-9.90363
2.42,-9.96866
2.42167,-10.034
2.42333,-10.0996
2.425,-10.1656
2.42667,-10.2318
2.42833,-10.2983
2.43,-10.365
2.43167,-10.4321
2.43333,-10.4994
2.435,-10.567
2.43667,-10.6348
2.43833,-10.7028
2.44,-10.7712
2.44167,-10.8397
2.44333,-10.9085
2.445,-10.9774
2.44667,-11.0466
2.44833,-11.116
2.45,-11.1856
2.45167,-11.2553
2.45333,-11.3252
2.455,-11.3952
2.45667,-11.4654
2.45833,-11.5357
2.46,-11.6062
2.46167,-11.6767
2.46333,-11.7473
2.465,-11.8179
2.46667,-11.8887
2.46833,-11.9594
2.47,-12.0302
2.47167,-12.1009
2.47333,-12.1717
2.475,-12.2423
2.47667,-12.313
2.47833,-12.3835
2.48,-12.4539
2.48167,-12.5242
2.48333,-12.5943
2.485,-12.6642
2.48667,-12.734
2.48833,-12.8034
2.49,-12.8726
2.49167,-12.9415
2.49333,-13.0101
2.495,-13.0783
2.49667,-13.1461
2.49833,-13.2135
2.5,-13.2804
2.50167,-13.3468
2.50333,-13.4127
2.505,-13.478
2.50667,-13.5427
2.50833,-13.6068
2.51,-13.6701
2.51167,-13.7327
2.51333,-13.7945
2.515,-13.8556
2.51667,-13.9157
2.51833,-13.975
2.52,-14.0333
2.52167,-14.0906
2.52333,-14.1469
2.525,-14.202
2.52667,-14.2561
2.52833,-14.309
2.53,-14.3606
2.53167,-14.411
2.53333,-14.4601
2.535,-14.5079
2.53667,-14.5542
2.53833,-14.5991
2.54,-14.6425
2.54167,-14.6844
2.54333,-14.7247
2.545,-14.7634
2.54667,-14.8004
2.54833,-14.8358
2.55,-14.8695
2.55167,-14.9014
2.55333,-14.9315
2.555,-14.9598
2.55667,-14.9863
2.55833,-15.0109
2.56,-15.0336
2.56167,-15.0545
2.56333,-15.0734
2.565,-15.0903
2.56667,-15.1053
2.56833,-15.1184
2.57,-15.1295
2.57167,-15.1386
2.57333,-15.1457
2.575,-15.1509
2.57667,-15.1541
2.57833,-15.1554
2.58,-15.1547
2.58167,-15.152
2.58333,-15.1475
2.585,-15.141
2.58667,-15.1327
2.58833,-15.1225
2.59,-15.1105
2.59167,-15.0967
2.59333,-15.0811
2.595,-15.0637
2.59667,-15.0447
2.59833,-15.0239
2.6,-15.0016
2.60167,-14.9776
2.60333,-14.9521
2.605,-14.925
2.60667,-14.8965
2.60833,-14.8665
2.61,-14.8352
2.61167,-14.8025
2.61333,-14.7685
2.615,-14.7332
2.61667,-14.6967
2.61833,-14.6591
2.62,-14.6203
2.62167,-14.5804
2.62333,-14.5395
2.625,-14.4976
2.62667,-14.4548
2.62833,-14.411
2.63,-14.3664
2.63167,-14.321
2.63333,-14.2748
2.635,-14.2278
2.63667,-14.1802
2.63833,-14.1318
2.64,-14.0829
2.64167,-14.0334
2.64333,-13.9833
2.645,-13.9327
2.64667,-13.8817
2.64833,-13.8302
2.65,-13.7782
2.65167,-13.7259
2.65333,-13.6733
2.655,-13.6203
2.65667,-13.5671
2.65833,-13.5135
2.66,-13.4598
2.66167,-13.4058
2.66333,-13.3516
2.665,-13.2973
2.66667,-13.2429
2.66833,-13.1883
2.67,-13.1336
2.67167,-13.0788
2.67333,-13.024
2.675,-12.9692
2.67667,-12.9143
2.67833,-12.8595
2.68,-12.8046
2.68167,-12.7498
2.68333,-12.695
2.685,-12.6403
2.68667,-12.5856
2.68833,-12.5311
2.69,-12.4766
2.69167,-12.4223
2.69333,-12.368
2.695,-12.3139
2.69667,-12.2599
2.69833,-12.2061
2.7,-12.1525
2.70167,-12.099
2.70333,-12.0457
2.705,-11.9926
2.70667,-11.9396
2.70833,-11.8869
2.71,-11.8343
2.71167,-11.782
2.71333,-11.7299
2.715,-11.678
2.71667,-11.6263
2.71833,-11.5749
2.72,-11.5237
2.72167,-11.4727
2.72333,-11.422
2.725,-11.3715
2.72667,-11.3213
2.72833,-11.2713
2.73,-11.2216
2.73167,-11.1721
2.73333,-11.1229
2.735,-11.074
2.73667,-11.0253
2.73833,-10.9769
2.74,-10.9287
2.74167,-10.8808
2.74333,-10.8332
2.745,-10.7858
2.74667,-10.7387
2.74833,-10.6919
2.75,-10.6454
2.75167,-10.5991
2.75333,-10.5531
2.755,-10.5074
2.75667,-10.4619
2.75833,-10.4167
2.76,-10.3718
2.76167,-10.3272
2.76333,-10.2828
2.765,-10.2387
2.76667,-10.1949
2.76833,-10.1513
2.77,-10.108
2.77167,-10.065
2.77333,-10.0222
2.775,-9.97972
2.77667,-9.9375
2.77833,-9.89554
2.78,-9.85384
2.78167,-9.81241
2.78333,-9.77123
2.785,-9.73032
2.78667,-9.68967
2.78833,-9.64928
2.79,-9.60915
2.79167,-9.56927
2.79333,-9.52965
2.795,-9.49028
2.79667,-9.45116
2.79833,-9.41229
2.8,-9.37368
2.80167,-9.33531
2.80333,-9.29719
2.805,-9.25931
2.80667,-9.22168
2.80833,-9.18429
2.81,-9.14714
2.81167,-9.11023
2.81333,-9.07357
2.815,-9.03713
2.81667,-9.00094
2.81833,-8.96497
2.82,-8.92924
2.82167,-8.89374
2.82333,-8.85847
2.825,-8.82343
2.82667,-8.78861
2.82833,-8.75402
2.83,-8.71965
2.83167,-8.6855
2.83333,-8.65158
2.835,-8.61787
2.83667,-8.58438
2.83833,-8.5511
2.84,-8.51804
2.84167,-8.48519
2.84333,-8.45255
2.845,-8.42013
2.84667,-8.38791
2.84833,-8.35589
2.85,-8.32409
2.85167,-8.29248
2.85333,-8.26108
2.855,-8.22988
2.85667,-8.19887
2.85833,-8.16807
2.86,-8.13746
2.86167,-8.10705
2.86333,-8.07683
2.865,-8.0468
2.86667,-8.01696
2.86833,-7.98731
2.87,-7.95785
2.87167,-7.92857
2.87333,-7.89948
2.875,-7.87057
2.87667,-7.84185
2.87833,-7.8133
2.88,-7.78494
2.88167,-7.75675
2.88333,-7.72874
2.885,-7.7009
2.88667,-7.67324
2.88833,-7.64575
2.89,-7.61843
2.89167,-7.59128
2.89333,-7.5643
2.895,-7.53749
2.89667,-7.51084
2.89833,-7.48436
2.9,-7.45804
2.90167,-7.43188
2.90333,-7.40589
2.905,-7.38005
2.90667,-7.35437
2.90833,-7.32885
2.91,-7.30349
2.91167,-7.27828
2.91333,-7.25323
2.915,-7.22833
2.91667,-7.20358
2.91833,-7.17898
2.92,-7.15453
2.92167,-7.13022
2.92333,-7.10607
2.925,-7.08206
2.92667,-7.05819
2.92833,-7.03447
2.93,-7.01089
2.93167,-6.98745
2.93333,-6.96415
2.935,-6.94099
2.93667,-6.91797
2.93833,-6.89509
2.94,-6.87234
2.94167,-6.84973
2.94333,-6.82725
2.945,-6.8049
2.94667,-6.78269
2.94833,-6.76061
